,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
0,1,Abilene Christian,9,3,6,0.333,-2.53,1.91,0.0,2.0,0,3,1,2,628,668,71.1,96.8,0.414,0.29,0.508,43.8,50.5,11.9,4.6,0.454,15.7,24.0,0.308
1,2,Air Force,9,7,2,0.778,-0.39,-7.28,,,4,1,3,1,610,548,64.8,103.2,0.371,0.455,0.559,49.8,64.2,11.2,14.6,0.534,16.3,22.4,0.246
2,3,Akron,8,5,3,0.625,5.4,2.54,,,3,0,1,1,602,524,69.3,108.7,0.312,0.462,0.571,54.6,57.8,10.1,7.7,0.544,17.7,31.8,0.224
3,4,Alabama,8,6,2,0.75,23.82,4.57,,,5,1,0,0,753,599,73.4,128.3,0.468,0.427,0.632,56.2,50.2,10.9,13.2,0.586,13.6,37.1,0.374
4,5,Alabama A&M,7,1,6,0.143,-19.53,-1.53,,,1,0,0,5,476,602,72.6,92.1,0.477,0.271,0.474,48.3,45.8,10.3,8.5,0.408,18.0,32.4,0.347
5,6,Alabama State,8,4,4,0.5,-10.02,1.48,,,2,0,0,4,617,602,73.1,103.9,0.305,0.359,0.492,52.0,48.6,11.3,10.9,0.45,12.3,34.5,0.226
6,7,Albany (NY),9,6,3,0.667,-6.36,-7.73,,,4,0,2,3,707,657,75.2,104.4,0.353,0.366,0.538,52.3,47.2,10.9,7.3,0.507,15.5,31.1,0.242
7,8,Alcorn State,8,1,7,0.125,-11.78,7.65,,,1,0,0,7,553,681,71.4,96.8,0.385,0.265,0.487,46.1,41.8,11.0,4.9,0.45,13.3,27.6,0.252
8,9,American,10,4,6,0.4,-10.75,-6.64,,,4,1,0,5,739,747,65.8,111.0,0.268,0.487,0.548,52.5,59.3,9.9,5.8,0.522,14.2,33.8,0.192
9,10,Appalachian State,9,7,2,0.778,7.94,0.37,,,5,0,0,2,719,552,70.1,112.3,0.292,0.381,0.555,55.1,53.9,8.8,17.8,0.533,12.9,32.4,0.197
10,11,Arizona,7,7,0,1.0,32.49,1.64,,,5,0,1,0,654,438,76.4,122.2,0.347,0.315,0.597,62.7,61.8,13.3,12.0,0.566,14.7,41.6,0.26
11,12,Arizona State,8,6,2,0.75,9.02,7.14,,,5,0,0,0,547,532,71.3,96.0,0.42,0.341,0.496,46.1,51.3,11.8,10.1,0.464,13.2,22.4,0.261
12,13,Arkansas,9,6,3,0.667,10.0,3.67,,,5,1,0,0,742,685,72.8,110.3,0.479,0.35,0.572,52.3,44.0,7.6,17.7,0.535,14.3,28.2,0.335
13,14,Arkansas State,9,2,7,0.222,-5.86,2.03,,,1,1,0,5,659,730,72.9,100.5,0.326,0.449,0.506,50.3,54.6,6.9,10.4,0.476,17.0,33.9,0.216
14,15,Arkansas-Pine Bluff,10,4,6,0.4,-18.19,1.38,,,3,1,1,5,856,881,78.3,109.3,0.335,0.457,0.571,45.6,55.4,9.7,6.5,0.53,14.2,24.7,0.263
15,16,Army,9,2,7,0.222,-17.86,-9.49,,,2,3,0,4,541,573,65.9,91.2,0.237,0.467,0.469,51.5,55.7,10.6,8.8,0.46,17.3,29.4,0.124
