,Rk,School,Conf,AP Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
0,1,Houston,Big 12,3.0,13,0,75.9,49.4,26.54,1.7,4.93,23.31,28.24,118.19,74.77,43.43
1,2,Brigham Young,Big 12,12.0,12,1,90.4,61.5,28.85,-0.75,16.69,11.41,28.1,124.65,86.26,38.39
2,3,Arizona,Pac-12,10.0,10,3,92.3,73.4,18.92,8.84,22.16,5.6,27.76,121.58,86.1,35.48
3,4,Purdue,Big Ten,1.0,13,1,85.4,67.0,18.36,8.82,15.42,11.75,27.17,124.18,87.24,36.94
4,5,Alabama,SEC,,8,5,92.8,75.8,17.0,9.22,23.91,2.31,26.22,130.42,94.85,35.57
5,6,Iowa State,Big 12,,11,2,86.2,59.1,27.15,-2.82,13.92,10.42,24.34,118.56,85.65,32.91
6,7,Duke,ACC,14.0,10,3,83.5,66.6,16.92,4.21,12.89,8.24,21.14,123.92,94.39,29.53
7,8,Utah,Pac-12,,11,2,81.7,69.3,12.38,8.65,14.36,6.67,21.03,120.37,91.56,28.81
8,9,Tennessee,SEC,5.0,10,3,77.8,64.3,13.54,7.47,8.14,12.86,21.0,114.4,85.07,29.34
9,10,Baylor,Big 12,18.0,11,2,89.2,69.3,19.85,1.6,15.6,5.34,20.94,126.26,97.08,29.18
10,11,Illinois,Big Ten,9.0,11,2,83.9,65.5,18.38,2.44,14.13,6.69,20.83,118.95,90.8,28.15
11,12,North Carolina,ACC,8.0,10,3,85.0,72.0,13.0,7.7,16.44,4.26,20.7,120.38,92.25,28.13
12,13,Creighton,Big East,,10,4,81.4,66.6,14.86,5.57,11.18,9.24,20.42,122.6,93.83,28.77
13,14,Marquette,Big East,7.0,11,3,78.0,66.4,11.64,8.47,10.33,9.78,20.11,116.6,89.24,27.36
14,15,Michigan State,Big Ten,,8,5,77.2,64.5,12.69,7.28,5.13,14.84,19.97,114.04,87.15,26.89
15,16,Connecticut,Big East,4.0,12,2,83.1,63.6,19.5,0.08,9.38,10.2,19.58,121.64,94.59,27.05
16,17,Colorado State,MWC,13.0,13,1,84.1,68.2,15.86,7.32,10.49,8.92,19.4,122.94,96.16,26.78
17,18,Kentucky,SEC,6.0,10,2,91.1,73.4,17.67,1.66,18.73,0.59,19.32,121.95,96.32,25.63
18,19,Auburn,SEC,25.0,11,2,84.8,66.7,18.15,0.91,12.82,6.24,19.07,119.19,92.91,26.27
19,20,Florida Atlantic,AAC,17.0,11,3,82.9,70.0,12.93,5.9,12.56,6.27,18.83,120.86,94.29,26.57
20,21,Clemson,ACC,16.0,11,1,82.3,69.2,13.08,5.57,10.51,8.14,18.65,119.84,93.59,26.25
21,22,Colorado,Pac-12,,11,2,84.2,68.8,15.38,2.67,12.39,5.67,18.06,118.13,93.75,24.38
22,23,Wisconsin,Big Ten,21.0,10,3,74.8,65.5,9.38,8.47,8.34,9.52,17.85,121.95,95.19,26.76
23,24,Kansas,Big 12,2.0,12,1,79.6,65.3,14.31,4.59,9.06,8.78,17.84,114.24,89.9,24.34
24,25,San Diego State,MWC,,11,2,77.7,66.9,10.77,8.94,8.38,8.38,16.75,115.48,92.75,22.73
25,26,Ohio State,Big Ten,,11,2,79.3,64.9,14.38,2.31,7.2,9.49,16.69,116.65,92.53,24.13
26,27,Oklahoma,Big 12,11.0,12,1,82.5,63.2,19.31,-2.85,7.13,9.33,16.46,114.21,91.52,22.69
27,28,Texas A&M,SEC,,9,4,76.2,66.6,9.54,6.85,8.28,8.11,16.39,122.8,98.49,24.31
28,29,New Mexico,MWC,,12,2,83.4,67.8,15.57,1.91,11.97,4.18,16.14,112.02,91.11,20.91
29,30,St. John's (NY),Big East,,10,4,79.7,69.9,9.86,5.98,9.71,6.13,15.84,115.15,93.25,21.9
30,31,Villanova,Big East,,9,4,73.6,63.5,10.08,5.65,4.31,11.42,15.73,111.74,89.53,22.21
31,32,Cincinnati,Big 12,,11,2,82.1,65.8,16.23,-0.73,9.57,5.93,15.5,115.83,94.77,21.07
32,33,Pittsburgh,ACC,,9,5,78.8,65.1,13.64,1.65,4.75,10.54,15.29,112.13,91.44,20.69
33,34,Saint Mary's (CA),WCC,,9,6,70.3,58.5,11.8,8.11,-0.55,15.65,15.11,108.56,86.8,21.77
34,35,Florida,SEC,,10,3,86.3,73.7,12.62,2.43,16.69,-1.64,15.05,116.92,97.09,19.83
35,36,Washington,Pac-12,,8,5,82.5,75.9,6.54,8.42,14.03,0.94,14.96,113.87,93.81,20.05
36,37,Nevada,MWC,,13,1,79.6,64.4,15.29,0.94,6.68,8.18,14.86,112.65,92.39,20.26
37,38,Indiana State,MVC,,11,2,87.2,72.1,15.08,0.67,14.45,0.06,14.51,118.53,99.18,19.35
38,39,TCU,Big 12,,11,2,85.8,66.5,19.31,-4.83,11.23,3.25,14.48,112.76,94.94,17.81
39,40,Southern Methodist,AAC,,10,4,75.6,61.6,14.0,0.7,3.92,10.4,14.32,110.62,90.02,20.6
40,41,Gonzaga,WCC,24.0,9,4,83.5,68.4,15.15,3.26,8.15,6.03,14.18,113.13,94.25,18.89
41,42,Miami (FL),ACC,,10,2,84.7,69.8,14.92,-0.79,10.56,3.57,14.12,115.35,97.76,17.6
42,43,Mississippi State,SEC,,11,2,76.2,62.7,13.54,0.53,3.67,10.4,14.07,110.26,91.07,19.19
43,44,Dayton,A-10,,10,2,74.4,65.6,8.83,5.19,5.95,8.07,14.03,121.81,100.98,20.83
44,45,Utah State,MWC,,13,1,81.8,65.3,16.5,1.68,9.09,4.84,13.93,115.34,96.27,19.07
45,46,Xavier,Big East,,7,6,75.3,69.5,5.77,8.01,6.56,7.22,13.78,109.89,90.7,19.19
46,47,Providence,Big East,23.0,11,2,75.2,63.9,11.31,2.46,3.86,9.9,13.76,106.64,87.89,18.75
47,48,Butler,Big East,,10,4,82.2,71.9,10.36,4.46,10.81,2.8,13.62,114.38,96.44,17.94
48,49,Wake Forest,ACC,,10,3,81.5,68.7,12.85,0.76,9.01,4.61,13.61,116.87,98.06,18.8
49,50,Texas,Big 12,20.0,11,2,79.2,64.3,14.85,-1.38,5.94,7.52,13.46,112.81,93.43,19.38
50,51,Iowa,Big Ten,,8,6,86.7,77.6,9.07,4.27,14.93,-1.59,13.34,115.61,99.35,16.27
51,52,San Francisco,WCC,,11,4,77.2,59.3,17.93,-1.03,1.22,12.04,13.25,111.02,90.77,20.25
52,53,Memphis,AAC,15.0,11,2,79.3,72.5,6.77,6.27,11.32,1.72,13.04,112.26,94.42,17.84
53,54,Texas Tech,Big 12,,11,2,78.0,64.5,13.54,-0.72,4.65,8.17,12.82,113.94,94.77,19.17
54,55,Oregon,Pac-12,,10,3,78.1,70.2,7.85,4.0,6.58,5.27,11.85,112.2,95.4,16.8
55,56,Boise State,MWC,,9,4,75.8,65.6,10.23,6.33,5.32,6.46,11.78,112.54,95.45,17.09
56,57,Washington State,Pac-12,,9,4,75.1,64.7,10.38,1.26,3.18,8.46,11.64,110.64,94.32,16.32
57,58,Central Florida,Big 12,,9,3,78.6,64.2,14.42,-3.03,5.33,6.06,11.38,104.16,89.31,14.85
58,59,Nebraska,Big Ten,,11,2,77.6,65.5,12.15,-0.89,5.35,5.91,11.26,111.14,95.91,15.23
59,60,Virginia,ACC,,10,3,65.8,56.2,9.62,1.51,-6.92,18.05,11.13,104.37,87.76,16.61
60,61,James Madison,Sun Belt,19.0,13,0,91.8,72.0,19.77,-4.53,15.27,-4.3,10.97,114.45,100.69,13.76
61,62,Michigan,Big Ten,,6,7,83.2,79.1,4.08,6.86,11.66,-0.72,10.94,115.75,101.34,14.42
62,63,Saint Joseph's,A-10,,10,3,77.9,64.7,13.23,-2.36,4.43,6.44,10.88,109.91,94.57,15.35
63,64,Virginia Tech,ACC,,9,4,73.4,66.1,7.31,3.46,2.95,7.82,10.77,110.26,94.37,15.89
64,65,Grand Canyon,WAC,,12,1,82.6,68.2,14.46,-0.75,6.93,3.82,10.75,113.27,98.45,14.82
65,66,South Carolina,SEC,,12,1,75.5,63.1,12.38,-1.98,2.7,7.71,10.4,113.71,98.45,15.26
66,67,Princeton,Ivy,,12,1,78.2,64.1,14.08,1.11,5.02,5.19,10.2,119.2,103.85,15.34
67,68,Virginia Commonwealth,A-10,,8,5,73.8,66.3,7.46,2.68,1.28,8.87,10.15,109.91,95.7,14.21
68,69,Arkansas,SEC,,9,4,82.3,76.4,5.92,3.98,9.04,0.86,9.91,111.48,98.78,12.7
69,70,Minnesota,Big Ten,,10,3,80.5,66.3,14.15,-4.42,5.58,4.16,9.73,111.28,98.26,13.02
70,71,Syracuse,ACC,,10,4,77.5,71.5,6.0,6.94,6.28,3.36,9.64,107.01,94.39,12.62
71,72,UC Irvine,Big West,,9,5,78.5,67.3,11.21,2.11,3.47,6.09,9.57,107.37,94.88,12.49
72,73,NC State,ACC,,9,3,79.8,70.2,9.67,-0.11,6.86,2.7,9.56,111.92,98.85,13.07
73,74,Drake,MVC,,12,2,79.4,67.2,12.14,-2.28,5.89,3.37,9.26,113.4,100.61,12.79
74,75,Southern Illinois,MVC,,10,4,75.3,63.4,11.86,-1.14,0.05,9.2,9.25,110.92,97.31,13.61
75,76,Boston College,ACC,,9,4,79.3,71.8,7.46,1.75,8.29,0.92,9.21,112.9,100.4,12.5
76,77,Stanford,Pac-12,,6,6,79.8,75.3,4.42,4.63,7.73,1.31,9.04,111.31,100.04,11.28
77,78,McNeese State,Southland,,11,2,80.8,59.2,21.62,0.45,1.64,7.14,8.78,114.33,101.25,13.08
78,79,Kansas State,Big 12,,10,3,75.8,69.4,6.46,2.1,4.32,4.25,8.56,107.79,96.12,11.66
79,80,St. Bonaventure,A-10,,9,3,74.3,64.3,10.08,-1.68,1.29,7.11,8.4,112.37,99.57,12.81
80,81,Seton Hall,Big East,,8,5,73.9,69.0,4.92,3.25,2.73,5.45,8.17,111.02,99.92,11.11
81,82,Massachusetts,A-10,,9,3,84.1,72.1,12.0,-3.88,10.45,-2.33,8.12,112.51,102.36,10.15
82,83,Northwestern,Big Ten,,10,3,72.4,65.6,6.77,1.3,0.5,7.57,8.06,111.02,99.27,11.75
83,84,North Texas,AAC,,7,5,69.2,58.9,10.25,0.87,-3.6,11.57,7.97,106.32,94.24,12.08
84,85,Duquesne,A-10,,9,3,77.8,68.1,9.67,1.65,4.88,2.95,7.83,112.13,101.87,10.26
85,86,Mississippi,SEC,22.0,13,0,77.4,67.8,9.62,-1.79,2.23,5.6,7.83,110.06,99.74,10.32
86,87,Liberty,CUSA,,11,4,78.3,61.3,16.93,1.2,0.87,6.91,7.78,114.46,102.46,12.0
87,88,Weber State,Big Sky,,9,4,76.5,59.8,16.77,0.65,0.58,7.17,7.75,110.82,100.1,10.71
88,89,Southern California,Pac-12,,6,7,77.5,74.8,2.77,4.96,7.33,0.4,7.73,110.47,100.35,10.12
89,90,Richmond,A-10,,8,5,75.0,65.8,9.23,-1.78,0.76,6.69,7.45,107.3,97.23,10.07
90,91,Georgia,SEC,,10,3,75.4,69.4,6.0,1.42,2.75,4.67,7.42,105.23,95.06,10.17
91,92,Penn State,Big Ten,,7,6,77.5,70.3,7.15,0.22,6.26,1.12,7.37,108.39,99.02,9.37
92,93,Louisiana Tech,CUSA,,9,5,75.4,64.2,11.21,2.23,-0.85,8.08,7.23,104.91,94.84,10.06
93,94,Nevada-Las Vegas,MWC,,7,5,77.5,68.1,9.42,5.13,4.2,3.03,7.23,112.16,101.5,10.66
94,95,Maryland,Big Ten,,9,5,71.7,63.6,8.07,-0.88,-1.89,9.09,7.19,103.77,94.78,8.99
95,96,Florida State,ACC,,6,6,76.2,73.8,2.42,4.56,3.7,3.28,6.98,105.87,97.17,8.69
96,97,Seattle,WAC,,8,5,75.8,65.8,10.0,0.53,3.05,3.72,6.78,107.2,97.74,9.45
97,98,Oklahoma State,Big 12,,7,5,75.7,67.1,8.58,-1.87,1.62,5.1,6.72,106.95,98.02,8.92
98,99,George Mason,A-10,,11,2,75.3,65.7,9.62,-1.73,-0.04,6.72,6.69,109.0,99.23,9.78
99,100,Rutgers,Big Ten,,8,4,67.5,61.4,6.08,0.36,-4.56,11.0,6.44,98.2,89.34,8.86
100,101,UCLA,Pac-12,,6,7,67.2,62.2,5.0,2.92,-3.02,9.02,6.0,105.91,97.52,8.39
101,102,Missouri,SEC,,8,5,76.5,71.3,5.23,0.69,2.67,3.26,5.92,108.94,100.24,8.7
102,103,Indiana,Big Ten,,10,3,76.3,73.4,2.92,2.83,4.05,1.7,5.75,107.93,100.2,7.73
103,104,Samford,Southern,,11,2,90.2,75.0,15.23,-4.23,11.23,-5.64,5.59,108.36,102.4,5.96
104,105,Louisiana State,SEC,,8,5,76.8,69.0,7.77,-2.19,3.68,1.9,5.58,105.84,99.18,6.66
105,106,Hofstra,CAA,,7,6,77.0,71.2,5.85,3.48,2.51,2.89,5.4,109.07,101.86,7.21
106,107,Appalachian State,Sun Belt,,10,3,78.6,63.3,15.31,-2.38,0.6,4.75,5.35,105.81,97.54,8.27
107,108,Akron,MAC,,9,4,76.5,65.2,11.31,1.01,-0.62,5.81,5.2,106.03,98.95,7.08
108,109,Tulane,AAC,,9,3,89.8,79.8,9.92,-2.89,15.09,-9.89,5.2,112.94,106.97,5.97
109,110,Georgia Tech,ACC,,8,4,71.7,71.1,0.58,4.46,0.02,5.02,5.04,103.77,96.75,7.03
110,111,Purdue Fort Wayne,Horizon,,13,2,83.5,65.7,17.8,-5.82,5.32,-0.37,4.95,106.8,100.84,5.96
111,112,West Virginia,Big 12,,5,8,68.3,69.5,-1.23,5.95,0.9,3.81,4.72,105.37,98.8,6.56
112,113,Wichita State,AAC,,8,5,75.3,71.8,3.54,3.39,2.99,1.74,4.72,104.15,97.7,6.45
113,114,Kent State,MAC,,8,5,80.1,72.6,7.46,1.62,6.02,-1.31,4.71,108.6,102.5,6.1
114,115,Charlotte,AAC,,6,7,67.5,63.7,3.85,4.28,-3.32,7.85,4.53,104.42,98.37,6.05
115,116,Missouri State,MVC,,9,4,73.6,67.3,6.31,-1.82,0.92,3.57,4.49,104.58,99.14,5.44
116,117,Santa Clara,WCC,,9,6,77.1,72.4,4.73,1.89,3.68,0.64,4.32,107.1,101.77,5.33
117,118,Arizona State,Pac-12,,8,5,67.9,69.8,-1.85,6.1,-1.17,5.43,4.25,98.98,93.84,5.14
118,119,Bradley,MVC,,8,5,71.8,68.7,3.15,2.48,-0.43,4.5,4.07,103.53,98.43,5.1
119,120,Northern Iowa,MVC,,6,7,77.8,73.8,4.0,2.91,4.01,-0.11,3.91,111.2,105.41,5.79
120,121,Davidson,A-10,,10,3,72.8,65.5,7.31,0.25,-1.51,5.12,3.61,107.64,102.64,5.0
121,122,College of Charleston,CAA,,9,4,78.5,74.5,4.0,2.27,5.52,-2.0,3.52,105.53,100.84,4.69
122,123,Hawaii,Big West,,8,5,73.2,66.2,7.0,-1.12,-1.68,5.1,3.42,103.35,99.31,4.04
123,124,South Florida,AAC,,7,4,76.5,69.8,6.73,-3.71,0.1,2.92,3.02,103.85,100.62,3.23
124,125,Oakland,Horizon,,7,8,72.3,74.1,-1.8,4.69,1.93,0.96,2.89,108.93,105.81,3.12
125,126,Loyola (IL),A-10,,8,5,74.2,66.7,7.54,-1.1,-1.47,4.28,2.81,101.13,97.17,3.96
126,127,Toledo,MAC,,7,6,79.5,79.6,-0.15,2.74,6.99,-4.4,2.58,110.76,107.46,3.3
127,128,Cornell,Ivy,,10,3,84.2,78.3,5.92,-2.28,11.05,-8.66,2.39,112.22,109.93,2.29
128,129,High Point,Big South,,11,4,85.3,72.6,12.73,-4.44,5.16,-2.83,2.33,111.84,108.48,3.36
129,130,Oregon State,Pac-12,,9,4,71.9,69.2,2.77,2.27,0.22,2.05,2.27,103.66,101.25,2.4
130,131,Evansville,MVC,,10,3,80.6,70.9,9.69,-2.45,2.7,-0.48,2.22,103.34,100.48,2.86
131,132,UC San Diego,Big West,,7,6,76.5,67.8,8.62,0.1,-2.19,4.3,2.1,103.92,101.64,2.28
132,133,George Washington,A-10,,11,2,80.8,72.0,8.85,-6.25,4.68,-2.59,2.09,99.67,98.66,1.01
133,134,California,Pac-12,,4,9,75.8,77.4,-1.54,3.55,5.11,-3.1,2.01,108.18,105.42,2.76
134,135,Illinois-Chicago,MVC,,7,7,71.1,64.4,6.71,-1.45,-3.06,4.91,1.86,99.41,97.3,2.1
135,136,Stephen F. Austin,WAC,,8,5,78.1,68.1,10.0,-2.34,0.06,1.7,1.75,96.95,95.55,1.41
136,137,Loyola Marymount,WCC,,7,7,74.6,69.6,5.07,-0.68,-0.74,2.37,1.63,106.07,104.74,1.33
137,138,Drexel,CAA,,8,6,72.6,63.7,8.86,-2.76,-5.65,7.19,1.55,102.29,99.44,2.85
138,139,Yale,Ivy,,8,6,74.4,66.9,7.43,1.78,-0.81,2.25,1.44,103.78,102.12,1.65
139,140,Vermont,AEC,,10,5,73.2,64.9,8.27,-0.65,-2.59,3.79,1.2,107.87,106.35,1.52
140,141,Notre Dame,ACC,,6,7,63.6,65.6,-2.0,3.09,-5.96,7.05,1.09,99.47,98.11,1.36
141,142,Lipscomb,A-Sun,,9,6,80.6,73.2,7.4,-0.94,1.49,-0.43,1.06,104.97,104.13,0.84
142,143,Canisius,MAAC,,6,6,77.0,73.7,3.33,0.85,1.76,-0.91,0.85,105.74,105.6,0.15
143,144,Delaware,CAA,,8,5,77.2,71.4,5.85,-2.79,1.64,-0.85,0.8,106.14,105.01,1.13
144,145,UNC Wilmington,CAA,,9,3,85.8,73.6,12.17,0.49,3.17,-2.46,0.71,108.22,107.86,0.37
145,146,Tulsa,AAC,,9,3,77.2,66.1,11.08,-7.71,-1.74,2.4,0.66,97.39,97.0,0.39
146,147,Longwood,Big South,,12,3,78.5,62.7,15.8,-8.18,-2.78,3.35,0.57,100.86,100.28,0.58
147,148,Youngstown State,Horizon,,10,4,81.5,69.4,12.14,-0.62,0.07,0.41,0.48,102.4,101.53,0.86
148,149,St. Thomas,Summit,,10,5,72.7,60.9,11.8,-4.47,-7.12,7.57,0.45,102.7,101.69,1.02
149,150,Winthrop,Big South,,9,6,78.9,67.9,11.07,-1.25,-0.73,1.15,0.42,104.67,104.16,0.51
150,151,Georgetown,Big East,,7,7,72.7,72.6,0.07,0.27,1.15,-0.81,0.34,105.45,106.21,-0.76
151,152,Montana,Big Sky,,8,5,75.2,70.9,4.23,3.89,0.79,-0.71,0.09,106.4,107.06,-0.66
152,153,Eastern Washington,Big Sky,,6,7,77.1,72.0,5.08,4.95,2.54,-2.51,0.04,105.73,105.24,0.49
153,154,Iona,MAAC,,6,7,71.5,70.9,0.62,-0.64,-1.0,0.97,-0.02,103.55,103.8,-0.25
154,155,Western Carolina,Southern,,11,2,77.2,66.0,11.15,-3.92,-0.57,0.45,-0.12,105.0,104.56,0.44
