NET,Team,Record,SOS,NC_Rec,NC_SOS,Home,Road,Neutral,Q1,Q2,Q3,Q4,Avg_NET_Ws,Avg_NET_Ls
1,Virginia,35-3,18,12-0,55,15-1,10-1,10-1,16-3,5-0,7-0,7-0,98,7
2,Gonzaga,33-4,40,13-2,34,17-0,9-1,7-3,6-4,6-0,9-0,12-0,142,13
3,Duke,32-6,2,12-1,6,15-2,7-2,10-2,13-5,6-1,7-0,6-0,90,12
4,Houston,33-4,30,13-0,67,19-1,11-1,3-2,6-4,11-0,6-0,10-0,128,29
5,Tennessee,30-6,36,11-1,71,17-0,7-3,6-3,10-6,6-0,9-0,5-0,99,14
6,Kentucky,30-7,5,11-2,8,17-1,8-2,5-4,12-6,6-1,7-0,5-0,95,23
7,North Carolina,29-7,3,10-3,18,14-2,11-1,4-4,11-7,6-0,7-0,5-0,100,13
8,Michigan State,32-7,9,9-2,31,15-1,8-4,9-2,15-5,7-2,6-0,4-0,80,40
9,Michigan,30-7,32,11-0,119,17-1,7-4,6-2,10-7,10-0,3-0,7-0,106,20
10,Texas Tech,31-7,14,12-1,13,17-1,6-3,8-3,12-6,8-0,4-1,7-0,103,30
11,Virginia Tech,26-9,41,11-1,127,14-2,5-5,7-2,4-9,8-0,6-0,8-0,143,16
12,Purdue,26-10,8,7-4,9,15-0,6-6,5-4,9-8,10-1,3-1,4-0,84,34
13,Wofford,27-5,99,5-4,87,12-1,11-3,4-1,3-5,7-0,4-0,13-0,187,17
14,Louisiana State,28-7,21,10-3,5,15-2,9-1,4-4,10-4,8-3,7-0,3-0,92,33
15,Buffalo,31-4,67,11-1,80,13-0,12-3,6-1,2-2,6-1,16-1,7-0,148,73
16,Florida State,29-8,10,12-1,23,15-1,6-4,8-3,9-6,7-1,6-1,7-0,108,37
17,Wisconsin,23-11,29,8-3,72,12-3,8-5,3-3,10-8,5-3,4-0,4-0,106,33
18,Auburn,29-10,7,10-2,3,14-2,4-6,11-2,9-8,12-2,4-0,4-0,90,23
19,Mississippi State,23-11,17,12-1,22,14-3,5-5,4-3,8-7,4-4,7-0,4-0,105,31
20,Kansas,26-10,1,11-2,1,17-0,3-8,6-2,11-9,8-1,5-0,2-0,64,34
21,Iowa State,23-12,23,11-2,125,12-4,5-6,6-2,8-7,3-5,6-0,6-0,112,47
22,Louisville,20-14,4,9-4,11,14-4,5-6,1-4,4-11,5-2,7-1,4-0,125,35
23,Nevada,29-5,116,13-0,106,15-0,9-3,5-2,1-2,7-1,11-2,10-0,154,95
24,Kansas State,25-9,37,10-3,141,14-2,7-5,4-2,7-5,7-4,8-0,3-0,102,42
25,Cincinnati,28-7,45,11-2,165,16-2,7-4,5-1,5-5,8-1,9-0,6-1,131,59
26,Villanova,26-10,22,9-4,32,13-2,5-7,8-1,6-7,13-3,3-0,4-0,100,49
27,Maryland,23-11,13,9-2,17,15-3,6-5,2-3,7-9,6-1,5-1,5-0,115,30
28,Marquette,24-10,43,11-2,62,16-3,7-4,1-3,10-6,6-3,1-1,7-0,117,53
29,Utah State,27-7,86,9-3,25,13-1,9-4,5-2,3-3,2-3,9-1,13-0,189,59
30,Central Florida,24-9,27,10-2,79,15-2,5-5,4-2,3-6,6-2,9-1,6-0,133,54
31,Florida,20-16,20,8-5,65,9-6,5-6,6-4,5-13,4-1,6-2,5-0,109,30
32,Saint Mary's (CA),22-12,25,9-6,48,14-3,5-5,3-4,2-7,3-3,8-2,9-0,169,60
33,NC State,24-12,128,12-1,343,17-5,4-6,3-1,3-9,5-1,6-2,10-0,177,37
34,Virginia Commonwealth,25-8,52,9-4,2,16-1,8-4,1-3,2-3,3-2,9-3,11-0,157,82
35,Clemson,20-14,47,10-3,110,14-5,4-6,2-3,1-10,6-3,7-1,6-0,144,33
36,Mississippi,20-13,82,10-3,194,11-5,6-5,3-3,4-11,3-2,7-0,6-0,141,37
37,Oklahoma,20-14,19,12-1,27,11-4,5-7,4-3,5-11,6-2,9-1,0-0,80,34
38,Texas,21-16,6,8-5,16,15-6,2-8,4-2,6-10,7-5,5-1,3-0,87,46
39,Baylor,20-14,24,9-4,89,13-5,5-6,2-3,5-10,8-1,2-1,5-2,113,67
40,New Mexico State,28-5,223,10-3,212,14-1,10-2,4-2,0-2,3-1,9-2,16-0,202,72
41,Furman,22-8,195,8-1,257,10-3,11-4,1-1,1-5,3-1,2-2,16-0,227,59
42,Syracuse,20-14,16,9-4,35,13-6,6-4,1-4,3-10,3-2,10-2,4-0,125,38
43,Iowa,23-12,63,11-0,174,14-4,4-6,5-2,5-11,7-0,5-1,6-0,129,30
44,Murray State,26-5,162,7-2,74,13-1,10-3,3-1,2-3,1-2,4-0,19-0,236,54
45,Washington,27-9,38,9-4,10,15-1,7-4,5-4,3-5,8-3,9-1,7-0,127,54
46,Memphis,22-14,53,8-5,70,17-3,3-8,2-3,2-10,2-3,8-1,10-0,176,43
47,Belmont,26-6,154,8-2,43,12-1,12-3,2-2,2-3,4-1,3-2,17-0,226,94
48,Nebraska,18-17,55,9-1,179,12-5,2-10,4-2,3-14,7-3,4-0,4-0,115,36
49,Lipscomb,27-8,140,7-4,24,12-3,14-4,1-1,5-4,3-3,2-1,17-0,209,66
50,Penn State,14-18,15,7-4,15,9-6,4-9,1-3,3-12,4-4,5-2,2-0,106,49
51,Oregon,25-13,35,9-4,19,13-4,5-7,7-2,4-6,5-4,8-2,8-1,136,76
52,TCU,23-14,46,12-1,101,15-5,3-7,5-2,3-10,8-4,7-0,5-0,112,36
53,Creighton,19-15,28,8-4,36,12-6,4-8,3-1,3-11,7-4,6-0,3-0,110,48
54,Indiana,19-16,64,9-2,191,15-6,3-9,1-1,6-9,3-6,3-1,7-0,133,44
55,Ohio State,20-15,42,10-1,82,12-6,5-7,3-2,5-11,5-3,5-1,5-0,124,34
56,Temple,23-10,75,10-3,189,13-2,8-5,2-3,2-7,6-2,7-1,8-0,150,49
57,Seton Hall,20-14,26,9-3,73,11-4,3-8,6-2,7-9,7-3,3-2,3-0,101,59
58,Liberty,26-7,262,8-4,204,13-1,11-3,2-3,3-1,1-3,4-3,18-0,236,97
59,Alabama,18-16,31,9-4,57,10-6,4-8,4-2,3-10,7-3,5-2,3-1,111,55
60,UNC Greensboro,27-7,97,9-2,93,13-2,11-4,3-1,2-6,2-1,7-0,16-0,216,21
61,Minnesota,22-14,39,10-1,158,13-3,2-9,7-2,6-11,7-2,4-1,5-0,106,41
62,Toledo,24-8,132,11-1,203,13-2,8-5,3-1,0-3,4-0,11-5,9-0,177,100
63,Arizona State,23-11,57,9-3,30,13-3,6-5,4-3,3-4,9-3,5-2,6-2,124,95
64,Butler,16-17,48,9-4,78,12-4,2-10,2-3,1-11,8-5,4-1,3-0,111,56
65,Arkansas,18-16,66,9-4,91,12-6,5-8,1-2,2-10,4-3,8-3,4-0,125,46
66,Colorado,23-13,114,9-3,213,15-2,5-9,3-2,0-4,6-5,7-4,10-0,163,101
67,Xavier,19-16,51,8-5,126,13-5,4-8,2-3,4-10,6-4,3-2,6-0,119,51
68,UC Irvine,30-6,271,11-4,167,11-2,13-2,6-2,2-2,1-2,10-1,17-1,215,108
69,Dayton,21-12,87,8-5,92,13-4,7-4,1-4,1-6,2-3,5-3,13-0,189,66
70,Providence,18-16,58,10-3,149,11-7,5-6,2-3,4-8,5-6,3-1,6-1,134,63
71,Vermont,26-7,229,9-4,44,15-2,11-4,0-1,0-4,0-0,9-2,17-1,237,101
72,East Tennessee State,22-10,181,8-3,239,11-3,8-6,3-1,0-6,2-3,4-0,16-1,241,70
73,St. John's (NY),21-13,74,12-1,207,14-5,4-7,3-1,5-7,5-4,3-2,8-0,144,61
74,San Francisco,20-10,141,11-2,281,13-3,6-5,1-2,0-4,2-1,6-5,12-0,206,89
75,Davidson,23-10,118,8-4,76,13-2,7-5,3-3,0-2,5-3,7-5,11-0,170,108
76,Hofstra,26-8,188,9-3,145,14-1,10-6,2-1,0-3,1-2,6-1,19-2,233,114
77,Missouri,15-17,72,9-3,166,9-7,2-8,4-2,1-12,5-4,4-1,5-0,152,34
78,Northeastern,23-11,88,6-6,20,11-2,8-6,4-3,0-5,3-3,9-0,11-3,190,108
79,Oklahoma State,12-20,12,7-6,40,8-7,2-9,2-4,3-14,3-5,4-0,2-1,108,45
80,Fresno State,22-9,224,8-3,300,12-4,7-3,3-2,1-5,2-1,6-2,13-1,209,85
81,South Carolina,15-16,49,4-8,104,10-6,4-8,1-2,3-9,4-5,4-1,4-1,124,55
82,Georgetown,19-14,84,10-3,241,13-6,5-6,1-2,5-6,6-5,1-3,7-0,139,70
83,Wichita State,22-15,54,7-5,37,11-4,7-7,4-4,4-8,5-6,5-1,8-0,141,52
84,Texas A&M,14-18,34,7-5,21,9-8,4-7,1-3,3-11,3-4,4-2,4-1,146,48
85,Brigham Young,19-13,59,8-7,75,13-3,5-8,1-2,1-7,2-3,7-3,9-0,190,75
86,Yale,21-8,122,9-3,163,11-2,8-5,2-1,0-4,1-2,9-1,11-1,203,87
87,Oregon State,18-13,105,8-4,236,10-6,6-5,2-2,2-2,4-7,5-4,7-0,162,84
88,Southern California,16-17,101,7-6,180,12-5,2-9,2-3,0-7,3-6,6-4,7-0,182,79
89,Northwestern,13-19,100,9-2,304,10-8,1-9,2-2,0-11,3-6,4-2,6-0,167,46
90,Utah Valley,23-10,177,9-4,159,12-1,8-8,3-1,0-3,1-6,7-1,15-0,220,82
91,Southern Mississippi,17-12,135,5-3,274,8-2,7-8,2-2,0-1,2-4,9-6,6-1,187,136
92,Miami (FL),14-18,33,8-4,124,11-5,0-10,3-3,0-11,2-4,6-3,6-0,178,47
93,Arizona,17-15,79,9-4,85,12-5,4-7,1-3,1-6,4-8,7-0,5-1,154,70
94,Tulsa,18-14,91,10-3,229,14-3,3-8,1-3,1-8,3-4,3-2,11-0,188,58
95,Connecticut,16-17,69,9-4,248,13-5,1-8,2-4,1-11,1-5,3-1,11-0,209,48
96,Grand Canyon,19-14,159,7-6,270,11-2,5-8,3-4,0-4,1-6,7-3,11-1,220,94
97,San Diego,20-15,76,10-4,81,11-4,5-9,4-2,1-8,4-2,4-4,11-1,190,72
98,Southern Methodist,15-17,62,8-4,228,10-8,3-7,2-2,0-9,3-4,3-4,9-0,208,57
99,South Florida,23-14,112,10-2,206,17-5,5-7,1-2,0-6,3-6,10-1,10-1,192,74
100,Old Dominion,26-9,183,10-3,278,14-2,8-4,4-3,1-1,2-2,11-6,12-0,184,122
101,Rutgers,14-17,90,7-3,319,10-7,4-9,0-1,2-11,6-4,1-1,5-1,131,56
102,DePaul,19-17,130,8-3,331,16-7,3-10,0-0,3-8,4-7,3-2,9-0,176,68
103,Saint Louis,23-13,123,9-4,156,15-2,4-8,4-3,1-5,4-2,6-5,12-1,184,97
104,South Dakota State,23-9,317,9-5,271,13-1,7-6,3-2,0-3,0-0,6-4,17-2,251,161
105,Utah,17-14,89,6-6,193,10-5,6-5,1-4,1-5,5-7,6-2,5-0,168,68
115,Northern Kentucky,24-9,257,8-3,177,15-1,7-7,2-1,0-3,0-0,7-4,17-2,226,153
121,Georgia State,23-10,104,8-4,114,12-1,7-7,4-2,1-3,3-2,9-4,10-1,182,115
124,Montana,24-9,192,5-4,33,10-2,9-5,5-2,0-3,1-1,5-1,18-4,243,144
127,Drake,22-10,170,9-2,133,11-2,7-6,4-2,1-2,1-1,10-5,10-2,182,154
132,Colgate,23-11,206,7-5,225,14-1,9-9,0-1,0-3,0-2,10-3,13-3,230,151
144,Radford,19-11,139,5-6,86,8-3,9-7,2-1,1-3,1-0,6-4,11-4,209,158
154,Abilene Christian,23-7,329,7-2,279,9-2,10-4,4-1,0-2,0-0,2-2,21-3,285,155
173,Gardner-Webb,20-12,269,7-5,211,10-0,8-9,2-3,0-4,1-0,3-6,16-2,260,152
174,Sam Houston,18-12,261,2-8,205,9-2,8-9,1-1,0-3,0-3,2-4,16-2,280,150
176,Bradley,19-15,216,7-5,280,9-6,5-8,5-1,1-1,1-3,10-7,7-4,186,163
202,Iona,17-16,248,2-9,147,8-3,6-9,3-4,0-3,0-1,2-4,15-8,268,190
203,Fairleigh Dickinson,19-14,264,3-7,170,11-4,7-9,1-1,0-2,0-2,1-2,18-8,273,201
