RPI,Team,Record,RPI.1,SOS,NC_Rec,NC_RPI,NC_SOS,Home,Road,Neutral,Q1,Q2,Q3,Q4,Avg_RPI_Ws,Avg_RPI_Ls
1,Duke,32-6,1,2,12-1,2,3,15-2,7-2,10-2,13-5,4-1,10-0,5-0,94,14
2,Virginia,35-3,2,17,12-0,3,42,15-1,10-1,10-1,15-3,5-0,6-0,9-0,108,4
3,Michigan State,32-7,3,8,9-2,17,20,15-1,8-4,9-2,14-4,6-1,6-2,6-0,88,62
4,Kansas,26-10,4,1,11-2,1,1,17-0,3-8,6-2,11-9,8-1,6-0,1-0,68,33
5,North Carolina,29-7,5,3,10-3,20,11,14-2,11-1,4-4,10-6,5-1,9-0,5-0,107,15
6,Kentucky,30-7,6,5,11-2,12,6,17-1,8-2,5-4,12-7,4-0,8-0,6-0,105,23
7,Houston,33-4,7,38,13-0,6,59,19-1,11-1,3-2,8-4,9-0,8-0,8-0,129,20
8,Gonzaga,33-4,8,46,13-2,14,27,17-0,9-1,7-3,6-4,6-0,11-0,10-0,136,16
9,Texas Tech,31-7,9,13,12-1,5,15,17-1,6-3,8-3,10-6,9-0,7-1,5-0,106,31
10,Tennessee,30-6,10,25,11-1,16,49,17-0,7-3,6-3,10-6,6-0,7-0,7-0,116,11
11,Florida State,29-8,11,12,12-1,8,23,15-1,6-4,8-3,8-6,6-0,7-2,8-0,116,48
12,Buffalo,31-4,12,75,11-1,13,74,13-0,12-3,6-1,3-2,7-1,15-1,6-0,143,70
13,Michigan,30-7,13,27,11-0,10,97,17-1,7-4,6-2,9-6,6-1,7-0,8-0,116,26
14,Auburn,29-10,14,6,10-2,7,4,14-2,4-6,11-2,9-7,7-3,8-0,5-0,106,38
15,Purdue,26-10,15,9,7-4,39,7,15-0,6-6,5-4,6-9,9-0,6-1,5-0,103,36
16,Louisiana State,28-7,16,22,10-3,19,5,15-2,9-1,4-4,9-3,9-2,4-2,6-0,106,48
17,Cincinnati,28-7,17,50,11-2,56,166,16-2,7-4,5-1,5-5,7-1,10-0,6-1,136,63
18,Villanova,26-10,18,24,9-4,46,29,13-2,5-7,8-1,4-7,10-3,7-0,5-0,114,53
19,Kansas State,25-9,19,26,10-3,49,124,14-2,7-5,4-2,8-5,6-4,7-0,4-0,104,48
20,Washington,27-9,20,42,9-4,30,8,15-1,7-4,5-4,3-7,5-1,11-0,8-1,140,50
21,Virginia Tech,26-9,21,39,11-1,22,136,14-2,5-5,7-2,3-7,6-2,8-0,9-0,150,24
22,Wofford,27-5,22,98,5-4,87,54,12-1,11-3,4-1,4-5,5-0,3-0,15-0,188,15
23,Central Florida,24-9,23,33,10-2,40,84,15-2,5-5,4-2,3-6,6-2,9-0,6-1,136,62
24,Nevada,29-5,24,114,13-0,11,101,15-0,9-3,5-2,2-1,4-3,11-1,12-0,177,91
25,Maryland,23-11,25,15,9-2,31,18,15-3,6-5,2-3,6-7,4-3,8-1,5-0,113,44
26,Virginia Commonwealth,25-8,26,64,9-4,21,2,16-1,8-4,1-3,2-4,4-2,8-2,11-0,161,67
27,Mississippi State,23-11,27,19,12-1,9,25,14-3,5-5,4-3,5-8,6-3,8-0,4-0,121,37
28,Wisconsin,23-11,28,28,8-3,45,73,12-3,8-5,3-3,7-8,4-3,6-0,6-0,132,31
29,Utah State,27-7,29,95,9-3,23,33,13-1,9-4,5-2,3-5,3-1,8-1,13-0,195,49
30,Iowa State,23-12,30,21,11-2,37,120,12-4,5-6,6-2,7-7,6-4,5-1,5-0,107,51
31,Marquette,24-10,31,43,11-2,29,62,16-3,7-4,1-3,8-6,5-3,4-1,7-0,132,55
32,UNC Greensboro,27-7,32,107,9-2,25,103,13-2,11-4,3-1,0-6,3-1,7-0,17-0,210,29
33,Louisville,20-14,33,7,9-4,43,12,14-4,5-6,1-4,4-11,3-1,6-2,7-0,137,43
34,Oklahoma,20-14,34,14,12-1,4,19,11-4,5-7,4-3,3-11,8-2,8-1,1-0,101,37
35,Oregon,25-13,35,45,9-4,41,17,13-4,5-7,7-2,5-7,4-2,8-3,8-1,143,75
36,Temple,23-10,36,72,10-3,74,172,13-2,8-5,2-3,3-7,5-2,5-1,10-0,167,46
37,Murray State,26-5,37,173,7-2,28,70,13-1,10-3,3-1,2-3,2-2,6-0,16-0,223,50
38,Belmont,26-6,38,156,8-2,15,39,12-1,12-3,2-2,3-3,3-1,5-2,15-0,211,77
39,Arizona State,23-11,39,62,9-3,38,30,13-3,6-5,4-3,4-5,7-0,6-5,6-1,125,107
40,Minnesota,22-14,40,31,10-1,24,142,13-3,2-9,7-2,5-10,2-1,10-3,5-0,119,55
41,Saint Mary's (CA),22-12,41,41,9-6,111,48,14-3,5-5,3-4,2-7,5-4,5-1,10-0,165,53
42,Texas,21-16,42,4,8-5,81,13,15-6,2-8,4-2,7-11,6-2,5-3,3-0,91,49
43,New Mexico State,28-5,43,203,10-3,83,194,14-1,10-2,4-2,1-2,2-2,10-1,15-0,211,69
44,Syracuse,20-14,44,16,9-4,76,31,13-6,6-4,1-4,2-9,3-3,9-2,6-0,136,45
45,Seton Hall,20-14,45,30,9-3,55,65,11-4,3-8,6-2,6-5,3-6,7-3,4-0,113,75
46,Lipscomb,27-8,46,143,7-4,34,24,12-3,14-4,1-1,4-4,3-3,6-1,14-0,200,72
47,Iowa,23-12,47,59,11-0,18,160,14-4,4-6,5-2,4-10,3-1,8-1,8-0,154,37
48,Toledo,24-8,48,124,11-1,33,208,13-2,8-5,3-1,0-3,4-1,11-3,9-1,177,102
49,TCU,23-14,49,35,12-1,27,99,15-5,3-7,5-2,3-10,5-4,11-0,4-0,121,37
50,Georgia State,23-10,50,109,8-4,57,90,12-1,7-7,4-2,1-4,2-1,9-4,11-1,184,112
51,Baylor,20-14,51,23,9-4,103,98,13-5,5-6,2-3,5-10,8-1,3-1,4-2,114,63
52,Yale,21-8,52,120,9-3,47,158,11-2,8-5,2-1,0-5,3-2,8-0,10-1,192,77
53,Harvard,18-12,53,81,6-6,91,66,8-2,8-10,2-0,2-3,4-5,4-2,8-2,166,117
54,Florida,20-16,54,20,8-5,88,44,9-6,5-6,6-4,4-13,3-0,7-2,6-1,138,37
55,Northeastern,23-11,55,96,6-6,73,14,11-2,8-6,4-3,1-6,5-2,5-0,12-3,182,102
56,Wichita State,22-15,56,53,7-5,95,35,11-4,7-7,4-4,4-8,4-6,6-1,8-0,158,52
57,Hofstra,26-8,57,191,9-3,54,161,14-1,10-6,2-1,0-3,3-3,3-0,20-2,220,107
58,Memphis,22-14,58,52,8-5,122,67,17-3,3-8,2-3,3-10,3-3,6-1,10-0,173,44
59,Davidson,23-10,59,108,8-4,65,61,13-2,7-5,3-3,1-3,6-2,4-3,12-2,181,117
60,Ohio State,20-15,60,34,10-1,26,82,12-6,5-7,3-2,3-11,5-1,5-2,7-1,143,49
61,UC Irvine,30-6,61,245,11-4,63,132,11-2,13-2,6-2,2-3,2-1,10-1,16-1,220,103
62,Creighton,19-15,62,32,8-4,68,32,12-6,4-8,3-1,2-8,6-7,8-0,3-0,122,52
63,Vermont,26-7,63,225,9-4,36,38,15-2,11-4,0-1,0-4,4-0,5-2,17-1,230,82
64,Old Dominion,26-9,64,158,10-3,106,254,14-2,8-4,4-3,2-1,1-0,11-8,12-0,186,126
65,Clemson,20-14,65,48,10-3,72,106,14-5,4-6,2-3,1-8,3-5,9-1,7-0,161,45
66,Alabama,18-16,66,29,9-4,58,55,10-6,4-8,4-2,2-9,7-5,4-1,5-1,139,54
67,Utah Valley,23-10,67,178,9-4,67,170,12-1,8-8,3-1,0-4,1-4,8-2,14-0,225,89
68,Brigham Young,19-13,68,69,8-7,140,87,13-3,5-8,1-2,1-6,4-3,5-4,9-0,184,79
69,Furman,22-8,69,186,8-1,44,247,10-3,11-4,1-1,1-5,2-2,3-0,16-1,228,58
70,St. John's (NY),21-13,70,71,12-1,32,197,14-5,4-7,3-1,4-5,4-4,6-4,7-0,145,76
71,Mississippi,20-13,71,70,10-3,84,174,11-5,6-5,3-3,3-9,2-4,7-0,8-0,158,48
72,Colorado,23-13,72,104,9-3,80,217,15-2,5-9,3-2,0-5,3-3,11-4,9-1,172,105
73,Liberty,26-7,73,249,8-4,101,195,13-1,11-3,2-3,3-1,3-3,4-3,16-0,223,106
74,Xavier,19-16,74,47,8-5,128,96,13-5,4-8,2-3,3-8,5-6,6-2,5-0,132,61
75,Montana,24-9,75,209,5-4,62,37,10-2,9-5,5-2,0-3,2-2,5-2,17-2,231,133
76,Bowling Green State,20-12,76,113,6-5,178,284,12-2,5-9,3-1,1-4,2-1,9-5,8-2,181,125
77,Dayton,21-12,77,90,8-5,125,81,13-4,7-4,1-4,1-7,2-2,4-3,14-0,200,62
78,Drake,22-10,78,164,9-2,42,150,11-2,7-6,4-2,1-2,2-1,9-5,10-2,188,154
79,Georgia Southern,19-12,79,105,6-5,75,45,8-4,7-7,4-1,0-2,1-5,8-5,10-0,198,102
80,Western Kentucky,20-14,80,88,7-6,121,93,10-4,6-8,4-2,1-5,4-3,8-5,7-1,171,109
81,San Diego,20-15,81,80,10-4,53,88,11-4,5-9,4-2,0-9,5-3,5-2,10-1,191,72
82,East Tennessee State,22-10,82,170,8-3,78,235,11-3,8-6,3-1,0-7,2-1,4-2,16-0,234,63
