RPI,Team,Record,RPI.1,SOS,NC_Rec,NC_RPI,NC_SOS,Home,Road,Neutral,Q1,Q2,Q3,Q4,Avg_RPI_Ws,Avg_RPI_Ls
1,Baylor,37-1,1,2,10-1,2,2,17-0,11-1,9-0,19-1,3-0,14-0,1-0,79,4
2,Notre Dame,35-4,2,1,13-1,1,1,16-1,10-2,9-1,18-4,9-0,7-0,1-0,63,19
3,Oregon,32-5,3,3,10-1,5,8,16-1,11-2,5-2,17-5,4-0,9-0,2-0,81,18
4,Stanford,31-5,4,4,10-1,3,4,15-1,10-3,6-1,15-4,7-1,8-0,1-0,76,27
5,Louisville,32-4,5,5,13-0,4,13,15-1,11-1,6-2,14-4,6-0,10-0,2-0,83,8
6,Connecticut,35-3,6,21,12-2,7,14,13-0,12-2,10-1,10-3,3-0,17-0,5-0,114,2
7,Iowa,29-7,7,8,9-2,8,6,16-0,7-5,6-2,11-6,7-1,8-0,3-0,96,34
8,Mississippi State,33-3,8,38,12-1,12,43,15-1,13-1,5-1,9-3,9-0,7-0,8-0,117,11
9,NC State,28-6,9,13,13-0,6,21,17-2,8-2,3-2,9-6,8-0,8-0,3-0,92,14
10,Marquette,27-8,10,18,9-3,19,16,15-2,9-6,3-0,7-5,8-2,7-1,5-0,109,43
11,Syracuse,25-9,11,6,11-2,9,12,12-4,6-4,7-1,10-7,3-1,9-1,3-0,94,26
12,Iowa State,26-9,12,11,10-2,10,17,17-3,6-5,3-1,8-8,3-1,12-0,3-0,112,29
13,Gonzaga,29-5,13,53,11-1,11,31,14-1,11-2,4-2,3-5,10-0,10-0,6-0,136,20
14,Texas A&M,26-8,14,25,11-2,13,20,14-3,8-3,4-2,6-5,7-3,6-0,7-0,121,37
15,South Carolina,23-10,15,12,8-5,31,10,11-4,9-2,3-4,5-9,6-1,6-0,6-0,122,17
16,Maryland,29-5,16,60,11-0,22,142,15-2,10-2,4-1,7-5,6-0,9-0,7-0,129,22
17,Arizona State,22-11,17,7,9-2,21,23,11-4,7-4,4-3,7-11,4-0,9-0,2-0,113,15
18,Central Florida,26-7,18,52,11-2,16,42,11-1,12-3,3-3,1-6,4-0,15-1,6-0,152,36
19,Oregon State,26-8,19,30,10-2,32,58,17-1,6-3,3-4,10-7,5-0,7-1,4-0,114,24
20,South Dakota State,28-7,20,67,8-5,17,5,13-1,11-3,4-3,6-7,3-0,7-0,12-0,183,20
21,Kentucky,25-8,21,39,13-1,15,69,15-3,6-4,4-1,5-7,6-0,8-0,6-1,129,41
22,DePaul,26-8,22,40,9-3,41,52,14-4,10-2,2-2,5-6,8-1,8-1,5-0,121,39
23,Miami (FL),25-9,23,35,12-3,51,113,16-3,6-5,3-1,6-7,6-2,8-0,5-0,121,34
24,Florida State,24-9,24,27,12-1,28,104,12-4,8-3,4-2,5-8,6-1,8-0,5-0,120,27
25,Drake,26-7,25,63,7-4,14,7,10-2,12-2,4-3,4-7,4-0,8-0,10-0,173,21
26,Buffalo,24-10,26,44,8-3,30,48,9-3,9-7,6-0,5-6,6-1,2-2,11-1,149,70
27,Brigham Young,26-7,27,74,8-3,60,108,12-2,9-5,5-0,4-2,6-3,9-1,7-1,150,93
28,UCLA,22-13,28,10,7-5,95,40,11-5,9-3,2-5,9-11,3-0,8-2,2-0,104,33
29,Missouri,24-11,29,31,11-3,36,41,12-3,7-6,5-2,6-6,6-4,5-0,7-1,124,60
30,Rice,28-4,30,134,9-3,62,150,13-0,11-2,4-2,0-4,6-0,11-0,11-0,187,24
31,Ohio,30-6,31,90,11-0,29,199,15-3,11-2,4-1,2-3,9-3,7-0,12-0,159,53
32,Rutgers,22-10,32,37,8-3,61,86,13-2,7-4,2-4,4-7,6-1,7-2,5-0,136,40
33,Texas,23-10,33,28,10-2,46,99,10-6,9-2,4-2,6-8,2-2,10-0,5-0,140,29
34,California,20-13,34,17,9-2,27,36,9-5,7-7,4-1,5-11,3-2,10-0,2-0,119,30
35,Central Michigan,25-8,35,68,9-3,45,72,10-4,13-1,2-3,6-5,3-2,5-1,11-0,151,56
36,Kansas State,21-12,36,15,9-3,52,64,12-4,7-3,2-5,4-10,5-1,8-1,4-0,132,33
37,James Madison,29-6,37,122,8-3,49,124,18-1,11-4,0-1,0-1,5-1,15-2,9-2,164,133
38,Michigan State,21-12,38,36,10-1,25,91,15-1,3-9,3-2,7-6,3-2,4-4,7-0,128,64
39,Boise State,26-5,39,156,7-2,54,110,12-1,8-4,6-0,0-3,5-0,7-2,14-0,192,81
40,Missouri State,25-10,40,76,4-7,135,32,9-4,10-5,6-1,4-6,4-0,6-3,11-1,173,87
41,Indiana,21-13,41,33,11-1,18,63,11-4,6-7,4-2,7-7,3-3,6-2,5-1,118,63
42,Michigan,22-12,42,57,9-3,67,152,13-1,5-9,4-2,5-10,2-2,8-0,7-0,160,33
43,Bucknell,28-6,43,147,9-3,39,107,15-1,11-4,2-1,1-3,3-1,7-2,17-0,212,78
44,Quinnipiac,26-7,44,111,5-6,64,18,10-2,12-2,4-3,0-7,2-0,6-0,18-0,224,32
45,Clemson,20-13,45,24,9-4,91,101,12-5,5-6,3-2,4-8,4-3,7-2,5-0,126,49
46,North Carolina,18-15,46,14,9-5,63,47,10-4,4-7,4-4,5-8,5-4,5-3,3-0,105,53
47,TCU,24-11,47,59,10-1,43,164,17-3,7-6,0-2,2-9,4-1,12-1,6-0,158,41
48,South Dakota,26-6,48,154,10-2,20,46,11-0,10-3,5-3,4-5,2-0,5-1,15-0,201,50
49,Princeton,22-10,49,81,8-7,78,61,8-3,12-3,2-4,1-5,4-1,8-3,9-1,178,84
50,Southern California,17-13,50,29,10-1,35,167,10-4,6-8,1-1,2-11,3-1,8-1,4-0,150,32
51,Arizona,24-13,51,43,10-1,57,189,17-5,4-7,3-1,5-10,5-1,7-2,7-0,148,37
52,Wyoming,23-9,52,94,5-2,24,25,14-2,6-6,3-1,2-3,3-4,7-2,11-0,183,82
53,Belmont,26-7,53,145,7-4,56,78,11-2,12-4,3-1,0-3,2-2,9-2,15-0,210,70
54,Georgetown,19-16,54,23,6-5,75,24,11-5,7-8,1-3,0-11,6-3,8-2,5-0,142,46
55,Villanova,19-13,55,48,9-2,23,55,11-4,8-7,0-2,1-6,4-5,9-2,5-0,139,54
56,Auburn,21-10,56,73,11-1,38,173,9-5,9-3,3-2,2-8,3-2,7-0,9-0,170,27
57,Maine,25-8,57,152,7-6,58,34,13-1,10-6,2-1,1-2,3-3,5-3,16-0,222,82
58,Pennsylvania,23-7,58,138,9-3,83,188,11-2,11-3,1-2,1-3,4-3,5-1,13-0,202,60
59,Miami (OH),22-9,59,105,8-2,120,321,10-3,11-5,1-1,2-5,5-2,4-1,11-1,183,84
60,Middle Tennessee,23-11,60,93,9-4,47,81,11-3,8-7,4-1,0-4,4-4,9-2,10-1,197,79
61,Little Rock,21-11,61,75,4-7,129,30,10-5,9-5,2-1,0-6,6-3,8-2,7-0,177,70
62,Saint Mary's (CA),21-12,62,69,7-4,74,83,10-5,8-6,3-1,1-7,3-4,10-1,7-0,174,47
63,Cincinnati,24-11,63,96,8-5,123,141,17-2,6-8,1-1,0-5,2-1,12-4,10-1,181,80
64,Virginia Tech,22-12,64,64,13-0,26,171,13-5,4-6,5-1,2-10,4-1,10-1,6-0,157,35
