RPI,Unnamed:_1,Team,Record,RPI.1,SOS,NC_Rec,NC_RPI,NC_SOS,H,R,N,Q1,Q2,Q3,Q4,Unnamed:_17,Unnamed:_18,Unnamed:_19,Unnamed:_20,Unnamed:_21,Unnamed:_22,Unnamed:_23,Unnamed:_24,Unnamed:_25,Unnamed:_26,Unnamed:_27,Unnamed:_28,Unnamed:_29,Unnamed:_30,Unnamed:_31,Unnamed:_32,Unnamed:_33,Unnamed:_34,Unnamed:_35,Unnamed:_36,Unnamed:_37,Unnamed:_38,Unnamed:_39,Unnamed:_40,Unnamed:_41,Unnamed:_42,Unnamed:_43,Unnamed:_44,Unnamed:_45,Unnamed:_46,Unnamed:_47,Unnamed:_48,Unnamed:_49
1,,South Carolina,26-5,1,2,5-2,22,12,10-1,7-3,9-1,13-5,6-0,6-0,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Stanford,31-2,2,14,3-0,3,9,6-0,13-1,12-1,12-1,6-0,10-1,3-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,NC State,22-3,3,15,5-0,18,79,11-0,6-2,5-1,9-2,2-1,6-0,5-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Texas A&M,25-3,4,17,9-0,21,84,13-0,9-1,3-2,9-3,7-0,5-0,4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Connecticut,28-2,5,31,3-1,8,6,11-0,10-1,7-1,8-2,5-0,7-0,8-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Louisville,26-4,6,7,7-0,11,39,13-1,7-1,6-2,8-3,5-1,9-0,4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Baylor,28-3,7,25,5-1,35,75,12-1,10-1,6-1,12-2,2-1,6-0,8-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Maryland,26-3,8,32,4-1,31,26,10-0,9-1,7-2,8-3,4-0,7-0,7-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Missouri State,22-3,9,27,3-2,24,4,7-1,11-0,4-2,3-1,7-2,6-0,6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Arizona,21-6,10,6,2-0,1,2,11-1,4-3,6-2,6-4,5-1,6-1,4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Lehigh,10-6,11,1,0-0,139,3,6-3,4-2,0-1,2-5,0-0,5-0,3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Rice,23-4,12,52,4-1,20,34,8-1,8-2,7-1,2-1,3-1,13-2,5-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,Gonzaga,23-4,13,59,5-2,43,42,9-0,8-2,6-2,1-4,5-0,10-0,7-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Georgia,21-7,14,9,8-0,27,107,10-3,8-2,3-2,6-5,2-2,10-0,3-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Kentucky,18-9,15,4,7-1,25,59,11-2,5-5,2-2,5-6,3-2,9-1,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,West Virginia,22-7,16,26,6-0,15,71,11-2,6-3,5-2,5-6,5-0,6-1,6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,Michigan,16-6,17,21,5-0,10,38,9-1,5-3,2-2,3-5,4-1,5-0,4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,UC Davis,13-3,18,77,1-1,53,14,5-0,5-2,3-1,0-2,1-1,9-0,3-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,South Florida,19-4,19,63,3-1,107,102,10-1,5-2,4-1,3-4,5-0,3-0,8-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Tennessee,17-8,20,5,6-2,79,100,11-2,4-4,2-2,5-8,3-0,3-0,6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Bucknell,9-1,21,85,0-0,323,323,5-1,4-0,0-0,4-1,0-0,1-0,4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Indiana,21-6,22,40,2-2,89,22,10-2,8-2,3-2,7-4,1-2,6-0,7-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Delaware,23-5,23,95,2-1,71,136,10-0,8-3,5-2,2-1,4-3,11-1,6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Central Florida,16-5,24,53,2-1,126,169,8-1,6-2,2-2,4-2,3-2,4-1,5-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Georgia Tech,17-9,25,8,2-1,49,5,9-3,5-4,3-2,3-5,6-3,5-1,3-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Texas,21-10,26,12,6-1,42,32,12-4,5-4,4-2,4-8,6-0,4-2,7-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,UCLA,17-6,27,42,2-0,63,222,8-2,5-2,4-2,3-4,2-2,8-0,4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,California Baptist,24-1,28,227,6-0,44,158,10-0,10-0,4-1,1-1,2-0,9-0,12-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,Tennessee-Martin,22-6,29,90,1-2,59,21,9-1,9-3,4-2,0-3,3-1,9-2,10-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Iowa,20-10,30,23,4-0,9,31,10-3,5-5,5-2,3-7,6-3,3-0,8-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,Arkansas,19-9,31,33,10-1,51,134,12-1,6-5,1-3,4-7,3-2,6-0,6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,South Dakota State,21-4,32,132,7-2,29,36,13-0,8-2,0-2,2-1,5-1,4-1,10-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Iowa State,17-11,33,10,4-3,56,23,10-3,6-6,1-2,2-10,4-1,4-0,7-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Syracuse,14-9,34,22,2-0,2,8,7-1,4-6,3-2,2-6,3-2,6-1,3-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,Brigham Young,19-6,35,89,4-1,64,137,9-0,7-3,3-3,1-3,5-1,7-2,6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,Oregon,15-9,36,13,3-0,6,19,7-4,6-2,2-3,3-7,3-2,5-0,4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,Saint Louis,14-5,37,45,2-0,33,127,5-3,6-0,3-2,0-1,3-3,9-1,2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,Idaho State,21-4,38,176,3-1,75,180,10-0,8-3,3-1,1-2,2-2,7-0,11-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Alabama,17-10,39,20,7-0,30,120,7-5,8-3,2-2,2-9,5-0,6-1,4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,Stephen F. Austin,22-3,40,231,6-2,69,148,10-0,8-2,4-1,0-2,3-0,7-1,12-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,Jackson State,18-6,41,146,1-4,120,50,9-0,7-5,2-1,0-3,1-3,6-0,11-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,Oklahoma State,19-9,42,51,4-2,153,193,11-3,6-4,2-2,2-7,5-1,5-0,7-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,Marist,18-4,43,171,2-0,23,87,8-1,7-2,3-1,0-1,2-1,5-1,11-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,Florida Gulf Coast,24-3,44,211,5-2,57,45,10-2,11-0,3-1,1-2,0-1,7-0,16-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,Belmont,21-6,45,121,3-2,45,29,7-3,10-2,4-1,2-3,2-1,9-1,8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,New Mexico,14-5,46,150,2-0,26,106,2-0,10-2,2-3,0-1,5-3,4-0,5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,Massachusetts,16-8,47,60,4-1,74,196,4-3,6-2,6-3,2-2,5-2,4-2,5-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,Virginia Tech,15-10,48,16,5-0,13,62,9-5,4-3,2-2,1-5,4-2,7-3,3-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Villanova,17-7,49,82,5-0,28,108,7-3,7-2,3-2,1-4,2-2,7-1,7-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,Ohio State,13-7,50,73,4-0,98,269,10-1,3-6,0-0,5-4,0-1,1-1,7-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Marquette,19-7,51,109,3-1,86,159,6-3,11-2,2-2,2-4,3-2,6-1,8-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,Troy,20-6,52,159,2-3,109,53,9-1,7-3,4-2,0-2,1-1,6-3,13-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Northwestern,16-9,53,41,2-0,12,49,7-5,6-2,3-2,4-6,2-2,2-1,8-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,Oregon State,11-8,54,28,1-0,7,24,3-4,5-2,3-2,3-4,2-2,4-1,2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,Boston University,12-3,55,157,0-0,323,323,6-2,6-1,0-0,0-1,2-0,3-1,7-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,South Dakota,18-6,56,177,3-3,80,54,7-0,8-3,3-3,0-5,1-1,2-0,15-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,Drake,18-12,57,68,2-5,105,40,8-2,7-8,3-2,0-6,3-5,7-1,8-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,Mount St. Mary's,17-7,58,134,1-2,129,55,11-1,6-5,0-1,0-2,1-3,7-2,9-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,Rutgers,14-5,59,136,4-0,73,240,9-1,5-2,0-2,1-4,2-1,4-0,7-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,Colorado State,13-6,60,160,2-0,133,302,7-0,6-5,0-1,0-2,4-2,2-1,7-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
