Team,Record,NET Rank
Houston,19-2,1
Purdue,19-2,2
Tennessee,15-4,3
Arizona,15-5,4
Connecticut,18-2,5
BYU,15-5,6
Alabama,14-6,7
North Carolina,17-3,8
Auburn,16-4,9
Iowa State,16-4,10
Wisconsin,16-4,11
Kansas,15-4,12
Creighton,16-5,13
Illinois,15-5,14
New Mexico,17-3,15
Marquette,15-5,16
Dayton,16-3,17
Baylor,13-5,18
Duke,16-4,19
San Diego State,14-4,20
Saint Mary's College,15-6,21
Utah State,16-2,22
Kentucky,15-4,23
Indiana State,17-3,24
Michigan State,12-8,25
Texas Tech,16-3,26
FAU,17-4,27
Clemson,13-6,28
Colorado,15-6,29
TCU,15-5,30
Gonzaga,14-5,31
Cincinnati,14-6,32
Colorado State,13-5,33
Oklahoma,15-5,34
Saint John's,13-7,35
Mississippi State,14-6,36
Utah,14-7,37
SMU,12-7,38
Florida,14-6,39
Washington State,15-6,40
Texas,14-7,41
Princeton,13-2,42
Villanova,11-9,43
Texas A&M,12-8,44
Virginia Tech,13-8,45
Wake Forest,13-6,46
Drake,16-4,47
Grand Canyon,18-2,48
Virginia,15-5,49
South Carolina,17-3,50
Providence,14-6,51
Butler,13-7,52
Xavier,10-10,53
Oregon,14-6,54
Boise State,12-6,55
Ole Miss,17-3,56
Iowa,12-8,57
San Francisco,15-6,58
Northwestern,15-5,59
Nebraska,15-6,60
McNeese,15-2,61
Miami (FL),14-6,62
Nevada,15-5,63
Bradley,14-6,64
James Madison,17-3,65
Memphis,15-5,66
Pittsburgh,12-8,67
Ohio State,13-7,68
North Texas,10-7,69
Richmond,15-5,70
UCF,12-7,71
Saint Bonaventure,12-7,72
Kansas State,14-6,73
Seton Hall,13-8,74
Washington,12-9,75
UC Irvine,14-6,76
Appalachian State,15-4,77
Syracuse,13-6,78
Cornell,13-3,79
Georgia,14-6,80
Maryland,13-8,81
George Mason,14-5,82
Louisiana Tech,12-6,83
North Carolina State,13-7,84
Samford,16-3,85
Saint Joseph's,13-7,86
Florida State,12-8,87
UMass,13-7,88
VCU,13-7,89
Boston College,12-8,90
Yale,11-6,91
Minnesota,13-7,92
Akron,13-5,93
LSU,11-9,94
Charlotte,12-7,95
Duquesne,10-8,96
Indiana,12-8,97
UNLV,8-9,98
Rutgers,10-9,99
USC,8-12,100
Michigan,7-13,101
Northern Iowa,11-9,102
Morehead State,12-5,103
Drexel,14-7,104
Southern Illinois,13-7,105
UC San Diego,12-7,106
Vermont,14-5,107
Santa Clara,14-7,108
Stanford,10-9,109
Liberty,10-8,110
Youngstown State,12-6,111
UNCW,11-6,112
High Point,16-4,113
Western Carolina,13-5,114
Charleston,14-6,115
Eastern Washington,11-7,116
South Florida,13-5,117
Tulane,11-8,118
Louisiana,10-8,119
Arizona State,11-9,120
Loyola-Chicago,12-7,121
UMass-Lowell,11-5,122
Missouri,8-12,123
UNCG,13-6,124
Davidson,10-8,125
Penn State,9-11,126
Seattle University,11-8,127
Toledo,13-7,128
Montana,11-7,129
Arkansas,10-10,130
Towson,12-8,131
Chattanooga,12-7,132
California,8-12,133
Georgia Tech,9-11,134
UCLA,8-11,135
Weber State,9-9,136
UAB,12-7,137
Oklahoma State,9-11,138
Colgate,12-8,139
Hofstra,10-10,140
Missouri State,12-9,141
Oakland,13-9,142
Stephen F. Austin,10-8,143
Furman,9-9,144
Bryant,11-8,145
Wright State,10-10,146
Wichita State,8-11,147
Lipscomb,11-9,148
Troy,10-8,149
Western Kentucky,11-6,150
Quinnipiac,15-4,151
West Virginia,7-13,152
UC Santa Barbara,10-7,153
Delaware,11-9,154
Saint Thomas,11-8,155
Purdue Fort Wayne,12-7,156
UNC Asheville,11-8,157
California Baptist,11-7,158
South Dakota State,9-10,159
Oregon State,10-9,160
Murray State,7-13,161
Belmont,11-9,162
George Washington,13-6,163
Long Beach State,11-8,164
Loyola-Marymount,9-11,165
Winthrop,11-9,166
Wyoming,9-9,167
Northern Colorado,10-8,168
UC Davis,10-8,169
Fairfield,11-8,170
Notre Dame,7-13,171
Ohio,9-10,172
Longwood,11-8,173
Iona,9-10,174
Jacksonville State,8-10,175
Fordham,9-11,176
Kent State,8-10,177
Tulsa,10-8,178
Tarleton State,10-7,179
UTA,7-11,180
Utah Valley,7-11,181
Monmouth,11-10,182
Georgetown,8-12,183
East Carolina,10-10,184
Harvard,9-7,185
Saint Peter's,10-7,186
Radford,11-9,187
San Jose State,7-12,188
Merrimack,10-10,189
Gardner-Webb,7-12,190
Denver,9-9,191
Norfolk State,10-8,192
UIC,7-13,193
New Hampshire,11-8,194
Arkansas State,8-12,195
Northern Kentucky,9-11,196
Penn,7-10,197
Green Bay,12-9,198
Sam Houston State,10-9,199
Evansville,11-9,200
La Salle,10-9,201
Wofford,9-9,202
Rhode Island,8-11,203
Marshall,10-11,204
Cleveland State,12-9,205
Eastern Kentucky,8-9,206
Hawaii,9-10,207
Stetson,10-9,208
Bowling Green,12-6,209
Stony Brook,10-10,210
Columbia,7-7,211
Air Force,8-11,212
Austin Peay,7-12,213
Cal State Fullerton,9-10,214
Texas A&M-Corpus Christi,9-8,215
Portland State,10-8,216
Southern,8-9,217
Cal State Northridge,11-8,218
Central Connecticut,10-8,219
Kennesaw State,10-8,220
Marist,10-8,221
Illinois State,9-11,222
Southern Miss,10-9,223
Oral Roberts,7-11,224
Fresno State,8-11,225
UTEP,8-10,226
East Tennessee State,8-11,227
Miami (OH),8-10,228
Georgia State,7-11,229
Albany,10-10,230
