Team,Record,NET_Rank
Houston,22-3,1
Purdue,23-3,2
Arizona,20-5,3
Connecticut,24-2,4
Alabama,18-7,5
Tennessee,19-6,6
Auburn,20-6,7
Iowa State,20-5,8
North Carolina,20-6,9
Brigham Young,18-7,10
Baylor,18-6,11
Illinois,19-6,12
Creighton,19-7,13
Marquette,19-6,14
Saint Mary's (CA),20-6,15
Kansas,19-6,16
Duke,20-5,17
San Diego State,18-6,18
Dayton,21-4,19
Michigan State,17-9,20
Kentucky,18-7,21
Wisconsin,17-9,22
Gonzaga,19-6,23
New Mexico,19-6,24
Colorado State,18-6,25
Texas Tech,18-7,26
Florida Atlantic,20-6,27
Clemson,17-8,28
Florida,18-7,29
Utah State,19-5,30
Washington State,20-6,31
Indiana State,21-5,32
Texas,16-9,33
Villanova,14-11,34
Cincinnati,16-9,35
TCU,18-7,36
Mississippi State,17-8,37
Oklahoma,18-8,38
Wake Forest,16-9,39
Virginia,20-6,40
Southern Methodist,17-7,41
Colorado,17-9,42
Boise State,15-8,43
Nevada,19-6,44
St. John's (NY),14-11,45
Texas A&M,15-10,46
Pittsburgh,17-8,47
Grand Canyon,23-2,48
Utah,15-10,49
Nebraska,18-8,50
Drake,21-5,51
McNeese State,19-3,52
Princeton,17-3,53
Xavier,13-12,54
James Madison,23-3,55
Butler,15-10,56
South Carolina,21-5,57
Providence,17-9,58
Northwestern,17-8,59
San Francisco,20-6,60
Oregon,17-8,61
Bradley,17-9,62
Virginia Tech,14-11,63
Mississippi,19-6,64
Samford,21-4,65
Iowa,15-11,66
Central Florida,13-11,67
Seton Hall,16-9,68
St. Bonaventure,16-9,69
Virginia Commonwealth,17-8,70
Washington,14-12,71
Ohio State,15-11,72
Richmond,18-7,73
North Texas,12-11,74
Maryland,14-12,75
NC State,16-9,76
Appalachian State,20-5,77
Miami (FL),15-11,78
UC Irvine,18-7,79
Kansas State,15-10,80
Memphis,18-7,81
Minnesota,15-9,82
Yale,15-7,83
Rutgers,14-10,84
George Mason,16-8,85
Cornell,17-4,86
Louisiana Tech,15-8,87
Louisiana State,13-12,88
Boston College,15-10,89
Syracuse,15-10,90
Massachusetts,16-9,91
Akron,17-6,92
Nevada-Las Vegas,12-10,93
Florida State,13-12,94
Charlotte,16-8,95
Georgia,14-11,96
Saint Joseph's,16-10,97
Indiana,14-10,98
South Florida,19-5,99
Penn State,12-14,100
Duquesne,14-10,101
Loyola (IL),18-7,102
Stanford,12-13,103
Vermont,19-6,104
UCLA,13-11,105
Santa Clara,16-10,106
UNC Wilmington,16-7,107
Southern California,10-16,108
Southern Illinois,16-10,109
High Point,20-6,110
UC San Diego,15-9,111
Morehead State,16-7,112
Liberty,13-10,113
Davidson,12-11,114
College of Charleston,18-7,115
UAB,16-8,116
