RPI,Team,Record,SOS,NC_Rec,NC_RPI,NC_SOS,H,R,N,Q1,Q2,Q3,Q4
1,Purdue,21-2,2,11-0,1,1,11-0,5-2,5-0,6-2,8-0,4-0,3-0
2,San Diego State,15-5,5,9-2,2,4,9-0,3-5,3-0,2-5,5-0,6-0,2-0
3,Houston,19-3,19,13-0,7,87,12-0,3-3,4-0,5-3,2-0,5-0,7-0
4,Tennessee,16-5,1,10-3,8,5,10-1,4-2,2-2,8-5,2-0,2-0,4-0
5,Dayton,18-3,24,10-2,6,12,11-0,4-2,3-1,1-3,4-0,9-0,4-0
6,Utah State,17-3,34,10-1,4,41,8-0,5-3,4-0,2-3,4-0,4-0,7-0
7,Kansas,17-4,15,11-1,9,43,12-0,2-3,3-1,4-2,5-1,2-1,6-0
8,Connecticut,20-2,79,10-1,21,151,12-0,4-2,4-0,4-2,8-0,1-0,7-0
9,North Carolina,18-4,26,8-3,45,53,10-0,5-1,3-3,4-2,7-2,2-0,5-0
10,Wisconsin,16-6,6,8-3,26,23,11-2,3-4,2-0,3-5,4-0,4-1,5-0
11,Arizona,16-5,10,9-2,5,3,11-0,3-3,2-2,5-3,2-1,5-1,4-0
12,Alabama,16-6,4,8-5,40,6,11-1,3-2,2-3,5-5,2-1,3-0,6-0
13,Colorado State,15-5,11,10-1,10,33,9-1,3-4,3-0,3-3,4-2,5-0,3-0
14,New Mexico,17-4,37,11-1,12,79,10-1,3-3,4-0,2-3,3-1,5-0,7-0
15,Auburn,18-4,55,11-2,25,110,11-0,3-3,4-1,2-4,5-0,5-0,6-0
16,Indiana State,19-3,100,8-2,73,280,9-0,6-3,4-0,3-3,2-0,6-0,8-0
17,Marquette,17-5,36,9-2,11,17,10-1,5-3,2-1,3-4,4-1,3-0,7-0
18,Mississippi,18-4,57,13-0,13,153,13-1,3-3,2-0,2-3,3-1,8-0,5-0
19,Illinois,16-5,28,9-2,29,59,11-2,3-3,2-0,1-4,4-0,6-1,5-0
20,Florida Atlantic,18-4,65,10-3,22,25,9-1,3-2,6-1,1-2,5-0,6-1,6-1
21,Syracuse,13-8,3,8-2,14,13,10-1,2-5,1-2,0-5,3-3,8-0,2-0
22,Baylor,15-5,30,10-2,33,92,10-1,2-2,3-2,2-3,6-2,2-0,5-0
23,Princeton,14-3,125,10-1,15,119,5-0,8-3,1-0,1-2,1-1,7-0,5-0
24,Grand Canyon,20-2,153,9-1,16,68,11-0,7-1,2-1,1-1,1-1,8-0,10-0
25,South Carolina,19-3,121,12-1,47,287,11-1,5-2,3-0,3-2,4-1,3-0,9-0
26,Clemson,14-7,9,10-1,3,14,8-3,3-4,3-0,4-4,3-2,2-1,5-0
27,Boise State,14-6,13,7-4,59,31,8-2,4-1,2-3,5-3,1-2,4-1,4-0
28,Drake,17-5,90,8-2,37,118,11-0,3-4,3-1,2-1,2-3,5-1,8-0
29,Bradley,16-6,47,7-3,20,7,9-2,5-3,2-1,1-3,2-1,8-1,5-1
30,Florida,15-7,31,10-3,39,89,9-1,2-4,4-2,1-6,4-1,5-0,5-0
31,Utah,15-7,35,9-2,24,63,12-0,1-5,2-2,1-3,5-4,3-0,6-0
32,Virginia,17-5,104,9-2,38,125,12-0,3-4,2-1,3-3,3-1,3-1,8-0
33,Colorado,15-7,45,9-2,27,78,12-0,1-6,2-1,0-4,5-2,3-1,7-0
34,Nebraska,16-6,52,10-1,66,248,14-1,1-5,1-0,2-1,4-4,4-1,6-0
35,Creighton,16-6,59,9-2,19,56,10-2,5-3,1-1,3-3,4-2,3-1,6-0
36,Duke,16-5,81,9-2,52,130,10-2,4-3,2-0,5-2,2-2,3-1,6-0
37,Iowa State,16-5,86,11-2,102,289,13-0,2-3,1-2,3-3,1-2,3-0,9-0
38,Mississippi State,14-8,23,11-2,32,116,8-2,0-6,6-0,4-6,0-1,4-0,6-1
39,Texas Tech,16-5,83,11-2,70,259,11-1,2-3,3-1,2-3,1-2,4-0,9-0
40,Northwestern,15-7,48,9-2,137,309,11-1,2-5,2-1,3-5,1-0,5-1,6-1
41,Brigham Young,16-5,76,12-1,34,249,11-2,2-3,3-0,1-4,4-1,4-0,7-0
42,Samford,18-3,197,9-2,60,247,12-0,6-3,0-0,0-1,1-1,8-1,9-0
43,Saint Mary's (CA),17-6,51,8-6,89,18,10-3,6-0,1-3,2-2,4-2,4-2,7-0
44,Cornell,15-3,205,9-3,50,217,5-0,8-3,2-0,1-3,0-0,6-0,8-0
45,Kentucky,15-6,41,10-2,46,126,10-3,3-2,2-1,2-5,3-1,2-0,8-0
46,Yale,13-6,96,7-6,55,48,4-1,7-4,2-1,1-2,2-1,4-2,6-1
47,Nevada,16-5,107,12-1,23,172,10-1,3-3,3-1,1-4,2-1,5-0,8-0
48,Washington State,16-6,80,9-2,78,204,11-1,3-3,2-2,2-3,4-1,4-2,6-0
49,Michigan State,14-8,14,8-3,54,35,12-2,1-4,1-2,2-7,2-0,6-1,4-0
50,UNC Wilmington,13-6,124,6-3,56,164,4-0,8-5,1-1,1-0,2-4,5-2,5-0
51,UC Irvine,16-6,140,6-5,68,85,8-0,5-6,3-0,0-4,0-0,7-1,9-1
52,Texas,15-7,42,11-2,43,175,10-3,3-3,2-1,4-4,0-1,3-2,8-0
53,Oklahoma,16-6,74,12-1,41,243,11-2,2-3,3-1,1-3,4-3,3-0,8-0
54,Cincinnati,15-7,53,11-2,57,203,12-2,3-4,0-1,2-4,1-2,6-1,6-0
