Team,Record,NET_Rank
South Carolina,27-0,1
Connecticut,24-5,2
Stanford,24-4,3
Texas,26-4,4
Iowa,25-4,5
UCLA,22-5,6
Utah,19-8,7
Ohio State,24-3,8
Louisiana State,24-4,9
Notre Dame,21-6,10
Gonzaga,29-2,11
Southern California,21-5,12
Indiana,23-4,13
Virginia Tech,23-4,14
NC State,23-5,15
Colorado,20-7,16
Kansas State,23-6,17
Baylor,22-6,18
Oregon State,22-5,19
Duke,18-9,20
West Virginia,22-6,21
Michigan State,20-7,22
Louisville,22-7,23
Creighton,23-4,24
Washington State,17-13,25
Oklahoma,21-7,26
Alabama,21-8,27
Nebraska,19-9,28
Princeton,20-4,29
North Carolina,18-10,30
Penn State,17-11,31
Maryland,16-11,32
Arizona,16-12,33
Iowa State,17-10,34
Nevada-Las Vegas,25-2,35
Middle Tennessee,23-4,36
Marquette,21-7,37
Tennessee,16-10,38
Texas A&M,18-9,39
Kansas,17-11,40
Mississippi State,20-9,41
Florida State,20-8,42
Mississippi,20-7,43
Syracuse,23-5,44
TCU,18-9,45
Illinois,13-13,46
Auburn,17-10,47
Miami (FL),17-10,48
Washington,15-12,49
Green Bay,23-5,50
Villanova,17-11,51
Michigan,17-12,52
Richmond,25-5,53
Florida Gulf Coast,22-4,54
Oklahoma State,14-14,55
Vanderbilt,20-8,56
South Dakota State,20-5,57
Saint Joseph's,25-4,58
Columbia,19-5,59
Minnesota,15-13,60
Florida,14-12,61
Virginia,14-13,62
California,16-12,63
George Mason,22-5,64
Arkansas,18-11,65
Seton Hall,16-12,66
Toledo,21-4,67
Stony Brook,21-3,68
Belmont,20-7,69
Virginia Commonwealth,24-4,70
Drake,22-5,71
Purdue,12-16,72
Georgia Tech,15-14,73
Eastern Washington,21-5,74
Texas Tech,16-14,75
Ball State,23-4,76
Santa Clara,20-7,77
Brigham Young,16-14,78
Cleveland State,26-4,79
Missouri,11-16,80
St. John's (NY),17-13,81
Davidson,18-8,82
Fairfield,23-1,83
Marshall,20-6,84
Rhode Island,17-13,85
North Texas,20-7,86
Harvard,15-9,87
Clemson,11-17,88
Central Florida,11-15,89
Grand Canyon,22-5,90
Georgia,12-15,91
Cincinnati,13-15,92
Oregon,11-18,93
Boston College,11-18,94
Georgetown,18-10,95
Montana,18-7,96
Colorado State,17-9,97
Houston,13-15,98
Temple,17-11,99
Northern Iowa,11-14,100
Jackson State,16-6,101
DePaul,12-18,102
Rice,15-12,103
Murray State,15-9,104
North Dakota State,16-9,105
Chattanooga,21-4,106
South Florida,16-13,107
East Carolina,15-12,108
Missouri State,18-7,109
Arizona State,11-17,110
Wyoming,14-12,111
Troy,18-10,112
Kent State,15-8,113
Maine,19-9,114
James Madison,19-10,115
Portland,15-12,116
Norfolk State,20-5,117
Tulsa,21-8,118
Old Dominion,20-7,119
Southern Methodist,14-13,120
Charlotte,16-12,121
Illinois State,17-8,122
Wisconsin,13-13,123
Butler,13-14,124
Providence,12-18,125
Boise State,17-10,126
Duquesne,18-10,127
Northern Arizona,19-8,128
California Baptist,22-3,129
Lamar,18-5,130
Memphis,12-15,131
Vermont,18-10,132
Southern Mississippi,16-11,133
South Dakota,16-10,134
Wake Forest,6-22,135
UC Irvine,17-8,136
North Carolina A&T,15-8,137
Louisiana-Monroe,16-11,138
UTSA,14-13,139
College of Charleston,16-7,140
Liberty,11-14,141
Oral Roberts,15-9,142
San Diego State,16-11,143
Hawaii,16-9,144
UAB,17-10,145
Montana State,15-13,146
Purdue Fort Wayne,17-11,147
Kentucky,11-17,148
Stephen F. Austin,16-9,149
Rutgers,8-22,150
Pacific,14-12,151
Albany (NY),22-4,152
New Mexico,19-9,153
Cal Poly,14-11,154
Pittsburgh,8-21,155
Central Arkansas,16-10,156
Illinois-Chicago,16-11,157
San Francisco,11-15,158
Monmouth,17-8,159
Saint Louis,12-17,160
Southern Indiana,18-6,161
Loyola (IL),14-14,162
Brown,13-10,163
East Tennessee State,16-9,164
Tulane,10-17,165
Arkansas State,12-15,166
Western Kentucky,14-14,167
Appalachian State,15-14,168
Northern Colorado,11-13,169
Fordham,10-15,170
William & Mary,14-11,171
Lipscomb,14-11,172
Pennsylvania,11-11,173
Bowling Green State,14-12,174
Southeastern Louisiana,14-9,175
Florida International,17-9,176
Eastern Kentucky,18-8,177
Delaware,10-16,178
Louisiana Tech,10-17,179
Louisiana,12-13,180
Arkansas-Pine Bluff,13-13,181
Idaho,11-14,182
UC Davis,13-12,183
George Washington,11-17,184
Holy Cross,15-11,185
UT Arlington,14-13,186
Buffalo,15-10,187
Drexel,11-13,188
Austin Peay,12-13,189
Utah Tech,14-11,190
Towson,16-9,191
