Seed,Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,SOS,Conf_NC_WP
1.0,Gonzaga-2022,2.4962,1.4245,0.9019,1.7244,2.114,2.716,2.4257,1.6215,0.8724,0.6803
1.0,Arizona-2022,2.2394,1.678,1.2987,1.6954,2.1986,2.5906,2.004,1.6215,1.2988,0.9792
0.75,Houston-2022,2.417,1.4245,1.5503,1.7148,1.8709,1.2835,2.4257,1.6215,1.2314,0.9488
1.0,Kansas-2022,2.2854,1.4245,1.6857,1.7051,1.7073,2.8626,2.0884,1.6215,2.1114,1.8804
1.0,Baylor-2022,2.2741,1.7344,0.5439,1.6857,1.6461,2.3392,2.004,1.2916,1.6486,1.8804
0.9375,Kentucky-2022,2.1269,1.4245,0.8148,1.647,1.5092,1.5849,1.8634,1.6215,1.5138,1.3524
0.875,Tennessee-2022,2.1559,1.0369,1.3567,1.6664,1.5092,1.4237,2.4257,1.6215,1.8636,1.3524
0.875,Texas Tech-2022,2.117,1.4245,-0.027,1.6567,1.2166,1.208,2.0884,1.3152,1.6286,1.8804
0.9375,Duke-2022,2.0413,1.678,1.26,1.6373,1.7073,3.0929,0.7391,1.6215,1.3753,0.9792
0.9375,Villanova-2022,2.0979,0.8354,1.6567,1.676,1.5092,2.3181,1.8634,1.6215,1.9274,1.5336
0.8125,UCLA-2022,2.0314,1.5966,1.647,1.6277,1.472,1.7736,1.6762,1.3534,1.5757,0.9792
0.9375,Auburn-2022,1.9535,1.7344,1.2503,1.6083,1.8203,2.2637,1.462,1.6215,1.5411,1.3524
0.875,Purdue-2022,2.0108,2.0443,0.4568,1.618,1.5437,1.9623,1.5824,1.6215,1.5521,1.6001
0.75,Iowa-2022,1.921,1.678,0.0214,1.5986,1.2589,1.3654,0.9799,1.6215,1.3043,1.6001
0.6875,Louisiana State-2022,1.7738,1.7344,0.66,1.5406,0.8349,0.9566,1.1607,1.3152,1.5648,1.3524
0.6875,Texas-2022,1.8757,1.4245,-0.2302,1.5793,0.7765,0.8312,1.462,1.3152,1.6687,1.8804
0.8125,Illinois-2022,1.7646,0.8354,0.9987,1.589,1.0742,2.1818,0.4982,1.3152,1.7798,1.6001
0.75,Connecticut-2022,1.6825,1.3117,0.5149,1.5599,1.1248,1.208,1.462,1.6215,1.3061,1.5336
