Seed,Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,SOS,Conf_NC_WP
1.0,Alabama-2023,2.4119,1.1483,1.7151,1.7177,1.9896,2.9749,1.9764,1.741,1.817,1.4122
0.8125,Connecticut-2023,2.4206,2.1246,1.5814,1.6603,1.424,2.2853,1.9764,1.4546,1.6076,1.1229
1.0,Houston-2023,2.4878,1.7993,1.5433,1.7273,2.3392,2.9446,2.3446,1.5119,0.924,0.7228
0.9375,UCLA-2023,2.374,1.3555,1.381,1.7081,1.9896,1.6342,1.9764,1.741,1.6351,0.8202
0.8125,Tennessee-2023,2.285,1.474,1.6292,1.6986,1.0643,1.9192,1.1018,1.4139,1.5102,1.4122
0.9375,Texas-2023,2.1894,1.474,1.152,1.6699,1.4661,2.2397,1.7921,1.741,1.9604,2.0132
1.0,Kansas-2023,2.0107,1.7993,1.4765,1.6507,1.6406,2.5939,1.9303,1.741,2.2195,2.0132
0.9375,Arizona-2023,1.953,2.1246,1.5623,1.6411,1.8151,3.9131,0.9242,1.0176,1.5763,0.8202
0.875,Gonzaga-2023,1.9888,1.2181,1.7055,1.6794,1.9635,2.3463,2.3446,1.4546,1.5212,0.6985
1.0,Purdue-2023,2.0347,2.1246,0.8847,1.689,1.9896,2.7739,2.3446,1.1683,1.5708,1.5693
0.6875,Creighton-2023,1.9144,0.2019,1.6482,1.5742,0.7046,1.1866,1.019,1.232,1.8446,1.1229
0.75,Saint Mary's (CA)-2023,1.9545,0.916,1.6864,1.6316,1.6038,2.6186,1.3978,1.1683,1.3632,0.6985
0.875,Baylor-2023,1.8195,1.474,1.4478,1.5933,1.0079,1.9192,1.1018,1.741,1.9806,2.0132
0.9375,Marquette-2023,1.8122,0.971,0.2071,1.622,1.8151,2.1525,1.3978,1.741,1.5157,1.1229
0.875,Xavier-2023,1.6605,0.971,1.6101,1.5263,1.2916,1.7219,2.3446,0.9324,1.727,1.1229
0.5625,Arkansas-2023,1.6955,1.474,1.696,1.5359,0.5247,0.9579,1.24,1.4139,1.8575,1.4122
0.5,West Virginia-2023,1.6868,1.474,1.3619,1.4976,0.3449,0.6375,1.3978,1.3245,2.0449,2.0132
0.75,Duke-2023,1.7604,1.3555,1.4669,1.5837,1.4661,1.9192,1.1018,1.741,1.4109,1.0724
0.75,San Diego State-2023,1.7393,0.971,1.7246,1.6029,1.7836,2.4319,1.871,1.741,1.6829,1.2106
0.875,Kansas State-2023,1.6722,1.7993,0.1785,1.5072,1.1937,2.2853,1.1018,1.4139,1.7858,2.0132
0.6875,TCU-2023,1.6196,1.474,-1.0622,1.4689,0.7046,1.0646,1.5161,1.3593,1.6572,2.0132
0.6875,Iowa State-2023,1.6379,1.067,-0.0697,1.5455,0.4517,1.9192,-0.0226,1.2828,1.953,2.0132
0.8125,Indiana-2023,1.6123,1.3555,1.3047,1.4498,0.8844,1.0646,1.3504,1.3887,1.6756,1.5693
0.5,Illinois-2023,1.5511,1.3555,0.293,1.4115,0.6369,0.5391,0.9242,1.741,1.4495,1.5693
0.6875,Kentucky-2023,1.6262,0.8229,1.1042,1.488,0.8221,1.4065,1.7921,1.0364,1.5285,1.4122
0.5625,Maryland-2023,1.6525,1.3555,1.1901,1.4402,0.7046,1.0646,0.5034,1.741,1.5782,1.5693
0.5625,Memphis-2023,1.5343,1.1483,1.3906,1.5167,1.4661,2.1525,1.019,1.2585,1.3117,0.7228
0.5,Auburn-2023,1.5416,1.1483,1.5242,1.4306,0.6369,0.3811,2.3446,1.4139,1.7509,1.4122
0.625,Michigan State-2023,1.5671,0.971,1.4383,1.4211,0.5651,1.686,0.6876,1.0364,2.1111,1.5693
0.4375,Utah State-2023,1.5073,1.4194,1.4096,1.5646,1.4661,0.8938,2.3446,1.1303,1.2952,1.2106
0.5625,Iowa-2023,1.4956,0.971,0.0067,1.3636,0.4517,0.495,1.1396,0.6836,1.6406,1.5693
0.75,Miami (FL)-2023,1.5044,1.7016,1.5146,1.4019,1.564,2.3463,1.9303,1.2022,1.3007,1.0724
0.5,Florida Atlantic-2023,1.5277,1.6546,0.9038,1.6124,2.3392,2.9446,2.3446,1.5417,0.4664,0.981
0.625,Texas A&M-2023,1.516,0.4976,-0.4323,1.555,1.2916,1.9192,2.3446,0.9324,1.4073,1.4122
0.625,Northwestern-2023,1.4679,1.3555,0.2739,1.3445,0.8221,2.6186,0.5034,0.7592,1.6443,1.5693
0.8125,Virginia-2023,1.5233,1.6546,1.2856,1.4785,1.564,1.2784,1.5161,1.4716,1.1427,1.0724
0.4375,Southern California-2023,1.3818,0.971,0.8943,1.2584,1.0079,0.8205,0.6876,1.232,1.5138,0.8202
0.4375,Penn State-2023,1.4365,1.3555,0.4266,1.2775,0.6583,1.4065,0.56,1.4139,1.7013,1.5693
0.375,Providence-2023,1.3337,0.971,-0.5182,1.201,0.8221,0.2878,1.5161,1.232,1.2474,1.1229
0.4375,Boise State-2023,1.3957,1.067,0.7798,1.4593,1.2441,1.2199,1.871,1.1303,1.1849,1.2106
0.375,NC State-2023,1.3059,1.7401,0.0449,1.3062,1.0643,1.0646,1.1018,1.2022,1.0692,1.0724
0.375,Mississippi State-2023,1.2738,1.7993,-0.146,1.2679,0.7046,0.6375,1.019,1.2022,1.2731,1.4122
0.625,Missouri-2023,1.2177,1.7993,0.2644,1.3349,1.2441,1.0646,1.3978,1.741,1.3099,1.4122
0.375,Arizona State-2023,1.2323,1.3555,0.8084,1.1053,0.7681,1.6342,0.6876,0.7766,1.5469,0.8202
0.375,Pittsburgh-2023,1.1681,0.5865,0.9897,1.0957,0.8844,1.686,0.6876,1.0176,0.9993,1.0724
