Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
Arizona,2.4868,1.3378,1.7177,1.7081,1.5658,2.8246,2.2493,0.9518,0.8762
Houston,2.7633,2.0941,0.8756,1.7273,2.0542,2.4558,2.2493,1.6194,1.7764
Purdue,2.4169,2.0941,1.7273,1.7177,2.0542,3.0704,1.8628,1.6194,1.4909
Alabama,2.3177,0.4942,1.6986,1.689,1.1062,1.3497,1.6308,1.6194,1.3583
Connecticut,2.3095,1.7159,-0.2536,1.6986,2.2725,1.8413,2.2493,1.6194,1.1057
Iowa State,2.1628,1.4543,-1.067,1.6603,1.3877,2.1146,1.0124,1.6194,1.7764
Auburn,2.1173,1.4543,0.866,1.6699,1.3877,1.2267,1.8074,1.6194,1.3583
Tennessee,2.1228,1.134,1.6699,1.6794,1.336,2.5119,1.0124,1.6194,1.3583
Brigham Young,2.0256,1.7742,-0.6651,1.6411,1.1062,1.2267,1.2186,1.3299,1.7764
Baylor,2.0345,1.4006,0.9234,1.6316,1.336,1.2267,1.5622,1.6194,1.7764
North Carolina,1.9475,0.9597,1.2967,1.6507,1.3877,1.4903,1.9682,1.0768,1.2632
Illinois,1.921,1.3378,1.1627,1.622,1.336,0.2027,2.2493,1.2856,1.4909
Creighton,1.917,1.3378,1.2775,1.6124,1.1694,1.8413,1.4762,1.0408,1.1057
Duke,1.9095,1.3378,0.4163,1.5742,1.5658,2.6608,1.7338,0.9518,1.2632
Michigan State,1.8212,0.9597,1.4402,1.5455,0.727,0.858,2.2493,0.8055,1.4909
Marquette,1.8232,1.3378,1.555,1.5933,1.336,1.4903,1.7338,1.2578,1.1057
Kansas,1.7791,1.7476,1.201,1.5837,1.3877,2.6608,1.3658,1.1371,1.7764
Kentucky,1.6446,1.134,0.2153,1.5359,1.1062,2.1146,-0.07,1.6194,1.3583
Saint Mary's (CA),1.7927,0.3112,1.5455,1.6029,1.4394,2.3329,1.0124,1.0768,0.1142
