Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
South Carolina,3.0624,1.9729,1.4674,1.7272,2.3849,4.6768,2.2536,1.3638,1.6935
Connecticut,2.6499,0.3539,1.7176,1.708,1.5027,2.5356,2.2536,1.3638,0.8682
Texas,2.5703,1.9729,0.5822,1.6984,1.8379,2.9642,2.2536,1.3638,1.8103
Stanford,2.6653,1.6493,1.6406,1.7176,1.8181,3.2756,2.2536,1.3638,1.9653
Iowa,2.3979,1.6493,1.6888,1.6888,1.8181,2.9642,2.2536,1.3638,1.3317
UCLA,2.3377,1.9729,1.5059,1.6695,1.3992,2.9642,1.4986,1.3638,1.9653
Louisiana State,2.125,1.6955,-1.0056,1.6503,1.6259,2.3933,2.2536,1.3638,1.6935
Ohio State,2.2895,1.1958,1.1884,1.6599,1.7935,2.7499,2.2536,1.3638,1.3317
Utah,2.2339,1.1958,0.1684,1.6791,1.0592,1.6795,2.2536,1.3638,1.9653
NC State,2.1022,1.9729,1.5733,1.6214,1.8181,2.9642,2.2536,1.3638,1.304
Notre Dame,2.047,1.6197,0.9286,1.6406,1.2021,2.1076,1.4986,1.3638,1.304
Southern California,2.1379,1.9729,1.0537,1.631,1.5619,2.9642,2.2536,0.9432,1.9653
Colorado,2.054,1.6197,1.2846,1.5829,1.3992,2.3414,2.2536,1.3638,1.9653
Kansas State,2.0028,1.6741,0.8131,1.5925,1.6259,2.3933,2.2536,1.3638,1.8103
Indiana,2.0137,1.5844,1.4578,1.5733,1.5964,2.4745,1.8221,1.3638,1.3317
West Virginia,1.9377,1.9729,-0.9478,1.5444,1.7935,2.1076,2.2536,1.3638,1.8103
Baylor,1.9431,1.9729,-0.4282,1.554,1.2021,1.4652,1.6496,1.3638,1.8103
Oregon State,1.9635,1.9729,0.4378,1.5637,1.5964,2.6214,2.2536,1.3638,1.9653
Virginia Tech,1.965,1.2665,0.3512,1.6022,1.6259,2.8085,2.2536,1.3638,1.304
Michigan State,1.8412,1.6197,-0.1395,1.5252,1.005,1.4652,1.0456,1.3638,1.3317
Gonzaga,1.96,1.455,1.6503,1.6118,2.035,2.9642,2.2536,1.3638,-0.0688
Duke,1.8417,0.9134,1.6695,1.5348,0.6107,1.0798,2.2536,0.5226,1.304
Louisville,1.7717,1.3753,1.3135,1.5156,1.2908,2.1076,2.2536,1.3638,1.304
Washington State,1.7026,1.3753,1.1691,1.4963,0.3791,1.251,1.247,0.9432,1.9653
Penn State,1.548,1.2665,0.1491,1.4674,0.4875,-0.4617,1.247,1.0197,1.3317
Creighton,1.6449,1.5844,1.6599,1.5059,1.5964,2.4745,1.8221,1.3638,0.8682
Oklahoma,1.5087,0.207,1.3616,1.4771,1.0592,1.8738,2.2536,0.8906,1.8103
Maryland,1.5122,0.9134,1.6791,1.4386,0.4136,0.0054,2.2536,1.3638,1.3317
Tennessee,1.4799,0.3539,1.631,1.3712,0.6107,1.251,1.6496,1.3638,1.6935
