,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
0,,Updated February  20,Updated February  20,Average Seed,Average Seed,,ESPN,CBS,131,5Star,AHB,AMA,Board,BoB,Brodd,BU,BV,Calm,CD,Dom,FOX,Hall,Hark,HM,INCC,Jeff,JNG,Katz,Liker,Lobo,Logo,MM24,Mon,MtM,Prop,PS,RFS,RM,SBN,SI,Skar,T3,U-State,USAT,Venom,VO,WA,WAG,Zac,,4and24,AA,ACC,B12,Bauer,BBP,BKS,BR-KM,brac,Brad,Clutch,Cox,CPI,CS,CST,F&B,GDB,Guru,Heart,HHD,Hind,Ivar,Jake,jMorr,JSch,JW,KHB,Kyle,Made,MB,Mill,MSB,NP,Oak,Pi,Proj,Roto,RWX,SDMN,SN,Stad,TRR,TSB,TSN,TSR,WR,Benz,CSM,D2S,HHD-JT,JH,JSB,Selje,MJ,17th,AnB,Ath,Busky,Delphi,HBC,Meyer,PW,S64,Sluder,Updates,
1,,,,# of Brackets,# of Brackets,,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2//20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/18,2/18,2/18,2/18,2/18,2/18,2/18,2/17,2/16,2/16,2/16,2/16,2/16,2/16,2/16,2/16,2/16,2/16,2/16,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0,Purdue,Big Ten,1.00,108,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Purdue,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Purdue
4,1.0,Connecticut,Big East,1.00,108,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Connecticut,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Connecticut
5,1.0,Houston,Big 12,1.00,108,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Houston,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Houston
6,1.0,Arizona,Pacific-12,1.00,108,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Arizona,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Arizona
7,2.0,Tennessee,SEC,2.01,108,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Tennessee,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,Tennessee
8,2.0,North Carolina,ACC,2.02,108,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,North Carolina,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,North Carolina
9,2.0,Marquette,Big East,2.08,108,,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,Marquette,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,Marquette
