Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
1,Baylor,Big 12,37,1,81.7,55.7,26.03,15.66,22.15,19.54,41.69,86.57,24.34,62.23
2,Notre Dame,ACC,35,4,88.6,64.9,23.64,17.1,29.85,10.88,40.74,92.45,32.93,59.52
3,Mississippi State,SEC,33,3,86.2,58.2,27.97,10.79,26.27,12.49,38.76,91.33,33.46,57.87
4,Connecticut,AAC,35,3,82.8,56.6,26.21,11.91,22.98,15.15,38.13,89.33,31.51,57.83
5,Oregon,Pac-12,33,5,84.9,62.0,22.89,17.37,26.17,11.61,37.78,92.78,37.06,55.72
6,Louisville,ACC,32,4,77.9,59.5,18.36,14.17,18.74,13.79,32.53,84.96,34.28,50.68
7,Marquette,Big East,27,8,82.0,61.9,20.11,12.0,22.68,9.43,32.12,83.93,35.68,48.25
8,Stanford,Pac-12,31,5,74.1,60.9,13.19,16.66,15.56,14.3,29.86,76.71,31.47,45.24
9,Iowa State,Big 12,26,9,78.9,64.0,14.89,14.02,19.0,9.91,28.91,79.89,35.91,43.98
10,Oregon State,Pac-12,26,8,75.1,61.2,13.85,13.82,15.42,12.26,27.68,80.9,38.35,42.55
11,Iowa,Big Ten,29,7,78.4,67.3,11.08,14.13,19.52,5.69,25.21,84.71,43.5,41.21
12,Arizona State,Pac-12,22,11,65.4,58.2,7.18,16.55,7.03,16.7,23.73,72.93,34.61,38.32
13,South Carolina,SEC,23,10,75.3,66.8,8.55,15.1,16.6,7.04,23.64,77.58,38.98,38.6
14,Syracuse,ACC,25,9,77.2,67.2,10.0,13.2,17.3,5.9,23.2,76.61,40.06,36.55
15,Maryland,Big Ten,29,5,75.0,61.2,13.85,9.24,14.61,8.48,23.09,77.29,39.59,37.69
16,UCLA,Pac-12,22,13,73.7,68.8,4.97,17.59,15.94,6.63,22.56,76.41,40.76,35.66
17,NC State,ACC,28,6,71.0,60.9,10.18,12.3,11.32,11.15,22.47,76.28,38.49,37.8
18,Kentucky,SEC,25,8,71.6,59.2,12.42,9.62,11.03,11.02,22.05,72.54,36.18,36.36
19,West Virginia,Big 12,22,11,70.8,57.3,13.45,8.4,9.29,12.57,21.85,70.06,34.38,35.68
20,Miami (FL),ACC,25,9,73.6,63.5,10.03,11.61,13.41,8.23,21.64,76.32,40.84,35.49
21,South Dakota State,Summit,28,7,79.0,61.2,17.77,5.08,14.27,7.18,21.45,74.87,40.91,33.96
22,Texas A&M,SEC,26,8,69.8,60.4,9.41,11.8,9.6,11.61,21.21,72.57,36.99,35.58
23,Texas,Big 12,23,10,70.5,60.8,9.76,12.57,10.46,10.65,21.11,71.3,38.15,33.15
24,Gonzaga,WCC,29,5,73.4,55.9,17.56,6.07,9.8,10.74,20.54,65.82,36.12,29.7
25,DePaul,Big East,26,8,81.1,71.1,9.97,11.91,21.41,-1.33,20.08,78.48,46.94,31.54
26,Utah,Pac-12,20,10,74.2,64.6,9.63,10.39,14.08,5.94,20.02,75.25,43.09,32.17
27,Central Michigan,MAC,25,8,80.5,66.3,14.21,5.46,17.45,2.22,19.67,81.57,49.57,32.0
28,Missouri,SEC,24,11,65.9,58.7,7.14,12.42,5.37,14.2,19.57,73.22,39.86,33.36
29,Arizona,Pac-12,24,13,68.0,60.7,7.32,11.56,7.44,11.44,18.89,65.15,34.94,30.21
30,California,Pac-12,20,13,72.7,68.4,4.3,16.18,14.24,4.64,18.88,76.69,46.37,30.32
31,Florida State,ACC,24,9,68.5,61.2,7.3,11.43,7.92,10.82,18.74,70.82,39.23,31.59
32,Michigan,Big Ten,22,12,71.7,63.6,8.09,10.07,10.93,7.22,18.16,71.85,41.35,30.51
33,Michigan State,Big Ten,21,12,75.1,68.6,6.48,11.59,14.47,3.6,18.08,75.57,45.01,30.56
34,Tennessee,SEC,19,13,74.6,69.1,5.53,12.08,15.3,2.3,17.61,72.77,43.42,29.36
35,Drake,MVC,27,7,80.5,65.4,15.15,4.68,16.6,0.93,17.53,71.16,43.71,27.45
36,Southern California,Pac-12,17,13,69.9,67.0,2.93,14.4,11.51,5.82,17.33,69.64,41.81,27.84
37,TCU,Big 12,24,11,68.7,60.9,7.8,9.32,7.44,9.68,17.12,65.96,36.71,29.25
38,Virginia Tech,ACC,22,12,72.4,62.5,9.91,6.93,11.21,5.64,16.85,74.36,44.93,29.43
39,North Carolina,ACC,18,15,74.9,71.4,3.55,13.17,16.0,0.72,16.72,76.51,47.96,28.56
40,Northwestern,Big Ten,21,15,65.3,59.5,5.75,10.87,4.91,11.71,16.62,65.51,37.56,27.96
41,Rutgers,Big Ten,22,10,64.1,58.2,5.94,10.35,2.47,13.82,16.29,67.04,38.62,28.42
42,Auburn,SEC,22,10,71.6,61.8,9.84,8.6,9.85,6.43,16.28,69.01,41.29,27.72
43,South Dakota,Summit,28,6,77.1,57.0,20.06,0.91,9.77,6.48,16.25,66.69,40.53,26.16
44,Louisiana State,SEC,16,13,61.7,55.0,6.76,10.55,1.28,14.78,16.06,62.37,35.32,27.05
45,Indiana,Big Ten,21,13,69.1,65.5,3.56,12.28,9.25,6.59,15.84,68.79,41.87,26.92
46,Minnesota,Big Ten,21,11,69.5,59.0,10.56,6.36,7.54,7.88,15.42,68.74,41.5,27.24
47,Nebraska,Big Ten,14,16,72.4,70.1,2.3,13.01,12.22,3.1,15.31,71.6,44.87,26.73
48,Buffalo,MAC,24,10,76.1,67.2,8.91,6.23,13.13,2.02,15.15,72.08,45.86,26.22
49,Butler,Big East,23,10,66.7,58.5,8.18,6.95,4.18,10.95,15.14,63.66,37.42,26.24
50,Kansas State,Big 12,21,12,64.5,64.4,0.06,14.91,5.48,9.49,14.97,66.69,40.72,25.97
51,Arkansas,SEC,22,15,73.9,69.8,4.11,10.67,13.63,1.15,14.78,70.52,44.61,25.91
52,Georgia,SEC,18,12,68.4,60.1,8.3,6.28,6.06,8.52,14.58,65.23,39.45,25.78
53,Clemson,ACC,20,13,69.1,67.0,2.12,12.14,7.93,6.33,14.26,62.5,36.75,25.75
54,Georgia Tech,ACC,17,13,67.5,63.6,3.9,10.06,6.14,7.82,13.96,63.82,38.7,25.12
55,Duke,ACC,15,15,63.6,62.0,1.6,12.11,4.1,9.61,13.71,64.0,39.7,24.3
56,Purdue,Big Ten,19,15,64.1,62.5,1.62,11.64,3.41,9.85,13.26,68.77,44.71,24.06
57,James Madison,CAA,29,6,66.1,51.6,14.51,-1.51,1.59,11.41,13.0,65.95,40.01,25.94
58,Saint Mary's (CA),WCC,21,12,75.4,64.7,10.73,5.53,12.18,0.77,12.95,64.74,45.46,19.28
59,Ohio,MAC,30,6,76.3,65.3,10.97,1.96,11.25,1.68,12.93,69.98,47.21,22.77
60,South Florida,AAC,19,16,62.7,56.2,6.49,6.43,1.96,10.95,12.91,64.45,40.01,24.44
61,Green Bay,Horizon,22,10,63.4,50.9,12.5,2.59,-0.77,13.65,12.88,63.6,39.02,24.58
62,Central Florida,AAC,26,7,61.2,55.8,5.39,7.3,0.77,11.92,12.7,61.96,38.12,23.84
63,Missouri State,MVC,25,10,72.8,63.2,9.63,3.05,8.71,3.96,12.68,65.78,43.62,22.16
64,Villanova,Big East,19,13,64.7,62.3,2.34,10.11,4.99,7.46,12.46,73.12,49.82,23.3
65,Belmont,OVC,26,7,75.0,60.0,14.94,-2.62,8.07,4.25,12.32,74.29,50.11,24.18
66,Georgetown,Big East,19,16,61.8,60.1,1.71,10.53,2.0,10.24,12.24,64.25,42.01,22.24
67,UC Davis,Big West,25,7,71.2,55.7,15.53,-0.92,5.67,6.48,12.15,62.86,42.55,20.31
68,Oklahoma State,Big 12,14,16,66.2,65.3,0.97,10.99,5.41,6.55,11.96,65.72,43.75,21.97
69,Florida Gulf Coast,A-Sun,28,5,75.3,53.0,22.27,-5.17,6.14,5.69,11.83,62.74,41.1,21.64
70,St. John's (NY),Big East,15,16,64.7,62.5,2.13,9.65,4.07,7.71,11.78,69.1,46.73,22.37
71,New Mexico,MWC,24,7,75.4,64.0,11.39,0.19,10.1,1.48,11.57,57.05,38.84,18.2
72,Rice,CUSA,28,4,65.9,50.9,15.03,-1.49,-0.09,11.6,11.51,64.97,40.75,24.22
73,Cincinnati,AAC,24,11,67.2,60.5,6.74,4.37,5.71,5.41,11.11,67.75,46.3,21.46
74,Boise State,MWC,28,5,75.1,61.7,13.39,2.39,10.03,0.68,10.71,56.83,41.68,15.15
75,Brigham Young,WCC,26,7,69.2,59.3,9.82,4.64,4.81,5.89,10.71,59.33,42.4,16.93
76,Kansas,Big 12,13,18,64.6,66.4,-1.74,12.14,4.75,5.65,10.4,64.68,44.72,19.96
77,Texas Tech,Big 12,14,17,72.0,72.3,-0.26,10.64,11.95,-1.57,10.38,68.39,48.15,20.24
78,Washington State,Pac-12,9,21,66.5,72.1,-5.57,15.93,8.25,2.11,10.36,68.02,50.82,17.2
79,Pennsylvania,Ivy,24,7,65.7,52.9,12.84,-0.26,0.73,9.58,10.31,62.55,42.08,20.47
80,Creighton,Big East,15,16,65.0,66.5,-1.48,11.66,4.86,5.31,10.17,70.3,50.85,19.45
81,Bucknell,Patriot,28,6,72.4,57.8,14.59,-4.44,7.47,2.67,10.15,69.33,49.07,20.27
82,Ohio State,Big Ten,14,15,62.1,65.1,-3.03,13.15,2.6,7.51,10.11,62.35,42.81,19.55
83,Quinnipiac,MAAC,26,7,65.2,51.3,13.94,-3.86,-0.09,10.16,10.08,61.1,40.89,20.21
84,Wyoming,MWC,25,9,67.3,55.6,11.65,2.96,1.19,8.58,9.77,57.68,43.67,14.01
85,Seton Hall,Big East,15,16,74.2,72.2,2.0,7.6,12.58,-2.98,9.6,68.85,50.6,18.25
86,Princeton,Ivy,22,10,70.9,63.7,7.25,1.95,6.89,2.3,9.2,66.86,48.02,18.84
87,Harvard,Ivy,17,13,70.8,64.4,6.4,2.6,8.66,0.34,9.0,69.12,49.92,19.21
88,Colorado,Pac-12,12,18,64.4,68.0,-3.6,12.55,4.85,4.1,8.95,62.87,46.72,16.15
89,Boston College,ACC,14,16,73.5,73.1,0.4,8.26,12.34,-3.68,8.66,69.48,51.82,17.66
90,Oklahoma,Big 12,8,22,72.0,79.0,-6.93,15.37,13.36,-4.92,8.44,66.94,49.2,17.74
91,Washington,Pac-12,11,21,63.7,71.4,-7.69,15.89,4.75,3.46,8.21,62.53,46.79,15.74
92,UT Arlington,Sun Belt,24,8,70.6,59.6,11.03,-2.93,3.43,4.67,8.1,61.9,44.95,16.95
93,Middle Tennessee,CUSA,23,11,64.8,56.5,8.29,-0.39,-0.25,8.16,7.91,68.46,49.86,18.59
94,Alabama,SEC,14,17,63.7,64.7,-1.03,8.73,2.54,5.16,7.7,60.06,44.3,15.76
95,Wisconsin,Big Ten,15,18,64.2,63.6,0.55,7.14,2.36,5.32,7.68,60.32,44.45,15.87
96,UAB,CUSA,26,7,73.3,57.4,15.91,-4.61,5.07,2.58,7.64,63.14,46.92,16.22
97,Dayton,A-10,17,14,65.3,59.4,5.84,1.79,2.94,4.69,7.63,59.95,43.62,16.34
98,Penn State,Big Ten,12,18,67.7,70.5,-2.77,10.18,7.81,-0.4,7.41,65.44,49.38,16.06
99,Youngstown State,Horizon,22,10,68.9,54.9,13.94,-1.92,3.67,3.74,7.41,62.53,47.01,15.52
100,Providence,Big East,19,16,62.7,62.8,-0.09,7.3,0.54,6.68,7.22,59.93,44.25,15.68
101,Toledo,MAC,21,12,64.8,60.6,4.18,2.91,-0.21,7.3,7.09,61.62,46.42,15.2
102,Virginia Commonwealth,A-10,24,10,60.9,52.0,8.85,-1.91,-3.19,10.13,6.94,58.66,41.69,16.97
103,Houston,AAC,15,16,68.2,68.5,-0.29,6.99,6.99,-0.29,6.7,61.33,45.93,15.4
104,Virginia,ACC,12,19,58.6,65.8,-7.19,13.78,-0.93,7.51,6.59,60.55,46.07,14.49
105,Wright State,Horizon,27,7,70.3,60.6,9.65,-1.07,6.54,-0.18,6.36,62.16,48.25,13.91
106,Fresno State,MWC,19,13,69.7,61.2,8.53,3.08,4.86,1.45,6.32,56.12,45.64,10.48
107,IUPUI,Horizon,20,12,65.5,55.7,9.75,-0.49,-0.19,6.51,6.32,59.68,45.3,14.38
108,Drexel,CAA,24,9,60.2,50.5,9.7,-3.54,-6.31,12.47,6.16,60.83,43.66,17.17
109,Miami (OH),MAC,23,9,67.1,60.1,7.0,1.3,1.5,4.64,6.14,61.6,47.49,14.11
110,Portland State,Big Sky,25,8,70.8,58.8,11.91,-3.18,1.32,4.59,5.91,53.7,42.99,10.71
111,Little Rock,Sun Belt,21,11,61.4,56.8,4.53,0.98,-3.82,9.33,5.51,59.95,45.38,14.57
112,Pacific,WCC,19,13,72.5,67.1,5.41,3.19,8.01,-2.54,5.47,57.88,49.36,8.52
113,Fordham,A-10,25,9,60.2,54.4,5.79,-0.33,-3.53,9.0,5.46,65.3,50.11,15.19
114,Illinois,Big Ten,10,20,67.8,70.7,-2.87,8.28,6.33,-0.91,5.42,66.96,54.54,12.42
115,Kent State,MAC,20,13,65.5,61.1,4.45,3.65,0.34,5.03,5.37,56.43,43.95,12.48
116,Idaho State,Big Sky,20,11,65.9,57.3,8.58,-0.78,-2.04,7.19,5.15,54.76,43.34,11.42
117,Western Kentucky,CUSA,20,15,72.5,68.9,3.63,4.64,8.45,-3.44,5.01,70.56,56.6,13.96
118,Vanderbilt,SEC,7,23,64.5,70.8,-6.27,11.26,4.62,0.37,4.99,65.39,52.82,12.57
119,Troy,Sun Belt,22,9,82.3,70.1,12.23,-4.75,14.84,-10.0,4.85,59.47,47.87,11.6
120,Idaho,Big Sky,22,12,77.4,72.8,4.56,0.27,11.91,-7.09,4.83,70.42,60.4,10.02
121,Maine,AEC,25,8,66.7,57.5,9.21,-4.54,1.79,2.88,4.67,67.67,54.0,13.67
122,Pepperdine,WCC,22,12,71.9,63.4,8.59,1.89,6.36,-1.69,4.67,56.94,49.39,7.55
123,Tulane,AAC,15,15,61.4,59.9,1.5,3.03,-0.44,4.97,4.53,57.58,45.36,12.22
124,Northern Iowa,MVC,20,13,66.7,62.4,4.3,2.21,1.72,2.64,4.37,60.46,49.38,11.08
125,Temple,AAC,11,19,65.2,65.7,-0.57,4.82,3.61,0.65,4.25,62.81,50.65,12.17
126,Northern Illinois,MAC,19,13,73.3,70.4,2.81,1.26,7.2,-3.13,4.07,61.61,51.45,10.16
127,Stephen F. Austin,Southland,25,7,70.4,49.9,20.44,-7.76,-1.83,5.45,3.62,50.96,40.18,10.78
128,Old Dominion,CUSA,21,11,68.5,62.7,5.78,-2.28,2.91,0.59,3.5,61.43,49.86,11.58
129,Loyola Marymount,WCC,18,15,64.7,62.4,2.3,4.26,-0.23,3.49,3.26,50.46,44.19,6.27
130,Pittsburgh,ACC,11,20,57.7,67.1,-9.45,12.34,-1.94,4.83,2.89,56.8,47.49,9.32
131,Milwaukee,Horizon,15,15,62.9,60.1,2.8,0.05,-1.62,4.47,2.85,57.5,48.4,9.1
132,American,Patriot,22,11,63.9,58.7,5.15,-2.4,-0.96,3.71,2.75,61.77,51.68,10.08
133,Wake Forest,ACC,10,20,57.4,64.6,-7.27,9.94,-2.53,5.2,2.67,57.89,48.13,9.76
134,Lamar,Southland,24,7,77.9,53.8,24.06,-5.77,5.41,-2.85,2.56,47.11,37.1,10.01
135,Cal State Northridge,Big West,16,15,60.9,59.5,1.39,1.09,-4.22,6.69,2.47,51.24,44.22,7.02
136,Denver,Summit,18,14,80.3,76.5,3.78,-1.32,13.45,-10.98,2.47,64.2,57.01,7.19
137,Utah State,MWC,17,16,61.8,58.8,2.97,2.16,-3.64,5.55,1.91,49.75,45.43,4.32
138,Duquesne,A-10,19,13,65.3,63.2,2.03,-0.19,1.89,-0.05,1.85,60.89,53.2,7.69
139,Northern Colorado,Big Sky,21,11,68.6,64.6,4.03,-2.23,1.95,-0.15,1.8,59.44,53.05,6.39
140,Tennessee-Martin,OVC,23,9,77.9,65.5,12.38,-4.55,8.63,-6.91,1.72,58.7,50.59,8.11
141,Mississippi,SEC,9,22,59.1,65.5,-6.45,9.74,-2.09,3.73,1.64,54.3,46.9,7.4
142,Xavier,Big East,11,19,61.9,66.2,-4.3,5.86,-1.06,2.62,1.56,58.03,50.87,7.16
143,Hartford,AEC,23,11,63.7,57.0,6.74,-5.24,-2.4,3.9,1.5,54.25,46.33,7.91
144,Southern Illinois,MVC,15,15,65.9,64.0,1.93,-0.45,-0.21,1.69,1.48,59.41,52.01,7.4
145,Northeastern,CAA,20,12,69.9,66.5,3.41,-2.05,5.81,-4.45,1.35,65.22,56.53,8.69
146,Lehigh,Patriot,21,10,64.3,55.2,9.03,-5.83,-1.94,3.01,1.07,54.04,46.72,7.32
147,Radford,Big South,26,7,63.5,53.7,9.79,-7.16,-4.25,5.31,1.06,52.85,43.77,9.08
148,Florida,SEC,8,23,60.7,70.0,-9.23,10.16,0.66,0.28,0.93,59.62,52.62,7.0
149,Marist,MAAC,23,10,68.1,60.0,8.06,-7.23,1.94,-1.11,0.83,65.19,57.34,7.84
150,Oral Roberts,Summit,18,13,71.2,65.5,5.65,0.37,2.74,-2.12,0.62,59.38,53.39,5.99
151,Mercer,Southern,25,8,67.5,61.3,6.15,-5.76,-0.14,0.53,0.4,61.22,53.45,7.78
152,Nevada-Las Vegas,MWC,12,18,59.5,61.6,-2.17,2.37,-4.08,4.28,0.2,48.7,46.85,1.85
153,North Texas,CUSA,18,16,63.3,55.9,7.32,-0.31,-2.05,2.23,0.18,51.34,46.19,5.15
154,Davidson,A-10,17,15,66.0,60.7,5.31,-2.78,0.61,-0.49,0.13,55.99,49.55,6.44
155,Saint Louis,A-10,15,16,61.9,61.2,0.68,-0.58,-0.97,1.06,0.09,58.32,51.99,6.33
156,Akron,MAC,16,15,66.0,64.4,1.58,0.49,0.87,-0.85,0.03,58.28,52.91,5.37
157,Nevada,MWC,12,19,65.5,65.9,-0.45,2.76,1.28,-1.49,-0.2,50.97,48.35,2.61
158,Morehead State,OVC,24,11,76.2,64.5,11.69,-5.43,5.31,-5.62,-0.31,57.1,51.67,5.43
159,Louisiana Tech,CUSA,14,16,71.8,66.1,5.67,-0.68,6.07,-6.4,-0.33,55.33,51.61,3.73
160,Hawaii,Big West,15,17,59.6,56.9,2.63,0.68,-5.3,4.69,-0.61,49.02,46.07,2.95
161,Yale,Ivy,16,13,63.3,61.6,1.79,-2.43,-2.63,1.99,-0.64,54.51,49.07,5.43
162,Illinois State,MVC,19,12,62.5,59.8,2.61,-1.44,-4.55,3.78,-0.77,55.1,50.81,4.29
163,Charlotte,CUSA,18,13,61.5,61.0,0.58,-1.54,-3.38,2.49,-0.89,58.72,53.36,5.35
164,Eastern Michigan,MAC,14,17,62.7,63.9,-1.19,2.06,-2.08,1.14,-0.94,51.52,47.35,4.17
165,UC Riverside,Big West,17,16,61.9,62.4,-0.45,-0.55,-2.32,1.31,-1.0,51.04,48.9,2.15
166,Santa Clara,WCC,14,17,64.1,59.7,4.42,3.73,-2.15,1.04,-1.11,44.58,44.83,-0.25
167,Bradley,MVC,20,10,70.8,65.0,5.77,-4.26,2.76,-3.91,-1.16,54.71,51.47,3.24
168,Southern Methodist,AAC,11,19,55.4,58.7,-3.33,2.14,-7.22,6.03,-1.19,47.49,42.97,4.52
169,Tulsa,AAC,13,18,57.8,63.4,-5.55,4.34,-3.61,2.4,-1.21,52.11,47.48,4.63
170,Dartmouth,Ivy,13,14,61.2,56.4,4.74,-3.08,-4.79,3.56,-1.22,54.14,49.39,4.75
171,South Alabama,Sun Belt,25,11,68.0,60.5,7.44,-4.2,-0.73,-0.65,-1.38,50.78,46.55,4.22
172,San Diego State,MWC,14,18,32.3,,,0.9,0.59,-2.15,-1.57,,,
173,Towson,CAA,20,13,67.2,67.2,-0.03,-1.7,2.96,-4.7,-1.73,56.76,52.45,4.31
174,Appalachian State,Sun Belt,22,14,68.5,67.7,0.75,-2.68,1.97,-3.9,-1.93,57.33,53.49,3.84
175,Tennessee Tech,OVC,22,11,69.6,60.6,9.03,-5.65,0.81,-2.91,-2.1,56.69,53.18,3.51
176,Montana State,Big Sky,16,15,65.2,64.9,0.32,-0.34,-0.56,-1.59,-2.14,54.6,53.3,1.3
177,Abilene Christian,Southland,23,10,73.2,57.1,16.06,-6.48,2.81,-5.08,-2.27,54.19,51.66,2.53
178,Delaware,CAA,16,15,61.5,60.8,0.65,-2.93,-4.62,2.34,-2.28,51.09,47.48,3.6
179,Southern Mississippi,CUSA,18,14,63.2,56.4,6.75,-4.4,-5.85,3.39,-2.46,51.28,47.86,3.42
180,Stony Brook,AEC,23,8,65.1,55.2,9.97,-10.09,-2.66,-0.03,-2.69,59.07,55.68,3.39
181,California Baptist,WAC,18,12,79.4,61.2,18.13,-8.42,7.36,-10.13,-2.77,46.49,44.93,1.56
182,New Mexico State,WAC,26,7,72.1,61.3,10.76,-8.74,0.48,-3.28,-2.8,49.29,47.91,1.38
183,Portland,WCC,13,17,74.0,68.4,5.6,2.42,8.61,-11.4,-2.8,51.06,52.74,-1.68
184,Ball State,MAC,8,23,64.1,69.7,-5.61,6.24,0.2,-3.05,-2.86,52.55,51.01,1.54
185,Kansas City,WAC,16,15,76.0,65.9,10.03,-7.22,5.64,-8.69,-3.05,55.54,54.84,0.71
186,North Alabama,A-Sun,21,9,71.0,54.4,16.63,-8.94,0.29,-3.35,-3.05,45.34,43.48,1.85
187,UNC Wilmington,CAA,18,12,65.6,60.4,5.23,-3.5,-1.29,-1.82,-3.11,54.98,52.6,2.38
188,Chattanooga,Southern,14,17,62.0,62.5,-0.52,-0.6,-3.75,0.59,-3.16,52.35,50.46,1.89
189,Wichita State,AAC,12,18,56.9,60.0,-3.13,1.55,-6.88,3.63,-3.25,49.91,48.11,1.79
190,George Mason,A-10,16,14,64.6,63.3,1.3,-4.68,-1.28,-2.1,-3.38,57.43,56.06,1.38
191,Robert Morris,NEC,22,11,62.0,53.7,8.36,-10.0,-9.51,5.85,-3.66,48.45,46.77,1.68
192,East Carolina,AAC,16,15,61.2,64.7,-3.55,-0.13,-1.86,-1.82,-3.68,51.21,49.58,1.63
193,UC Irvine,Big West,20,11,66.8,64.4,2.42,-2.68,0.51,-4.2,-3.68,51.55,52.76,-1.21
194,Cornell,Ivy,12,14,58.0,59.1,-1.12,-2.6,-8.11,4.4,-3.71,49.02,48.64,0.38
195,San Francisco,WCC,7,24,64.9,68.3,-3.39,3.4,-0.81,-3.15,-3.96,50.07,53.05,-2.98
196,High Point,Big South,22,9,72.8,62.8,9.94,-8.12,3.37,-7.35,-3.98,53.55,51.72,1.84
197,William & Mary,CAA,15,16,65.0,65.2,-0.26,-3.85,-0.14,-3.97,-4.11,58.7,57.42,1.28
198,Bowling Green State,MAC,9,21,68.9,73.4,-4.43,2.61,4.92,-9.14,-4.22,57.72,57.59,0.12
199,Massachusetts,A-10,16,16,63.0,61.7,1.34,-5.68,-3.46,-0.88,-4.34,56.23,55.88,0.35
200,Georgia State,Sun Belt,17,14,63.3,63.4,-0.1,-4.29,-3.73,-0.66,-4.39,52.96,52.42,0.54
201,Columbia,Ivy,8,19,64.9,68.6,-3.7,-0.7,-0.22,-4.18,-4.4,57.65,57.81,-0.16
202,Marshall,CUSA,17,15,67.3,65.3,1.97,-4.09,-0.77,-3.94,-4.7,53.78,53.99,-0.21
203,Northern Kentucky,Horizon,11,18,58.7,61.0,-2.31,0.14,-5.71,0.85,-4.86,51.63,53.1,-1.47
204,Coastal Carolina,Sun Belt,17,15,71.2,63.3,7.88,-4.83,0.17,-5.07,-4.9,51.76,51.92,-0.17
205,Texas State,Sun Belt,14,17,62.5,59.9,2.55,-1.42,-5.8,0.87,-4.93,50.39,51.14,-0.76
206,Liberty,A-Sun,16,16,62.2,60.0,2.19,-5.25,-4.8,-0.16,-4.96,52.2,52.7,-0.51
207,Sam Houston,Southland,16,13,74.5,60.0,14.52,-6.86,3.51,-8.6,-5.09,46.91,46.03,0.88
208,Saint Joseph's,A-10,12,19,53.7,57.0,-3.26,-1.87,-9.84,4.71,-5.12,51.77,53.35,-1.58
209,George Washington,A-10,10,20,51.3,57.4,-6.1,0.77,-11.74,6.42,-5.33,47.91,50.87,-2.96
210,Furman,Southern,19,14,64.6,60.1,4.55,-5.62,-3.71,-1.75,-5.46,52.77,52.71,0.06
211,Jacksonville State,OVC,15,15,59.8,57.4,2.47,-5.13,-9.74,4.27,-5.47,43.81,44.86,-1.06
212,Boston University,Patriot,15,14,58.9,59.1,-0.21,-5.39,-8.02,2.42,-5.59,55.7,57.43,-1.73
213,Montana,Big Sky,14,16,65.5,67.1,-1.53,-0.96,-2.21,-3.44,-5.65,52.25,56.16,-3.91
214,Western Michigan,MAC,10,20,61.8,65.0,-3.23,0.2,-4.5,-1.23,-5.73,53.28,55.9,-2.62
215,Colorado State,MWC,8,22,54.7,58.1,-3.43,3.76,-10.56,4.82,-5.74,43.86,49.95,-6.09
216,Stetson,A-Sun,16,16,61.0,57.6,3.38,-4.01,-6.49,0.72,-5.78,51.87,53.64,-1.78
217,Northern Arizona,Big Sky,13,18,68.2,72.9,-4.65,-1.51,1.22,-7.37,-6.16,53.14,57.47,-4.34
218,Eastern Washington,Big Sky,13,20,63.1,67.9,-4.82,0.59,-2.9,-3.54,-6.44,50.13,55.59,-5.47
219,Western Illinois,Summit,12,18,75.5,74.7,0.83,0.39,7.18,-13.65,-6.46,52.64,55.44,-2.8
220,Memphis,AAC,11,20,57.1,64.5,-7.45,0.98,-6.29,-0.19,-6.47,48.54,51.08,-2.54
221,Arkansas State,Sun Belt,12,18,67.7,72.6,-4.97,-1.53,1.7,-8.2,-6.5,56.29,59.06,-2.77
222,East Tennessee State,Southern,10,21,67.8,72.4,-4.52,-2.06,1.33,-7.91,-6.58,52.71,54.7,-2.0
223,Cal State Fullerton,Big West,14,16,62.6,62.9,-0.3,-3.68,-3.89,-2.75,-6.64,47.2,52.5,-5.31
224,Air Force,MWC,8,22,60.1,65.3,-5.13,1.1,-5.18,-1.51,-6.69,38.25,43.9,-5.65
225,Loyola (IL),MVC,13,18,62.3,66.2,-3.94,-2.76,-5.24,-1.45,-6.69,51.09,55.16,-4.06
226,North Carolina A&T,MEAC,20,12,59.9,48.8,11.13,-12.63,-9.71,2.98,-6.73,41.59,42.12,-0.53
227,Cleveland State,Horizon,10,20,64.4,60.9,3.5,-0.72,-1.73,-5.06,-6.79,45.22,49.18,-3.96
228,UNC Asheville,Big South,17,15,60.3,55.4,4.91,-8.98,-9.94,3.06,-6.88,49.41,51.5,-2.09
229,Indiana State,MVC,11,19,62.9,65.0,-2.1,-2.18,-4.01,-3.07,-7.08,48.02,52.84,-4.82
230,Austin Peay,OVC,15,15,69.1,62.4,6.63,-7.49,-2.26,-4.91,-7.17,53.69,57.28,-3.59
231,Holy Cross,Patriot,18,13,63.4,63.1,0.26,-7.53,-3.31,-3.97,-7.27,55.09,59.54,-4.46
232,Texas-Rio Grande Valley,WAC,18,15,63.6,58.7,4.88,-7.48,-6.35,-0.97,-7.32,48.1,51.44,-3.34
233,Long Beach State,Big West,9,22,56.0,62.5,-6.52,1.04,-8.08,0.66,-7.41,44.05,50.4,-6.35
