Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Pace,ORtg,FTr,3PAr,TS_Pct,TRB_Pct,AST_Pct,STL_Pct,BLK_Pct,eFG_Pct,TOV_Pct,ORB_Pct,FTperFGA
1,Abilene Christian,30,15,15,0.5,-1.54,-3.87,9.0,9.0,11,3,3,10,2134,1948,69.7,101.7,0.259,0.427,0.533,52.2,54.3,11.2,7.3,0.508,18.4,34.3,0.179
2,Air Force,31,13,18,0.419,-1.04,1.2,8.0,10.0,9,5,4,9,1972,2017,70.7,89.9,0.262,0.276,0.476,45.0,50.5,15.4,4.7,0.441,16.8,25.7,0.189
3,Akron,30,17,13,0.567,-3.17,-2.38,8.0,10.0,11,5,5,7,2057,1998,72.3,94.5,0.326,0.367,0.528,50.0,64.9,10.3,9.8,0.484,19.3,23.7,0.251
4,Alabama,31,20,11,0.645,21.37,11.72,9.0,7.0,11,4,8,4,2170,1871,68.9,101.6,0.261,0.412,0.547,50.9,53.5,12.8,10.2,0.52,19.5,32.1,0.189
5,Alabama A&M,29,14,15,0.483,-16.06,-11.54,12.0,6.0,9,2,5,12,1647,1778,69.2,81.3,0.329,0.293,0.439,50.5,48.2,8.6,6.9,0.392,21.1,32.1,0.232
6,Alabama State,31,16,15,0.516,-15.39,-7.89,12.0,6.0,10,1,5,13,1963,2177,71.0,87.8,0.37,0.284,0.49,48.2,53.0,10.1,7.9,0.443,22.5,32.6,0.266
7,Albany (NY),34,22,12,0.647,-5.83,-8.98,14.0,2.0,11,2,11,8,1976,1869,63.0,91.9,0.262,0.321,0.498,51.9,53.8,9.5,7.4,0.465,20.1,31.5,0.19
8,Alcorn State,29,12,17,0.414,-15.98,-10.21,8.0,10.0,8,5,4,12,1859,1926,75.7,84.3,0.348,0.279,0.449,49.1,59.9,11.3,10.7,0.416,19.9,32.2,0.214
9,American,31,9,22,0.29,-14.79,-5.88,7.0,11.0,5,9,4,11,1805,2081,71.5,81.1,0.249,0.26,0.469,46.1,59.1,11.1,4.3,0.434,23.0,25.0,0.182
10,Appalachian State,31,11,20,0.355,-7.79,-2.69,6.0,12.0,8,6,2,13,2081,2140,73.8,90.2,0.308,0.407,0.48,46.4,49.9,11.8,4.4,0.448,18.3,29.0,0.203
