Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,30,15,15,0.5,-1.54,-3.87,9.0,9.0,11,3,3,10,2134,1948,1205,713,1707,0.418,172,549,0.313,350,486,0.72,311,1007,353,239,81,480,526
2,Air Force,31,13,18,0.419,-1.04,1.2,8.0,10.0,9,5,4,9,1972,2017,1240,758,1644,0.461,130,398,0.327,371,516,0.719,300,1159,339,224,127,604,528
3,Akron,30,17,13,0.567,-3.17,-2.38,8.0,10.0,11,5,5,7,2057,1998,1205,752,1898,0.396,188,646,0.291,306,418,0.732,323,1104,427,248,71,411,510
4,Alabama,31,20,11,0.645,21.37,11.72,9.0,7.0,11,4,8,4,2170,1871,1240,682,1730,0.394,155,490,0.316,352,492,0.715,352,1057,379,222,137,529,490
5,Alabama A&M,29,14,15,0.483,-16.06,-11.54,12.0,6.0,9,2,5,12,1647,1778,1170,655,1711,0.383,132,476,0.277,336,492,0.683,342,1084,338,239,117,418,485
6,Alabama State,31,16,15,0.516,-15.39,-7.89,12.0,6.0,10,1,5,13,1963,2177,1260,799,1864,0.429,176,505,0.349,403,621,0.649,429,1145,384,279,132,502,587
7,Albany (NY),34,22,12,0.647,-5.83,-8.98,14.0,2.0,11,2,11,8,1976,1869,1365,704,1892,0.372,145,576,0.252,316,425,0.744,365,1101,304,238,87,426,510
8,Alcorn State,29,12,17,0.414,-15.98,-10.21,8.0,10.0,8,5,4,12,1859,1926,1165,630,1632,0.386,154,510,0.302,512,776,0.66,342,1105,368,266,99,527,577
9,American,31,9,22,0.29,-14.79,-5.88,7.0,11.0,5,9,4,11,1805,2081,1249,753,1785,0.422,176,597,0.295,399,557,0.716,359,1164,390,251,85,532,519
10,Appalachian State,31,11,20,0.355,-7.79,-2.69,6.0,12.0,8,6,2,13,2081,2140,1250,778,1913,0.407,164,515,0.318,420,591,0.711,424,1295,370,221,84,544,572
11,Arizona,32,22,10,0.688,23.87,14.9,11.0,7.0,12,3,7,6,2370,2083,1295,753,1826,0.412,171,566,0.302,406,579,0.701,345,1173,439,194,117,580,539
12,Arizona State,28,8,20,0.286,6.7,15.38,1.0,15.0,3,11,4,7,1829,2072,1130,764,1750,0.437,182,528,0.345,362,522,0.693,377,1246,502,196,111,420,482
13,Arkansas,37,24,13,0.649,19.77,13.2,7.0,9.0,14,4,6,6,2672,2429,1490,855,2264,0.378,217,695,0.312,502,724,0.693,452,1506,419,239,122,592,768
14,Arkansas State,32,13,19,0.406,-9.29,-5.74,6.0,12.0,7,7,4,11,2222,2287,1295,823,2016,0.408,176,578,0.304,465,648,0.718,439,1352,440,235,102,538,527
15,Arkansas-Pine Bluff,31,14,17,0.452,-13.14,-9.64,10.0,8.0,8,4,4,9,1999,2065,1247,715,1855,0.385,149,516,0.289,486,748,0.65,401,1173,410,278,83,545,629
16,Army,30,13,17,0.433,-13.96,-9.2,10.0,8.0,6,7,7,10,1827,1941,1210,730,1710,0.427,142,433,0.328,339,470,0.721,281,1028,393,210,89,423,470
17,Auburn,31,16,15,0.516,12.89,12.15,5.0,11.0,14,5,1,8,2065,2042,1245,715,1756,0.407,138,439,0.314,474,677,0.7,385,1217,352,224,92,604,570
18,Austin Peay,29,17,12,0.586,-2.45,-4.13,11.0,6.0,8,4,8,6,1725,1632,1160,573,1503,0.381,126,487,0.259,360,504,0.714,288,916,269,235,74,467,476
19,Ball State,35,26,9,0.743,9.47,-0.47,14.0,4.0,15,1,9,6,2724,2332,1415,823,2058,0.4,239,775,0.308,447,598,0.747,369,1248,468,233,99,598,597
20,Baylor,33,20,13,0.606,23.02,14.78,10.0,8.0,11,6,6,4,2368,2096,1335,769,1956,0.393,198,665,0.298,360,500,0.72,346,1196,428,229,119,568,591
21,Bellarmine,31,9,22,0.29,-12.84,-3.05,5.0,13.0,7,8,1,13,1879,2115,1245,739,1863,0.397,184,624,0.295,453,645,0.702,341,1092,393,321,111,447,577
