Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
1,Abilene Christian,21,8,13,0.381,-4.13,-1.03,3.0,7.0,5,5,1,7,1572,1583,72.7,101.9,0.426,0.323,0.548,52.7,44.4,9.1,8.6,0.512,18.5,30.7,0.294
2,Air Force,21,8,13,0.381,-3.75,-1.23,1.0,8.0,4,7,4,5,1434,1487,64.3,108.9,0.36,0.386,0.562,52.1,52.9,8.9,10.5,0.526,15.8,30.4,0.265
3,Akron,22,17,5,0.773,6.07,-1.18,9.0,1.0,10,0,6,2,1677,1431,67.1,96.4,0.28,0.365,0.51,46.3,48.6,9.2,7.0,0.483,16.6,25.5,0.188
4,Alabama,22,16,6,0.727,24.58,9.9,8.0,1.0,11,1,3,2,1977,1654,73.2,102.8,0.357,0.371,0.523,46.0,44.5,10.3,11.5,0.486,14.7,29.1,0.252
5,Alabama A&M,21,4,17,0.19,-17.57,-4.66,3.0,5.0,2,4,2,11,1462,1733,73.0,112.4,0.479,0.38,0.575,52.8,56.9,13.0,8.1,0.529,16.4,35.4,0.353
6,Alabama State,21,10,11,0.476,-8.97,-2.74,5.0,3.0,4,3,3,8,1472,1469,71.3,97.5,0.417,0.446,0.53,49.9,55.2,8.6,10.3,0.486,18.6,27.2,0.299
7,Albany (NY),23,11,12,0.478,-7.39,-5.48,3.0,5.0,6,3,5,8,1814,1817,75.7,104.3,0.373,0.285,0.544,49.1,47.4,10.2,11.5,0.506,15.2,28.9,0.268
8,Alcorn State,21,5,16,0.238,-13.0,-0.1,4.0,4.0,2,2,3,14,1462,1712,69.3,117.6,0.376,0.488,0.595,50.6,63.5,9.5,10.2,0.565,14.8,32.6,0.272
9,American,23,13,10,0.565,-7.4,-7.72,7.0,3.0,8,2,5,8,1667,1631,64.7,108.4,0.3,0.431,0.569,47.7,50.4,7.3,8.1,0.548,14.8,24.7,0.204
10,Appalachian State,23,19,4,0.826,5.87,-2.75,10.0,1.0,10,0,6,3,1800,1505,69.8,92.3,0.217,0.34,0.459,46.2,42.7,9.6,5.7,0.433,13.6,27.0,0.147
11,Arizona,21,16,5,0.762,26.66,9.42,7.0,3.0,11,0,3,3,1876,1514,74.7,95.3,0.254,0.392,0.521,41.7,53.3,9.4,7.8,0.493,17.2,21.3,0.18
