Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Pace,ORtg,FTr,3PAr,TS_Pct,TRB_Pct,AST_Pct,STL_Pct,BLK_Pct,eFG_Pct,TOV_Pct,ORB_Pct,FTperFGA
1,Abilene Christian,21,8,13,0.381,-4.13,-1.03,3.0,7.0,5,5,1,7,1572,1583,72.7,101.2,0.402,0.27,0.528,47.3,47.4,10.7,4.5,0.484,15.7,26.7,0.289
2,Air Force,21,8,13,0.381,-3.75,-1.23,1.0,8.0,4,7,4,5,1434,1487,64.3,105.1,0.315,0.46,0.568,47.9,64.1,10.4,12.8,0.546,17.2,24.9,0.216
3,Akron,22,17,5,0.773,6.07,-1.18,9.0,1.0,10,0,6,2,1677,1431,67.1,113.0,0.339,0.432,0.577,53.7,52.1,9.6,8.1,0.545,14.8,31.2,0.249
4,Alabama,22,16,6,0.727,24.58,9.9,8.0,1.0,11,1,3,2,1977,1654,73.2,122.9,0.363,0.479,0.615,54.0,52.3,10.8,11.0,0.577,14.5,35.1,0.287
5,Alabama A&M,21,4,17,0.19,-17.57,-4.66,3.0,5.0,2,4,2,11,1462,1733,73.0,94.8,0.473,0.275,0.509,47.2,44.2,10.8,10.2,0.455,19.4,30.3,0.337
6,Alabama State,21,10,11,0.476,-8.97,-2.74,5.0,3.0,4,3,3,8,1472,1469,71.3,97.7,0.284,0.366,0.474,50.1,44.3,12.7,12.0,0.437,13.5,31.2,0.202
7,Albany (NY),23,11,12,0.478,-7.39,-5.48,3.0,5.0,6,3,5,8,1814,1817,75.7,104.1,0.317,0.36,0.537,50.9,47.2,11.4,7.4,0.504,16.2,31.5,0.227
8,Alcorn State,21,5,16,0.238,-13.0,-0.1,4.0,4.0,2,2,3,14,1462,1712,69.3,100.4,0.358,0.253,0.507,49.4,41.8,10.4,5.0,0.47,14.9,32.4,0.249
9,American,23,13,10,0.565,-7.4,-7.72,7.0,3.0,8,2,5,8,1667,1631,64.7,110.8,0.276,0.469,0.568,52.3,58.5,9.4,5.7,0.544,14.8,29.5,0.196
10,Appalachian State,23,19,4,0.826,5.87,-2.75,10.0,1.0,10,0,6,3,1800,1505,69.8,110.4,0.316,0.34,0.544,53.8,52.2,8.9,16.6,0.523,12.9,31.9,0.207
11,Arizona,21,16,5,0.762,26.66,9.42,7.0,3.0,11,0,3,3,1876,1514,74.7,118.1,0.364,0.321,0.58,58.3,58.7,11.8,8.8,0.549,13.8,37.6,0.263
12,Arizona State,22,11,11,0.5,5.05,8.09,5.0,6.0,8,3,2,4,1516,1583,71.0,97.1,0.335,0.388,0.501,44.5,48.9,12.0,10.5,0.472,13.1,21.0,0.218
13,Arkansas,22,11,11,0.5,5.26,7.3,2.0,7.0,9,4,1,4,1670,1715,72.2,104.0,0.454,0.323,0.541,49.4,44.8,7.5,16.0,0.494,14.6,26.1,0.327
14,Arkansas State,23,10,13,0.435,-1.86,-2.25,6.0,5.0,7,2,2,10,1817,1808,70.9,110.8,0.345,0.458,0.547,50.8,55.6,7.5,10.1,0.516,14.3,33.2,0.242
15,Arkansas-Pine Bluff,21,10,11,0.476,-15.13,-4.07,5.0,3.0,6,3,4,8,1744,1770,75.4,110.2,0.395,0.484,0.588,47.0,58.6,8.8,5.3,0.547,15.6,24.4,0.304
16,Army,23,6,17,0.261,-13.72,-7.86,2.0,8.0,4,8,2,9,1387,1467,63.4,94.2,0.257,0.464,0.487,50.4,57.6,9.3,11.9,0.471,16.8,28.8,0.151
17,Auburn,22,18,4,0.818,21.62,5.12,7.0,2.0,11,0,3,3,1812,1449,70.8,116.4,0.362,0.39,0.572,53.4,63.7,10.7,15.8,0.533,12.8,34.0,0.276
18,Austin Peay,24,11,13,0.458,-6.28,-2.66,4.0,5.0,8,1,2,11,1693,1670,65.2,106.5,0.257,0.373,0.517,48.6,43.4,11.6,9.5,0.497,11.6,30.0,0.167
19,Ball State,22,12,10,0.545,-4.99,-5.19,4.0,6.0,8,4,4,5,1655,1549,67.9,110.1,0.398,0.374,0.576,51.7,49.1,8.3,8.1,0.532,15.6,28.1,0.304
20,Baylor,21,16,5,0.762,20.32,7.82,5.0,3.0,11,1,2,2,1763,1487,67.7,120.5,0.377,0.368,0.597,54.4,54.1,9.6,9.5,0.567,14.5,37.7,0.274
21,Bellarmine,24,6,18,0.25,-11.13,-0.23,2.0,7.0,4,5,2,13,1648,1783,66.8,102.4,0.234,0.38,0.528,47.5,54.0,8.0,6.0,0.496,13.7,24.2,0.182
22,Belmont,23,12,11,0.522,-0.65,2.44,5.0,7.0,8,2,3,8,1772,1806,72.4,105.9,0.303,0.403,0.575,47.5,53.8,11.1,8.0,0.548,15.9,21.1,0.219
23,Bethune-Cookman,21,10,11,0.476,-12.29,-7.34,5.0,3.0,7,2,3,7,1572,1558,74.3,100.2,0.364,0.317,0.528,49.5,50.6,14.9,9.7,0.485,17.5,31.7,0.269
24,Binghamton,21,10,11,0.476,-10.77,-4.24,2.0,6.0,7,2,3,9,1499,1513,68.6,103.5,0.34,0.306,0.529,53.2,54.6,7.2,10.6,0.502,15.2,30.6,0.223
25,Boise State,22,16,6,0.727,13.84,7.59,7.0,2.0,10,2,4,1,1660,1462,67.5,111.2,0.365,0.392,0.56,55.2,48.3,8.8,6.7,0.524,14.8,33.5,0.265
26,Boston College,21,13,8,0.619,8.57,4.72,4.0,6.0,8,3,4,3,1604,1523,69.0,110.0,0.281,0.357,0.559,50.1,49.5,9.1,10.1,0.53,13.2,26.8,0.209
27,Boston University,23,9,14,0.391,-10.95,-7.36,4.0,6.0,5,5,4,9,1472,1510,66.6,96.1,0.288,0.414,0.497,51.5,54.1,10.2,8.0,0.468,15.4,26.3,0.193
28,Bowling Green State,22,15,7,0.682,-3.24,-5.04,6.0,4.0,9,3,4,3,1688,1583,70.1,107.0,0.379,0.381,0.535,51.5,43.9,9.3,6.9,0.501,13.5,29.4,0.26
29,Bradley,23,17,6,0.739,10.53,2.53,9.0,3.0,10,2,5,3,1749,1551,66.8,112.0,0.277,0.419,0.582,51.4,49.5,11.1,11.2,0.561,15.5,29.6,0.195
30,Brigham Young,21,16,5,0.762,23.75,5.37,4.0,4.0,11,2,2,3,1773,1387,70.1,120.5,0.213,0.514,0.591,56.0,64.8,9.0,7.6,0.573,13.4,34.6,0.156
31,Brown,21,6,15,0.286,-6.01,-1.91,2.0,4.0,3,6,2,7,1470,1511,68.4,101.2,0.354,0.399,0.509,51.4,49.9,9.4,12.2,0.481,14.9,31.3,0.227
32,Bryant,23,14,9,0.609,-2.85,-2.66,6.0,2.0,6,2,7,7,1836,1745,76.7,102.9,0.302,0.4,0.545,46.4,52.0,9.4,14.6,0.524,13.8,20.1,0.198
33,Bucknell,23,9,14,0.391,-8.56,-4.51,6.0,4.0,4,6,5,8,1512,1605,64.6,100.6,0.301,0.433,0.54,49.1,52.9,9.1,10.8,0.506,17.3,25.8,0.223
34,Buffalo,21,2,19,0.095,-15.45,-0.9,1.0,8.0,1,9,1,8,1396,1681,70.4,94.4,0.272,0.43,0.495,49.1,51.2,8.5,11.6,0.462,18.2,30.3,0.195
35,Butler,22,15,7,0.682,14.14,7.24,6.0,5.0,10,2,3,4,1795,1624,69.7,113.2,0.292,0.364,0.565,50.4,51.5,9.1,8.9,0.529,12.4,29.3,0.23
36,Cal Poly,23,4,19,0.174,-12.19,-1.37,0.0,11.0,3,8,0,10,1439,1659,66.2,93.0,0.321,0.316,0.488,45.5,43.4,8.5,10.3,0.45,16.9,25.8,0.225
37,Cal State Bakersfield,22,9,13,0.409,-6.02,-1.32,4.0,7.0,7,3,1,9,1507,1520,66.4,101.5,0.315,0.243,0.498,50.0,39.8,10.7,11.2,0.463,14.7,34.3,0.22
38,Cal State Fullerton,22,11,11,0.5,-4.6,0.25,4.0,6.0,5,4,5,6,1473,1490,67.2,99.1,0.429,0.36,0.526,48.1,40.7,10.2,8.1,0.48,16.9,26.2,0.307
39,Cal State Northridge,23,14,9,0.609,-4.42,-4.62,5.0,6.0,8,3,6,6,1754,1681,74.4,102.6,0.377,0.26,0.528,54.9,49.7,10.5,11.1,0.495,16.7,34.1,0.255
40,California,22,9,13,0.409,6.51,7.74,5.0,6.0,7,5,2,4,1656,1683,69.8,105.5,0.308,0.413,0.533,51.3,46.2,8.2,7.3,0.5,14.2,29.2,0.222
41,California Baptist,21,13,8,0.619,0.35,-3.18,6.0,4.0,9,4,4,4,1445,1351,66.6,103.3,0.386,0.371,0.508,54.4,46.5,6.9,6.6,0.471,14.7,34.4,0.261
42,Campbell,23,11,12,0.478,-10.64,-5.99,5.0,5.0,8,4,3,8,1571,1555,66.0,102.9,0.339,0.378,0.554,48.8,50.9,10.0,7.5,0.52,16.5,24.9,0.247
43,Canisius,20,8,12,0.4,-5.63,-3.05,3.0,7.0,5,3,1,8,1469,1478,70.5,103.6,0.309,0.37,0.532,51.7,49.6,8.8,7.6,0.51,16.7,33.2,0.199
44,Central Arkansas,25,8,17,0.32,-15.95,-4.95,4.0,5.0,5,7,3,10,1815,1959,71.0,101.7,0.286,0.388,0.514,48.7,54.0,10.6,9.1,0.478,15.3,29.9,0.212
45,Central Connecticut State,22,13,9,0.591,-7.28,-8.28,7.0,2.0,6,3,7,6,1600,1462,68.3,105.8,0.298,0.343,0.542,51.2,55.0,11.6,13.5,0.512,14.4,29.2,0.213
46,Central Florida,21,13,8,0.619,12.58,5.72,4.0,5.0,10,4,1,4,1509,1365,69.4,102.9,0.375,0.377,0.518,53.3,49.8,12.9,16.3,0.477,15.9,33.8,0.266
47,Central Michigan,22,13,9,0.591,-7.14,-2.14,8.0,2.0,7,2,5,6,1497,1578,67.3,98.8,0.283,0.329,0.515,49.4,46.2,9.0,9.4,0.489,16.2,28.5,0.191
48,Charleston Southern,22,8,14,0.364,-11.11,-0.64,4.0,5.0,6,5,2,9,1550,1649,68.3,103.1,0.327,0.349,0.541,49.1,42.5,5.4,7.2,0.501,15.8,27.6,0.247
49,Charlotte,21,14,7,0.667,6.54,3.54,8.0,1.0,10,1,3,4,1453,1346,62.9,108.8,0.326,0.372,0.551,50.6,55.3,9.5,10.6,0.513,13.2,28.2,0.246
50,Chattanooga,23,15,8,0.652,-0.19,-3.57,7.0,3.0,9,3,6,5,1806,1629,69.1,112.3,0.299,0.503,0.586,52.0,49.8,9.6,11.0,0.559,15.1,28.0,0.219
51,Chicago State,27,11,16,0.407,-8.21,-2.37,,,5,5,5,10,1852,1872,67.6,100.9,0.371,0.353,0.517,49.0,46.7,13.2,8.9,0.478,17.0,33.9,0.26
52,Cincinnati,22,15,7,0.682,15.93,5.79,4.0,5.0,12,2,3,4,1693,1470,69.0,110.4,0.293,0.348,0.53,56.6,55.0,9.0,11.7,0.504,13.8,38.2,0.201
