Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,21,8,13,0.381,-4.13,-1.03,3.0,7.0,5,5,1,7,1572,1583,855,552,1202,0.459,126,388,0.325,353,512,0.689,225,797,245,141,78,328,418
2,Air Force,21,8,13,0.381,-3.75,-1.23,1.0,8.0,4,7,4,5,1434,1487,850,514,1130,0.455,160,436,0.367,299,407,0.735,205,685,272,121,62,248,347
3,Akron,22,17,5,0.773,6.07,-1.18,9.0,1.0,10,0,6,2,1677,1431,885,529,1239,0.427,140,452,0.31,233,347,0.671,197,690,257,137,50,279,382
4,Alabama,22,16,6,0.727,24.58,9.9,8.0,1.0,11,1,3,2,1977,1654,880,577,1352,0.427,159,501,0.317,341,483,0.706,248,742,257,166,82,272,436
5,Alabama A&M,21,4,17,0.19,-17.57,-4.66,3.0,5.0,2,4,2,11,1462,1733,845,561,1228,0.457,178,467,0.381,433,588,0.736,266,804,319,200,69,296,424
6,Alabama State,21,10,11,0.476,-8.97,-2.74,5.0,3.0,4,3,3,8,1472,1469,848,478,1156,0.413,167,516,0.324,346,482,0.718,204,825,264,130,89,317,337
7,Albany (NY),23,11,12,0.478,-7.39,-5.48,3.0,5.0,6,3,5,8,1814,1817,920,660,1419,0.465,116,404,0.287,381,529,0.72,235,819,313,178,108,300,381
8,Alcorn State,21,5,16,0.238,-13.0,-0.1,4.0,4.0,2,2,3,14,1462,1712,840,575,1221,0.471,230,596,0.386,332,459,0.723,229,731,365,138,94,249,374
9,American,23,13,10,0.565,-7.4,-7.72,7.0,3.0,8,2,5,8,1667,1631,930,587,1255,0.468,201,541,0.372,256,377,0.679,180,701,296,110,56,249,380
10,Appalachian State,23,19,4,0.826,5.87,-2.75,10.0,1.0,10,0,6,3,1800,1505,935,567,1486,0.382,152,505,0.301,219,323,0.678,263,842,242,156,54,257,377
11,Arizona,21,16,5,0.762,26.66,9.42,7.0,3.0,11,0,3,3,1876,1514,850,553,1297,0.426,174,509,0.342,234,330,0.709,167,649,295,149,73,303,409
12,Arizona State,22,11,11,0.5,5.05,8.09,5.0,6.0,8,3,2,4,1516,1583,880,576,1311,0.439,167,513,0.326,264,382,0.691,243,916,320,118,59,312,376
13,Arkansas,22,11,11,0.5,5.26,7.3,2.0,7.0,9,4,1,4,1670,1715,890,595,1383,0.43,176,493,0.357,349,481,0.726,244,810,292,141,63,238,462
