Rk,School,Conf,AP_Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
1,Arizona,Pac-12,4.0,20,5,90.7,72.9,17.76,9.71,21.64,5.83,27.47,125.06,88.63,36.43
2,Houston,Big 12,2.0,23,3,73.9,55.3,18.54,8.37,6.15,20.76,26.91,120.86,80.35,40.5
3,Purdue,Big Ten,3.0,23,3,84.4,69.9,14.5,10.97,15.78,9.68,25.47,126.5,91.09,35.4
4,Alabama,SEC,13.0,18,7,90.7,76.8,13.88,10.63,22.81,1.71,24.51,128.88,94.94,33.94
5,Connecticut,Big East,1.0,24,2,82.0,63.7,18.31,5.32,11.24,12.38,23.62,125.86,92.04,33.82
6,Iowa State,Big 12,6.0,20,6,78.2,62.9,15.31,7.13,9.97,12.46,22.43,118.65,86.99,31.66
7,Auburn,SEC,14.0,20,6,82.2,67.0,15.15,7.12,12.22,10.06,22.28,119.82,88.84,30.99
8,Tennessee,SEC,5.0,19,6,80.4,67.2,13.2,8.91,11.15,10.96,22.11,119.47,88.4,31.07
9,Brigham Young,Big 12,25.0,18,7,83.4,68.6,14.72,6.41,14.21,6.92,21.13,122.4,92.76,29.64
10,Baylor,Big 12,11.0,19,6,83.0,70.7,12.36,8.88,14.31,6.36,20.67,126.72,96.95,29.77
11,North Carolina,ACC,10.0,20,6,82.8,71.4,11.42,9.21,14.01,6.63,20.64,119.44,90.95,28.49
12,Illinois,Big Ten,12.0,19,6,83.1,70.7,12.4,7.84,15.55,4.69,20.24,122.65,94.55,28.1
13,Creighton,Big East,15.0,19,7,81.2,69.3,11.88,7.8,11.91,7.77,19.68,121.77,93.73,28.04
14,Duke,ACC,8.0,20,5,80.3,67.6,12.68,6.74,11.1,8.32,19.42,121.57,93.63,27.93
15,Michigan State,Big Ten,,17,9,75.2,65.8,9.42,9.68,6.19,12.91,19.1,117.06,90.43,26.63
16,Marquette,Big East,7.0,19,6,77.7,68.7,9.04,9.93,10.34,8.63,18.97,118.97,92.32,26.66
17,Kansas,Big 12,9.0,20,6,76.6,67.6,9.04,10.05,9.27,9.1,18.37,116.93,90.92,26.01
