Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,MP,FG,FGA,FG_Pct,3P,3PA,3P_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,25,10,15,0.4,-5.48,-1.1,5.0,9.0,5,5,3,9,1819,1873,1015,634,1487,0.426,132,401,0.329,419,580,0.722,246,834,316,201,50,324,508
2,Air Force,24,8,16,0.333,-3.76,-0.63,1.0,11.0,4,9,4,6,1630,1705,970,571,1248,0.458,216,579,0.373,272,403,0.675,188,708,363,165,96,299,413
3,Akron,25,19,6,0.76,5.16,-1.93,11.0,1.0,11,0,7,3,1877,1613,1005,659,1438,0.458,212,625,0.339,347,478,0.726,265,923,338,156,69,280,403
4,Alabama,25,18,7,0.72,24.51,10.63,10.0,2.0,12,1,4,3,2267,1920,1000,763,1583,0.482,296,768,0.385,445,563,0.79,314,986,401,192,107,307,479
5,Alabama A&M,26,8,18,0.308,-15.49,-6.53,7.0,6.0,5,4,3,12,1811,2044,1045,602,1452,0.415,111,387,0.287,496,692,0.717,301,930,263,199,99,423,558
6,Alabama State,26,12,14,0.462,-10.33,-5.51,7.0,6.0,6,4,3,10,1799,1795,1048,640,1689,0.379,175,626,0.28,344,480,0.717,357,1031,274,228,99,302,498
7,Albany (NY),26,12,14,0.462,-7.2,-5.84,4.0,7.0,7,3,5,10,2029,2024,1040,734,1657,0.443,198,611,0.324,363,508,0.715,299,955,346,219,81,358,494
8,Alcorn State,26,9,17,0.346,-11.81,-3.25,8.0,5.0,4,3,5,14,1817,2023,1040,652,1505,0.433,129,386,0.334,384,554,0.693,294,882,285,190,44,300,455
9,American,27,14,13,0.519,-7.88,-8.46,8.0,6.0,8,4,6,9,1887,1843,1090,672,1488,0.452,243,686,0.354,298,412,0.723,241,895,385,159,49,296,448
10,Appalachian State,27,22,5,0.815,6.29,-1.95,12.0,2.0,13,0,6,4,2123,1803,1105,795,1676,0.474,180,554,0.325,353,532,0.664,298,1123,404,179,193,291,352
11,Arizona,25,20,5,0.8,27.47,9.71,11.0,3.0,13,0,5,3,2267,1823,1025,815,1658,0.492,195,528,0.369,442,605,0.731,344,1083,474,218,88,293,410
12,Arizona State,26,13,13,0.5,5.4,9.17,7.0,8.0,9,3,3,6,1810,1908,1040,650,1546,0.42,181,595,0.304,329,504,0.653,209,863,317,218,95,274,427
13,Arkansas,25,12,13,0.48,5.18,8.18,3.0,9.0,10,5,1,5,1878,1953,1010,637,1431,0.445,147,464,0.317,457,636,0.719,222,871,281,146,158,299,486
14,Arkansas State,27,13,14,0.481,-0.06,-1.25,8.0,6.0,8,3,4,10,2148,2116,1085,743,1679,0.443,265,748,0.354,397,568,0.699,351,1024,398,144,120,316,496
15,Arkansas-Pine Bluff,26,11,15,0.423,-15.7,-5.88,6.0,7.0,6,5,5,10,2084,2138,1040,683,1531,0.446,274,743,0.369,444,587,0.756,223,911,389,158,61,351,492
16,Army,27,10,17,0.37,-11.98,-8.42,6.0,8.0,6,8,4,9,1648,1694,1095,601,1474,0.408,217,666,0.326,229,390,0.587,264,942,338,157,107,339,434
17,Auburn,26,20,6,0.769,22.28,7.12,9.0,4.0,13,1,3,4,2136,1742,1040,735,1586,0.463,201,605,0.332,465,614,0.757,309,1009,460,198,155,271,479
18,Austin Peay,28,15,13,0.536,-5.38,-3.82,8.0,5.0,10,1,4,11,2021,1961,1135,732,1671,0.438,231,629,0.367,326,482,0.676,304,947,312,211,82,250,485
19,Ball State,25,12,13,0.48,-6.48,-5.17,4.0,8.0,8,5,4,7,1853,1781,1010,630,1385,0.455,192,511,0.376,401,528,0.759,237,868,310,135,73,306,380
20,Baylor,25,19,6,0.76,20.67,8.88,8.0,4.0,13,1,3,3,2076,1767,1025,718,1457,0.493,224,558,0.401,416,572,0.727,292,878,393,175,85,295,419
