Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
1,Abilene Christian,23,11,12,0.478,-4.17,-4.67,7.0,7.0,9,4,2,7,1660,1581,70.9,95.4,0.253,0.39,0.519,46.9,51.9,11.5,12.1,0.491,19.5,29.2,0.179
2,Air Force,27,12,15,0.444,-3.04,2.44,5.0,9.0,8,6,4,7,1699,1821,70.4,95.4,0.359,0.264,0.545,54.4,44.2,11.1,8.6,0.503,23.7,33.8,0.27
3,Akron,23,9,14,0.391,-8.05,-5.36,4.0,8.0,4,6,4,7,1450,1512,68.1,93.5,0.267,0.331,0.493,49.1,57.3,11.6,8.8,0.467,18.3,31.2,0.178
4,Alabama,26,19,7,0.731,21.73,6.46,6.0,5.0,12,3,5,3,1938,1541,70.9,83.6,0.266,0.28,0.449,47.5,51.5,10.6,10.0,0.413,21.2,33.0,0.184
5,Alabama A&M,24,11,13,0.458,-12.65,-10.12,6.0,6.0,8,2,2,10,1482,1510,70.5,88.3,0.341,0.249,0.487,48.4,51.0,12.7,7.6,0.441,21.4,32.2,0.25
6,Alabama State,23,3,20,0.13,-27.44,-0.66,3.0,9.0,1,6,2,14,1120,1736,73.7,102.4,0.391,0.27,0.516,56.2,58.2,18.1,11.2,0.473,17.3,40.0,0.275
7,Albany (NY),25,22,3,0.88,-0.91,-11.07,11.0,1.0,12,1,10,2,1611,1276,63.9,79.9,0.227,0.321,0.442,44.6,48.5,11.5,9.4,0.409,21.3,29.0,0.161
8,Alcorn State,23,6,17,0.261,-18.48,-3.7,4.0,8.0,4,4,2,13,1209,1501,71.4,91.5,0.455,0.348,0.478,51.6,56.9,15.2,6.6,0.428,18.4,33.0,0.305
9,American,24,9,15,0.375,-13.52,-8.94,7.0,6.0,5,8,4,7,1454,1564,70.6,91.3,0.317,0.318,0.5,52.6,52.4,12.1,7.5,0.462,20.8,31.9,0.226
10,Appalachian State,26,14,12,0.538,-0.93,-2.39,7.0,7.0,9,2,3,10,1885,1847,77.5,91.3,0.322,0.276,0.495,50.2,45.8,10.7,8.8,0.453,20.3,32.7,0.237
11,Arizona,25,13,12,0.52,20.11,15.43,5.0,8.0,9,3,2,7,1739,1622,70.9,90.1,0.311,0.351,0.5,52.4,56.6,9.9,6.8,0.468,23.0,35.3,0.213
12,Arizona State,25,11,14,0.44,8.45,14.85,3.0,10.0,7,6,1,7,1581,1741,69.2,99.7,0.306,0.319,0.512,54.0,61.6,8.0,10.1,0.478,18.5,37.4,0.216
13,Arkansas,26,17,9,0.654,15.94,10.29,5.0,6.0,10,4,4,4,1883,1736,75.2,88.8,0.218,0.302,0.461,52.1,52.0,8.6,9.5,0.431,17.3,30.4,0.155
14,Arkansas State,25,13,12,0.52,-0.56,-2.48,6.0,8.0,10,3,3,9,1708,1582,68.3,91.7,0.237,0.362,0.486,49.9,54.6,7.7,6.6,0.456,19.2,31.2,0.171
15,Arkansas-Pine Bluff,25,14,11,0.56,-1.6,-3.78,9.0,3.0,6,3,8,5,1885,1700,79.1,85.6,0.379,0.292,0.469,48.6,61.9,10.5,6.7,0.424,21.5,31.2,0.259
16,Army,23,11,12,0.478,-16.11,-10.11,8.0,5.0,7,6,4,6,1363,1429,68.5,90.6,0.285,0.28,0.51,49.7,57.8,10.7,12.6,0.478,20.8,28.8,0.201
17,Auburn,24,16,8,0.667,19.36,9.44,5.0,6.0,12,3,4,5,1612,1374,72.9,78.6,0.332,0.259,0.457,49.6,43.6,9.8,6.7,0.411,25.0,30.4,0.236
18,Austin Peay,26,13,13,0.5,-3.86,-5.38,6.0,6.0,7,7,4,6,1635,1575,67.6,88.3,0.327,0.286,0.476,48.9,49.3,11.2,7.0,0.434,19.6,29.7,0.23
19,Ball State,25,22,3,0.88,10.22,-1.57,11.0,1.0,10,1,10,2,1864,1544,72.2,84.7,0.279,0.335,0.501,50.5,55.4,9.2,6.8,0.476,24.5,27.4,0.183
20,Baylor,24,18,6,0.75,28.13,12.05,7.0,6.0,11,2,4,4,1849,1463,74.2,82.1,0.258,0.299,0.469,44.8,51.2,10.6,7.9,0.44,22.0,24.7,0.173
