Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
1,Abilene Christian,18,8,10,0.444,-3.44,-2.44,4.0,5.0,6,3,2,6,1287,1233,70.6,99.2,0.3,0.479,0.512,54.1,54.9,10.6,4.4,0.48,19.0,37.1,0.21
2,Air Force,21,9,12,0.429,-3.56,3.6,2.0,6.0,7,4,2,6,1292,1413,70.4,86.9,0.216,0.339,0.45,45.5,51.9,16.2,5.4,0.417,17.4,30.2,0.158
3,Akron,18,7,11,0.389,-8.11,-6.56,2.0,6.0,3,3,3,7,1136,1164,68.3,89.3,0.285,0.322,0.475,50.7,51.2,8.6,7.2,0.437,20.5,33.9,0.205
4,Alabama,22,16,6,0.727,20.62,3.53,3.0,4.0,11,3,3,2,1640,1264,70.8,105.3,0.337,0.349,0.538,52.9,49.9,13.2,10.5,0.506,17.9,37.7,0.238
5,Alabama A&M,19,8,11,0.421,-12.82,-9.88,3.0,4.0,5,2,2,8,1159,1182,70.1,86.5,0.281,0.218,0.462,50.9,49.0,11.9,7.7,0.425,21.4,34.9,0.198
6,Alabama State,18,2,16,0.111,-29.97,0.81,2.0,5.0,0,4,2,12,866,1420,74.1,64.9,0.268,0.293,0.401,42.4,53.7,9.3,7.6,0.365,28.7,26.4,0.173
7,Albany (NY),20,18,2,0.9,0.48,-11.26,7.0,0.0,10,0,8,2,1327,1013,64.4,103.0,0.292,0.31,0.542,55.2,59.2,12.1,10.0,0.507,19.7,38.4,0.22
8,Alcorn State,18,4,14,0.222,-19.14,-1.61,2.0,5.0,3,2,1,12,918,1183,71.2,71.7,0.292,0.22,0.401,48.1,58.5,11.4,8.5,0.367,22.9,29.7,0.178
9,American,19,8,11,0.421,-11.48,-7.48,6.0,2.0,4,6,4,5,1166,1242,70.8,85.5,0.281,0.291,0.474,47.3,61.7,11.9,4.5,0.442,21.0,27.9,0.19
10,Appalachian State,20,10,10,0.5,-2.61,-2.91,4.0,5.0,7,1,1,9,1409,1403,77.3,90.6,0.347,0.345,0.467,48.9,49.6,12.0,6.7,0.429,18.4,32.7,0.231
11,Arizona,21,11,10,0.524,19.04,13.7,3.0,6.0,7,3,2,5,1490,1378,71.4,97.6,0.294,0.246,0.521,48.2,54.5,16.4,11.4,0.486,18.5,31.4,0.217
12,Arizona State,21,10,11,0.476,7.64,12.64,2.0,7.0,6,6,1,4,1348,1453,69.6,92.3,0.321,0.248,0.472,45.9,41.6,11.4,6.1,0.433,16.1,30.5,0.222
13,Arkansas,22,16,6,0.727,17.64,8.96,4.0,3.0,9,3,4,2,1603,1412,75.2,96.9,0.31,0.471,0.496,48.7,45.8,9.0,13.1,0.456,14.8,26.4,0.226
14,Arkansas State,19,10,9,0.526,0.11,-1.61,4.0,5.0,8,3,2,6,1328,1217,68.4,100.8,0.295,0.361,0.512,51.3,52.0,11.7,7.0,0.47,15.8,32.7,0.228
15,Arkansas-Pine Bluff,20,10,10,0.5,-1.8,-0.41,5.0,2.0,5,2,5,5,1526,1416,79.1,95.9,0.298,0.3,0.497,50.6,60.0,12.9,10.5,0.47,17.2,33.3,0.196
16,Army,18,8,10,0.444,-18.43,-10.05,5.0,3.0,4,6,4,4,1062,1136,69.2,85.3,0.274,0.301,0.444,50.6,49.4,11.9,6.6,0.407,18.9,33.3,0.191
17,Auburn,20,14,6,0.7,17.79,6.64,3.0,4.0,11,2,3,4,1338,1115,72.6,92.1,0.34,0.208,0.476,50.6,53.3,14.8,8.6,0.434,17.5,31.9,0.239
18,Austin Peay,21,9,12,0.429,-4.92,-3.92,2.0,5.0,6,7,1,5,1313,1306,67.8,90.6,0.301,0.269,0.514,50.8,49.5,10.1,9.6,0.487,22.4,29.4,0.198
19,Ball State,20,18,2,0.9,10.06,-1.31,8.0,0.0,7,1,9,1,1492,1239,72.0,103.0,0.291,0.417,0.559,49.3,60.1,14.8,7.8,0.532,18.2,26.2,0.209
20,Baylor,19,16,3,0.842,29.47,8.9,5.0,3.0,10,1,3,2,1507,1116,74.0,107.2,0.27,0.363,0.552,56.3,68.2,13.1,5.3,0.526,17.4,35.8,0.194
21,Bellarmine,19,6,13,0.316,-17.6,-2.42,1.0,6.0,3,5,3,8,1261,1443,76.6,86.1,0.261,0.358,0.472,47.3,60.3,10.9,5.5,0.44,20.4,29.6,0.181
22,Belmont,20,15,5,0.75,13.64,4.89,8.0,1.0,9,1,5,3,1387,1212,69.4,99.9,0.306,0.38,0.527,50.6,59.8,11.1,9.0,0.495,17.6,28.5,0.217
23,Bethune-Cookman,20,13,7,0.65,-7.64,-6.94,4.0,3.0,7,3,4,3,1396,1221,74.9,92.6,0.36,0.235,0.469,52.0,58.4,15.7,6.5,0.434,17.8,37.4,0.231
24,Binghamton,20,7,13,0.35,-12.09,-9.92,2.0,5.0,5,7,2,4,1259,1271,67.1,93.8,0.207,0.36,0.511,47.0,60.0,8.9,5.9,0.488,18.7,27.1,0.147
25,Boise State,21,13,8,0.619,0.89,-1.48,4.0,4.0,9,2,3,5,1331,1223,68.8,92.2,0.269,0.342,0.489,54.0,65.7,9.3,16.1,0.461,19.5,33.4,0.182
26,Boston College,22,11,11,0.5,10.97,7.24,3.0,6.0,10,2,1,7,1600,1518,73.9,97.9,0.294,0.265,0.497,49.2,54.1,16.3,7.3,0.468,17.5,36.4,0.196
27,Boston University,20,13,7,0.65,-7.73,-8.47,5.0,4.0,10,1,3,6,1252,1205,66.6,92.3,0.307,0.308,0.522,49.5,64.1,11.6,11.5,0.489,21.5,28.3,0.219
28,Bowling Green State,18,10,8,0.556,-2.62,2.05,4.0,4.0,5,2,3,6,1186,1270,70.5,93.5,0.314,0.368,0.505,49.0,57.0,9.4,8.0,0.475,18.9,28.5,0.211
29,Bradley,20,5,15,0.25,-17.04,-2.09,1.0,8.0,4,5,0,9,1228,1506,71.0,85.9,0.258,0.332,0.489,45.9,56.3,7.6,4.9,0.461,21.2,23.8,0.176
30,Brigham Young,21,12,9,0.571,10.12,7.03,2.0,6.0,8,2,1,7,1434,1369,70.4,96.4,0.326,0.338,0.534,55.2,63.3,8.1,10.2,0.516,21.7,32.4,0.201
31,Brown,18,13,5,0.722,-1.38,-3.5,4.0,1.0,4,3,9,2,1103,1012,69.9,87.7,0.26,0.424,0.466,48.5,51.5,13.0,9.5,0.436,19.4,30.1,0.175
32,Bryant,20,10,10,0.5,-13.69,-8.8,3.0,4.0,7,3,3,6,1256,1241,68.2,91.5,0.279,0.367,0.502,50.2,59.8,10.4,6.8,0.483,21.1,30.6,0.171
33,Bucknell,19,5,14,0.263,-15.03,-4.13,2.0,6.0,5,4,0,10,1008,1215,67.0,79.1,0.328,0.298,0.464,46.3,57.0,8.6,8.6,0.418,23.3,23.5,0.236
34,Buffalo,18,10,8,0.556,-5.1,-6.04,4.0,4.0,8,3,2,5,1209,1153,69.3,97.0,0.324,0.303,0.508,49.3,55.0,10.8,6.1,0.473,17.6,30.1,0.225
35,Butler,20,9,11,0.45,3.45,5.08,1.0,8.0,6,5,2,6,1247,1224,65.8,94.8,0.194,0.393,0.518,50.2,61.7,9.6,5.8,0.497,20.0,28.9,0.137
