Rk,School,Conf,AP_Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
1,South Carolina,SEC,1.0,22,0,88.8,53.9,34.95,13.09,28.61,19.44,48.05,124.23,62.1,62.13
2,Connecticut,Big East,11.0,20,4,82.5,59.0,23.54,17.47,24.49,14.2,38.69,122.35,70.14,52.21
3,Texas,Big 12,7.0,21,3,83.8,57.5,26.25,12.01,23.85,14.41,38.26,120.17,69.53,50.64
4,Stanford,Pac-12,6.0,20,3,80.6,58.4,22.13,15.98,22.99,15.12,38.11,123.59,70.98,52.61
5,Iowa,Big Ten,2.0,22,2,92.7,69.5,23.13,14.1,32.51,4.71,37.23,125.48,77.56,47.92
6,UCLA,Pac-12,9.0,17,4,81.5,63.3,18.14,16.75,23.29,11.6,34.89,119.03,72.69,46.34
7,Louisiana State,SEC,13.0,20,4,90.3,62.9,27.38,6.07,27.55,5.9,33.44,117.12,76.52,40.6
8,Utah,Pac-12,20.0,17,6,83.6,60.3,23.22,12.76,22.55,10.88,33.42,121.27,76.04,45.23
9,Ohio State,Big Ten,5.0,20,3,80.7,62.4,18.26,14.61,19.85,12.76,32.61,114.78,71.72,43.06
10,Notre Dame,ACC,12.0,17,5,82.3,60.9,21.41,10.37,20.54,11.23,31.77,110.98,70.25,40.73
11,NC State,ACC,3.0,20,3,76.3,60.0,16.39,14.89,17.62,13.66,31.28,112.13,71.03,41.1
12,Kansas State,Big 12,8.0,20,3,73.1,53.7,19.43,11.45,11.17,19.71,30.88,108.53,67.32,41.21
13,Indiana,Big Ten,14.0,19,3,80.9,63.6,17.27,12.67,18.18,11.77,29.94,117.3,76.97,40.33
14,Colorado,Pac-12,4.0,19,3,77.3,63.0,14.27,15.23,18.27,11.23,29.5,114.26,74.58,39.68
15,Southern California,Pac-12,10.0,16,4,73.4,60.2,13.25,15.92,15.18,13.99,29.17,112.95,73.05,39.9
16,West Virginia,Big 12,22.0,20,2,78.6,56.0,22.64,6.1,15.99,12.75,28.74,109.45,72.2,37.26
17,Baylor,Big 12,18.0,17,5,77.8,60.0,17.73,10.82,17.34,11.21,28.55,110.48,72.81,37.67
18,Michigan State,Big Ten,,17,6,86.2,67.7,18.57,9.57,22.56,5.57,28.13,118.65,81.87,36.79
19,Gonzaga,WCC,19.0,23,2,81.8,61.2,20.6,7.49,20.45,7.64,28.09,121.95,82.63,39.32
20,Virginia Tech,ACC,16.0,19,4,77.5,60.1,17.39,10.18,15.89,11.68,27.57,115.91,78.07,37.85
21,Duke,ACC,,15,7,70.9,57.6,13.32,13.84,10.92,16.24,27.16,106.27,69.85,36.43
22,Louisville,ACC,15.0,20,4,75.6,60.8,14.75,12.29,15.88,11.16,27.04,113.05,76.29,36.76
23,Oregon State,Pac-12,17.0,18,3,74.7,58.8,15.95,10.94,14.67,12.23,26.89,113.14,76.31,36.82
24,Penn State,Big Ten,,16,7,87.0,71.0,15.91,10.34,25.45,0.81,26.26,114.08,81.04,33.04
25,Washington State,Pac-12,,15,8,73.3,61.0,12.26,13.53,13.66,12.13,25.79,111.03,75.92,35.12
26,Creighton,Big East,21.0,19,3,73.6,62.6,11.05,11.78,14.26,8.57,22.82,112.81,81.49,31.32
27,Mississippi State,SEC,,20,5,76.7,61.9,14.8,7.94,14.83,7.91,22.74,111.93,81.84,30.08
28,North Carolina,ACC,,15,8,69.8,60.7,9.04,13.27,9.8,12.52,22.31,105.04,74.96,30.08
29,Texas A&M,SEC,,16,6,71.5,56.0,15.55,6.56,8.96,13.15,22.11,103.44,73.55,29.89
