,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
0,1,Abilene Christian,17,6,11,0.353,-5.55,-0.74,1.0,5.0,3,3,1,7,1272,1298,73.1,102.9,0.427,0.324,0.555,53.6,47.1,8.8,8.7,0.517,18.5,30.9,0.3
1,2,Air Force,16,7,9,0.438,-4.27,-4.08,0.0,4.0,4,5,3,3,1080,1083,64.5,103.3,0.355,0.371,0.54,51.2,52.4,8.7,10.6,0.504,16.6,28.5,0.254
2,3,Akron,17,13,4,0.765,5.92,-0.34,5.0,0.0,8,0,4,1,1311,1116,67.3,96.8,0.254,0.367,0.51,46.8,49.2,10.0,7.0,0.488,17.0,27.4,0.168
3,4,Alabama,17,12,5,0.706,24.85,8.56,4.0,0.0,8,1,2,1,1534,1257,72.3,102.2,0.352,0.375,0.522,45.4,43.6,9.7,10.9,0.484,14.7,28.2,0.251
4,5,Alabama A&M,18,3,15,0.167,-17.55,-3.33,2.0,3.0,1,4,2,9,1244,1500,72.5,114.2,0.466,0.402,0.58,52.1,57.7,13.2,8.4,0.537,16.0,35.5,0.343
5,6,Alabama State,18,9,9,0.5,-8.04,-0.9,4.0,1.0,4,2,2,7,1275,1267,71.4,98.0,0.403,0.442,0.528,50.2,56.2,8.4,9.7,0.486,18.4,28.0,0.286
6,7,Albany (NY),18,10,8,0.556,-5.98,-6.09,2.0,1.0,6,1,4,6,1405,1364,74.5,101.7,0.357,0.274,0.526,48.5,46.1,10.1,10.8,0.488,15.3,30.1,0.253
7,8,Alcorn State,16,2,14,0.125,-14.23,3.77,1.0,2.0,1,0,1,14,1095,1357,70.4,120.5,0.385,0.504,0.607,52.1,64.8,9.3,11.2,0.578,14.5,33.7,0.28
8,9,American,18,10,8,0.556,-7.48,-7.3,4.0,1.0,6,1,4,7,1317,1291,65.1,109.5,0.308,0.441,0.567,47.7,50.6,7.5,8.5,0.546,14.4,26.1,0.206
9,10,Appalachian State,18,14,4,0.778,5.96,-1.85,5.0,1.0,7,0,4,3,1380,1141,69.4,90.1,0.23,0.363,0.45,46.1,43.9,9.5,4.6,0.421,13.8,26.5,0.156
10,11,Arizona,17,13,4,0.765,29.09,10.03,4.0,2.0,9,0,2,2,1541,1217,75.7,93.3,0.243,0.392,0.512,41.1,54.3,9.3,7.2,0.487,17.4,20.6,0.169
11,12,Arizona State,17,10,7,0.588,6.6,8.13,4.0,2.0,7,1,2,2,1174,1200,71.0,99.4,0.255,0.396,0.515,55.0,55.8,8.1,7.0,0.489,17.0,30.4,0.175
12,13,Arkansas,17,10,7,0.588,7.22,6.4,1.0,3.0,9,2,0,2,1333,1319,72.9,104.9,0.36,0.361,0.518,50.2,46.4,8.8,6.2,0.479,12.4,29.2,0.254
13,14,Arkansas State,18,7,11,0.389,-1.76,-1.15,3.0,3.0,5,2,1,8,1408,1419,71.2,110.8,0.388,0.286,0.546,49.4,42.7,11.2,13.8,0.501,11.7,30.0,0.29
