,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
0,1,Abilene Christian,17,6,11,0.353,-5.55,-0.74,1.0,5.0,3,3,1,7,1272,1298,73.1,100.8,0.406,0.274,0.525,46.4,52.6,10.5,4.0,0.478,15.3,25.5,0.295
1,2,Air Force,16,7,9,0.438,-4.27,-4.08,0.0,4.0,4,5,3,3,1080,1083,64.5,103.1,0.339,0.441,0.561,48.8,62.9,11.0,14.1,0.536,17.4,24.4,0.232
2,3,Akron,17,13,4,0.765,5.92,-0.34,5.0,0.0,8,0,4,1,1311,1116,67.3,113.7,0.327,0.433,0.579,53.2,54.7,9.6,7.3,0.551,15.0,32.2,0.236
3,4,Alabama,17,12,5,0.706,24.85,8.56,4.0,0.0,8,1,2,1,1534,1257,72.3,124.7,0.382,0.481,0.623,54.6,52.8,10.4,11.3,0.586,14.2,35.2,0.3
4,5,Alabama A&M,18,3,15,0.167,-17.55,-3.33,2.0,3.0,1,4,2,9,1244,1500,72.5,94.7,0.453,0.271,0.506,47.9,43.2,10.3,11.1,0.453,19.6,31.7,0.323
5,6,Alabama State,18,9,9,0.5,-8.04,-0.9,4.0,1.0,4,2,2,7,1275,1267,71.4,98.6,0.265,0.364,0.477,49.8,45.6,13.0,11.9,0.441,13.1,31.2,0.192
6,7,Albany (NY),18,10,8,0.556,-5.98,-6.09,2.0,1.0,6,1,4,6,1405,1364,74.5,104.8,0.328,0.356,0.536,51.5,47.1,11.5,7.5,0.503,16.3,33.4,0.233
7,8,Alcorn State,16,2,14,0.125,-14.23,3.77,1.0,2.0,1,0,1,14,1095,1357,70.4,97.2,0.333,0.248,0.485,47.9,40.1,10.4,5.3,0.45,14.5,31.6,0.223
8,9,American,18,10,8,0.556,-7.48,-7.3,4.0,1.0,6,1,4,7,1317,1291,65.1,111.7,0.274,0.461,0.57,52.3,57.2,9.5,5.8,0.547,14.7,30.4,0.192
9,10,Appalachian State,18,14,4,0.778,5.96,-1.85,5.0,1.0,7,0,4,3,1380,1141,69.4,108.9,0.288,0.355,0.541,53.9,53.2,9.1,16.3,0.52,13.2,31.0,0.189
10,11,Arizona,17,13,4,0.765,29.09,10.03,4.0,2.0,9,0,2,2,1541,1217,75.7,118.1,0.335,0.312,0.578,58.9,58.7,12.5,9.0,0.55,13.9,38.0,0.241
11,12,Arizona State,17,10,7,0.588,6.6,8.13,4.0,2.0,7,1,2,2,1174,1200,71.0,97.3,0.369,0.388,0.509,45.0,49.8,11.7,11.6,0.481,13.7,20.5,0.234
12,13,Arkansas,17,10,7,0.588,7.22,6.4,1.0,3.0,9,2,0,2,1333,1319,72.9,106.0,0.474,0.339,0.555,49.8,44.3,7.2,16.4,0.51,14.6,25.7,0.34
13,14,Arkansas State,18,7,11,0.389,-1.76,-1.15,3.0,3.0,5,2,1,8,1408,1419,71.2,109.9,0.326,0.466,0.549,50.6,56.9,7.4,10.2,0.519,14.8,32.0,0.23
14,15,Arkansas-Pine Bluff,16,6,10,0.375,-16.9,-0.06,1.0,2.0,4,3,2,7,1334,1374,76.7,108.8,0.342,0.473,0.577,46.8,57.1,9.8,6.2,0.54,15.4,24.7,0.262
15,16,Army,18,5,13,0.278,-13.91,-8.16,1.0,4.0,4,6,1,7,1098,1147,64.1,94.4,0.256,0.466,0.488,51.2,58.6,10.1,12.4,0.474,16.9,29.5,0.145
16,17,Auburn,17,15,2,0.882,21.45,3.27,4.0,0.0,9,0,2,1,1425,1116,71.0,118.0,0.392,0.389,0.574,54.2,64.2,10.8,15.3,0.533,12.1,34.7,0.297
