,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
0,1,Abilene Christian,17,6,11,0.353,-5.55,-0.74,1.0,5.0,3,3,1,7,1272,1298,690,450,972,0.463,106,315,0.337,292,415,0.704,181,655,212,111,64,266,344
1,2,Air Force,16,7,9,0.438,-4.27,-4.08,0.0,4.0,4,5,3,3,1080,1083,650,376,858,0.438,113,318,0.355,218,305,0.715,151,522,197,91,49,199,280
2,3,Akron,17,13,4,0.765,5.92,-0.34,5.0,0.0,8,0,4,1,1311,1116,685,419,976,0.429,114,358,0.318,164,248,0.661,165,540,206,115,39,224,294
3,4,Alabama,17,12,5,0.706,24.85,8.56,4.0,0.0,8,1,2,1,1534,1257,680,438,1032,0.424,122,387,0.315,259,363,0.713,183,558,191,119,59,207,339
4,5,Alabama A&M,18,3,15,0.167,-17.55,-3.33,2.0,3.0,1,4,2,9,1244,1500,725,487,1059,0.46,163,426,0.383,363,494,0.735,230,685,281,173,62,247,361
5,6,Alabama State,18,9,9,0.5,-8.04,-0.9,4.0,1.0,4,2,2,7,1275,1267,725,418,1008,0.415,143,446,0.321,288,406,0.709,182,718,235,109,73,271,276
6,7,Albany (NY),18,10,8,0.556,-5.98,-6.09,2.0,1.0,6,1,4,6,1405,1364,720,499,1109,0.45,85,304,0.28,281,396,0.71,196,636,230,136,79,234,300
7,8,Alcorn State,16,2,14,0.125,-14.23,3.77,1.0,2.0,1,0,1,14,1095,1357,640,455,945,0.481,182,476,0.382,265,364,0.728,182,601,295,105,82,190,282
8,9,American,18,10,8,0.556,-7.48,-7.3,4.0,1.0,6,1,4,7,1317,1291,725,462,994,0.465,162,438,0.37,205,306,0.67,153,556,234,89,47,192,296
9,10,Appalachian State,18,14,4,0.778,5.96,-1.85,5.0,1.0,7,0,4,3,1380,1141,730,421,1143,0.368,121,415,0.292,178,263,0.677,203,657,185,120,33,203,278
10,11,Arizona,17,13,4,0.765,29.09,10.03,4.0,2.0,9,0,2,2,1541,1217,690,449,1065,0.422,139,417,0.333,180,259,0.695,133,529,244,122,57,251,324
11,12,Arizona State,17,10,7,0.588,6.6,8.13,4.0,2.0,7,1,2,2,1174,1200,680,443,1040,0.426,132,412,0.32,182,265,0.687,195,706,247,98,42,239,308
12,13,Arkansas,17,10,7,0.588,7.22,6.4,1.0,3.0,9,2,0,2,1333,1319,690,457,1088,0.42,129,393,0.328,276,392,0.704,196,632,212,110,40,181,362
