,Rk,School,Conf,AP Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
0,1,Arizona,Pac-12,12.0,13,4,90.6,71.6,19.06,10.03,20.98,8.11,29.09,122.68,84.58,38.09
1,2,Houston,Big 12,5.0,15,2,74.9,51.5,23.35,4.57,5.22,22.7,27.92,120.35,77.79,42.56
2,3,Purdue,Big Ten,2.0,16,2,85.1,69.3,15.78,10.35,15.78,10.34,26.13,125.67,90.03,35.64
3,4,Brigham Young,Big 12,20.0,14,3,85.7,63.6,22.06,3.35,14.44,10.97,25.41,122.29,87.33,34.95
4,5,Alabama,SEC,,12,5,90.2,73.9,16.29,8.56,21.6,3.25,24.85,129.14,94.75,34.4
5,6,Iowa State,Big 12,24.0,13,4,81.1,60.1,21.06,1.95,11.02,11.99,23.01,117.59,85.88,31.7
6,7,North Carolina,ACC,4.0,14,3,83.9,69.5,14.35,7.62,14.41,7.56,21.97,119.43,89.58,29.85
7,8,Auburn,SEC,13.0,15,2,83.8,65.6,18.18,3.27,13.63,7.82,21.45,121.04,91.36,29.68
8,9,Tennessee,SEC,6.0,13,4,79.1,66.0,13.06,8.25,9.99,11.32,21.31,117.09,87.26,29.83
9,10,Baylor,Big 12,9.0,14,3,84.8,68.8,15.94,5.55,13.37,7.49,20.86,123.91,94.52,29.39
10,11,Illinois,Big Ten,14.0,13,4,82.1,67.8,14.29,5.98,13.28,6.99,20.27,119.87,92.2,27.67
11,12,Duke,ACC,7.0,13,3,82.0,66.1,15.94,4.29,12.1,8.12,20.23,123.55,94.78,28.76
12,13,Connecticut,Big East,1.0,16,2,81.9,64.6,17.33,2.7,9.84,10.19,20.03,123.43,95.19,28.24
13,14,Creighton,Big East,18.0,13,5,78.2,65.4,12.78,6.9,8.36,11.32,19.68,119.41,91.65,27.76
14,15,Michigan State,Big Ten,,11,7,77.1,65.6,11.5,8.14,6.79,12.85,19.64,116.99,90.13,26.86
15,16,Utah,Pac-12,,13,5,80.1,69.2,10.94,8.38,12.35,6.97,19.32,119.08,92.12,26.96
16,17,Marquette,Big East,17.0,12,5,77.4,67.6,9.76,9.22,10.06,8.93,18.98,117.11,90.9,26.21
17,18,Kentucky,SEC,8.0,13,3,90.8,76.1,14.69,4.04,19.62,-0.9,18.73,122.2,97.03,25.17
18,19,Kansas,Big 12,3.0,15,2,79.2,66.3,12.88,6.58,9.35,9.24,18.58,117.14,91.54,25.6
19,20,Wisconsin,Big Ten,11.0,13,4,75.6,66.6,9.0,9.33,8.52,9.82,18.33,122.87,95.44,27.42
20,21,Oklahoma,Big 12,15.0,14,3,79.9,65.1,14.82,2.22,7.27,9.78,17.05,116.02,92.21,23.81
21,22,Cincinnati,Big 12,,13,4,79.5,66.4,13.06,3.64,8.2,8.5,16.7,114.42,91.64,22.78
22,23,New Mexico,MWC,,15,3,83.6,69.3,14.22,3.47,12.95,3.64,16.59,113.22,91.53,21.68
23,24,Florida Atlantic,AAC,23.0,14,4,82.6,71.3,11.22,5.16,11.45,4.94,16.39,120.59,97.48,23.11
24,25,Colorado State,MWC,,14,3,81.5,68.6,12.88,6.85,8.59,7.73,16.32,120.15,97.31,22.84
25,26,TCU,Big 12,19.0,13,4,83.6,68.6,15.0,1.14,12.24,3.89,16.14,115.12,94.04,21.08
26,27,Xavier,Big East,,9,8,75.8,69.8,6.06,9.86,7.92,8.0,15.92,113.36,90.94,22.42
27,28,San Diego State,MWC,,15,3,76.6,66.8,9.72,8.23,6.75,9.04,15.79,114.61,92.23,22.37
28,29,Gonzaga,WCC,,12,5,84.4,68.3,16.12,2.53,10.07,5.47,15.53,115.92,94.84,21.08
29,30,St. John's (NY),Big East,,12,6,77.9,70.4,7.44,7.95,9.47,5.93,15.4,115.47,94.07,21.4
30,31,Iowa,Big Ten,,11,6,87.1,77.5,9.59,5.5,16.72,-1.63,15.08,118.44,99.2,19.23
31,32,Villanova,Big East,,11,6,74.2,66.4,7.88,7.18,6.0,9.06,15.07,115.09,93.55,21.53
32,33,Colorado,Pac-12,,13,5,80.6,71.0,9.56,5.48,9.56,5.48,15.04,116.75,96.32,20.43
