,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
0,1,Abilene Christian,15,8,7,0.533,-1.12,-1.54,4.0,2.0,6,3,2,3,1073,999,70.3,92.4,0.217,0.402,0.499,45.0,53.1,12.0,13.4,0.474,19.2,28.1,0.153
1,2,Air Force,19,9,10,0.474,-3.4,3.54,2.0,4.0,7,3,2,5,1178,1281,70.9,94.4,0.331,0.276,0.533,54.2,46.6,11.1,9.9,0.498,23.5,34.2,0.238
2,3,Akron,15,6,9,0.4,-7.71,-6.91,1.0,4.0,3,2,2,6,964,976,69.0,90.5,0.275,0.333,0.476,49.0,57.6,12.2,9.1,0.455,19.0,32.5,0.166
3,4,Alabama,20,15,5,0.75,21.13,2.53,2.0,3.0,10,3,3,1,1484,1112,70.5,78.8,0.257,0.268,0.437,47.5,50.1,10.2,10.4,0.4,23.3,33.1,0.181
4,5,Alabama A&M,17,8,9,0.471,-11.09,-8.53,3.0,2.0,5,2,2,6,1045,1056,70.3,87.8,0.368,0.254,0.492,48.2,50.7,12.6,7.5,0.443,21.8,30.2,0.269
5,6,Alabama State,16,1,15,0.063,-31.49,3.39,1.0,4.0,0,4,1,11,761,1319,74.9,110.1,0.399,0.273,0.546,58.7,59.6,19.3,12.2,0.51,16.5,42.3,0.277
6,7,Albany (NY),17,15,2,0.882,0.82,-12.06,4.0,0.0,8,0,7,2,1155,858,64.8,77.9,0.231,0.321,0.44,44.1,48.1,10.8,9.0,0.404,22.8,28.2,0.169
7,8,Alcorn State,14,3,11,0.214,-19.71,3.21,1.0,2.0,2,1,1,10,680,945,71.2,94.9,0.47,0.388,0.496,52.5,60.3,15.1,7.0,0.445,18.8,33.6,0.324
8,9,American,16,6,10,0.375,-12.47,-8.03,4.0,1.0,3,6,3,4,1003,1074,71.6,92.3,0.319,0.339,0.506,52.7,51.4,13.1,7.4,0.47,21.6,33.3,0.227
9,10,Appalachian State,17,9,8,0.529,-1.93,-3.93,3.0,3.0,6,1,1,7,1217,1183,77.3,89.4,0.35,0.271,0.497,50.3,46.1,10.4,9.5,0.452,21.5,31.8,0.256
10,11,Arizona,17,10,7,0.588,19.71,10.53,2.0,3.0,6,2,2,3,1243,1087,72.3,86.6,0.324,0.338,0.492,51.4,52.7,10.5,5.9,0.459,24.4,35.2,0.217
11,12,Arizona State,17,8,9,0.471,5.37,9.67,0.0,5.0,5,5,0,3,1085,1158,70.0,97.3,0.336,0.321,0.505,53.5,58.9,7.9,7.8,0.469,19.3,37.2,0.234
12,13,Arkansas,19,14,5,0.737,17.77,7.98,2.0,2.0,8,3,3,1,1380,1194,75.5,83.2,0.193,0.302,0.439,50.5,50.4,8.8,9.3,0.41,17.7,28.2,0.14
13,14,Arkansas State,16,9,7,0.563,0.52,-2.28,3.0,3.0,8,3,1,4,1111,989,68.3,89.7,0.246,0.39,0.494,48.5,56.6,7.5,6.9,0.461,21.2,29.1,0.182
14,15,Arkansas-Pine Bluff,16,7,9,0.438,-2.83,1.95,2.0,1.0,4,1,3,5,1241,1173,79.8,91.2,0.38,0.295,0.501,49.4,63.5,10.0,7.8,0.457,21.1,31.0,0.269
15,16,Army,15,5,10,0.333,-21.16,-8.7,2.0,3.0,3,6,2,4,860,962,69.1,92.8,0.294,0.286,0.515,50.8,57.1,12.0,10.2,0.482,20.7,31.3,0.21
16,17,Auburn,18,12,6,0.667,16.05,5.38,1.0,4.0,9,2,3,4,1193,1001,72.6,76.6,0.329,0.245,0.453,49.4,43.9,9.8,6.0,0.407,25.8,29.0,0.234
17,18,Austin Peay,18,9,9,0.5,-3.65,-4.45,2.0,2.0,6,4,1,5,1166,1129,68.3,89.9,0.329,0.303,0.484,48.8,52.2,10.9,6.9,0.443,19.8,30.3,0.234
18,19,Ball State,17,15,2,0.882,8.45,-0.42,5.0,0.0,5,1,8,1,1261,1082,73.2,86.4,0.278,0.321,0.515,51.1,58.9,9.0,7.6,0.49,24.6,26.9,0.185
