,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
0,1,Abilene Christian,15,8,7,0.533,-1.12,-1.54,4.0,2.0,6,3,2,3,1073,999,70.3,99.3,0.302,0.476,0.515,55.0,56.6,10.7,3.5,0.483,19.8,38.9,0.211
1,2,Air Force,19,9,10,0.474,-3.4,3.54,2.0,4.0,7,3,2,5,1178,1281,70.9,86.8,0.224,0.335,0.453,45.8,52.0,15.9,5.5,0.42,17.9,30.1,0.164
2,3,Akron,15,6,9,0.4,-7.71,-6.91,1.0,4.0,3,2,2,6,964,976,69.0,89.4,0.287,0.307,0.476,51.0,52.0,8.3,7.8,0.435,20.4,34.2,0.211
3,4,Alabama,20,15,5,0.75,21.13,2.53,2.0,3.0,10,3,3,1,1484,1112,70.5,105.2,0.334,0.356,0.538,52.5,49.6,13.5,10.8,0.507,17.9,37.3,0.232
4,5,Alabama A&M,17,8,9,0.471,-11.09,-8.53,3.0,2.0,5,2,2,6,1045,1056,70.3,86.9,0.288,0.221,0.463,51.8,48.3,11.7,7.6,0.424,21.3,35.2,0.206
5,6,Alabama State,16,1,15,0.063,-31.49,3.39,1.0,4.0,0,4,1,11,761,1319,74.9,63.5,0.251,0.294,0.395,41.3,53.6,9.4,7.7,0.361,29.0,25.6,0.163
6,7,Albany (NY),17,15,2,0.882,0.82,-12.06,4.0,0.0,8,0,7,2,1155,858,64.8,104.8,0.29,0.312,0.545,55.9,58.9,12.5,9.2,0.512,18.8,38.8,0.216
7,8,Alcorn State,14,3,11,0.214,-19.71,3.21,1.0,2.0,2,1,1,10,680,945,71.2,68.3,0.278,0.224,0.382,47.5,55.0,11.8,9.0,0.35,23.1,29.3,0.164
8,9,American,16,6,10,0.375,-12.47,-8.03,4.0,1.0,3,6,3,4,1003,1074,71.6,86.2,0.29,0.298,0.484,47.3,63.9,11.6,4.8,0.453,21.7,27.7,0.197
9,10,Appalachian State,17,9,8,0.529,-1.93,-3.93,3.0,3.0,6,1,1,7,1217,1183,77.3,91.9,0.344,0.338,0.471,49.7,50.4,12.3,7.0,0.435,18.2,33.6,0.227
10,11,Arizona,17,10,7,0.588,19.71,10.53,2.0,3.0,6,2,2,3,1243,1087,72.3,99.0,0.288,0.257,0.532,48.6,56.0,17.4,12.0,0.499,19.1,32.0,0.211
11,12,Arizona State,17,8,9,0.471,5.37,9.67,0.0,5.0,5,5,0,3,1085,1158,70.0,91.2,0.319,0.242,0.465,46.5,41.5,11.3,6.4,0.427,16.4,31.3,0.217
12,13,Arkansas,19,14,5,0.737,17.77,7.98,2.0,2.0,8,3,3,1,1380,1194,75.5,96.2,0.318,0.463,0.492,49.5,44.5,9.1,13.0,0.452,15.0,26.7,0.227
13,14,Arkansas State,16,9,7,0.563,0.52,-2.28,3.0,3.0,8,3,1,4,1111,989,68.3,100.8,0.312,0.362,0.519,51.5,53.0,12.3,6.9,0.477,16.6,32.5,0.238
14,15,Arkansas-Pine Bluff,16,7,9,0.438,-2.83,1.95,2.0,1.0,4,1,3,5,1241,1173,79.8,96.5,0.287,0.302,0.493,50.6,58.8,13.4,10.0,0.468,16.2,33.5,0.183
15,16,Army,15,5,10,0.333,-21.16,-8.7,2.0,3.0,3,6,2,4,860,962,69.1,82.9,0.266,0.315,0.436,49.2,47.6,12.2,6.5,0.398,19.4,32.7,0.186
16,17,Auburn,18,12,6,0.667,16.05,5.38,1.0,4.0,9,2,3,4,1193,1001,72.6,91.3,0.328,0.208,0.472,50.6,52.3,14.5,8.7,0.431,17.6,32.1,0.23
17,18,Austin Peay,18,9,9,0.5,-3.65,-4.45,2.0,2.0,6,4,1,5,1166,1129,68.3,92.8,0.314,0.276,0.527,51.2,49.4,10.3,9.4,0.5,22.3,29.8,0.209
18,19,Ball State,17,15,2,0.882,8.45,-0.42,5.0,0.0,5,1,8,1,1261,1082,73.2,100.6,0.296,0.414,0.547,48.9,60.4,15.0,8.1,0.518,18.5,25.9,0.212
19,20,Baylor,16,14,2,0.875,30.42,6.74,3.0,2.0,9,0,2,2,1303,924,74.3,109.6,0.25,0.363,0.559,56.1,68.0,13.0,5.9,0.534,16.5,35.6,0.182
20,21,Bellarmine,16,5,11,0.313,-17.73,-1.16,0.0,4.0,3,4,2,7,1064,1220,77.0,85.7,0.255,0.349,0.476,47.2,62.0,10.3,5.6,0.446,21.2,29.0,0.175
21,22,Belmont,16,12,4,0.75,14.67,4.98,5.0,0.0,7,1,4,2,1112,957,70.1,99.1,0.318,0.388,0.527,50.8,59.1,11.7,7.4,0.492,18.3,28.4,0.228
22,23,Bethune-Cookman,16,10,6,0.625,-8.49,-6.49,1.0,2.0,6,2,2,3,1116,955,74.4,93.0,0.328,0.237,0.477,52.1,58.8,16.4,6.9,0.443,17.8,36.8,0.216
23,24,Binghamton,17,5,12,0.294,-13.97,-10.57,0.0,4.0,4,6,1,4,1060,1084,67.1,93.0,0.185,0.359,0.503,47.4,59.6,8.8,5.8,0.48,18.5,27.6,0.133
24,25,Boise State,18,12,6,0.667,1.2,-2.3,3.0,2.0,8,1,3,4,1138,1019,68.5,92.3,0.276,0.343,0.492,54.9,65.8,9.2,16.9,0.464,19.8,33.8,0.186
25,26,Boston College,19,11,8,0.579,12.09,4.41,3.0,3.0,10,1,1,5,1425,1279,74.4,100.2,0.302,0.259,0.503,50.0,55.9,16.9,8.1,0.474,17.0,37.8,0.202
26,27,Boston University,16,11,5,0.688,-6.78,-7.44,3.0,2.0,8,1,3,4,1021,978,67.8,92.0,0.316,0.312,0.529,50.1,62.6,11.8,11.5,0.5,22.9,28.9,0.217
27,28,Bowling Green State,15,10,5,0.667,-0.43,3.37,4.0,1.0,5,1,3,4,993,1050,70.4,94.0,0.318,0.359,0.508,49.4,55.7,10.0,8.2,0.475,19.2,29.7,0.218
28,29,Bradley,16,5,11,0.313,-16.3,-3.3,1.0,4.0,4,3,0,7,981,1170,70.8,85.9,0.261,0.342,0.495,46.9,58.1,6.8,4.5,0.47,22.2,24.6,0.172
29,30,Brigham Young,19,11,8,0.579,7.57,4.79,1.0,5.0,7,2,1,6,1309,1256,70.9,96.5,0.338,0.35,0.538,55.2,63.7,7.9,10.2,0.519,21.9,32.1,0.21
30,31,Brown,16,11,5,0.688,-1.04,-2.44,2.0,1.0,3,3,8,2,1004,928,70.4,89.2,0.259,0.422,0.477,48.3,50.4,13.3,9.5,0.447,19.7,30.6,0.177
31,32,Bryant,17,9,8,0.529,-14.02,-9.42,2.0,2.0,6,2,3,5,1086,1052,68.7,92.3,0.271,0.373,0.507,51.2,60.1,11.1,6.6,0.489,21.6,31.8,0.166
32,33,Bucknell,16,4,12,0.25,-13.22,-1.09,1.0,4.0,4,3,0,9,829,1023,66.8,77.6,0.354,0.31,0.46,45.8,54.8,8.3,7.6,0.411,24.1,23.8,0.253
33,34,Buffalo,15,9,6,0.6,-6.13,-7.06,3.0,2.0,7,2,2,4,1001,948,69.3,96.3,0.347,0.311,0.509,48.9,54.2,10.4,5.7,0.476,18.2,30.0,0.233
34,35,Butler,17,8,9,0.471,2.19,4.87,0.0,6.0,6,4,1,5,1056,1045,65.7,94.6,0.188,0.391,0.515,49.8,60.7,9.4,5.5,0.495,19.7,28.6,0.131
35,36,Cal Poly,16,8,8,0.5,0.46,1.84,4.0,2.0,2,2,6,6,962,984,68.0,87.7,0.247,0.298,0.492,53.2,54.2,12.4,13.4,0.462,23.8,34.9,0.176
36,37,Cal State Bakersfield,15,4,11,0.267,-15.95,-3.45,1.0,5.0,3,3,1,7,866,1033,69.4,82.5,0.197,0.404,0.429,43.8,46.4,10.8,6.9,0.407,16.6,25.7,0.122
37,38,Cal State Fullerton,16,6,10,0.375,-7.62,-0.44,2.0,4.0,2,4,3,5,933,1048,70.4,82.9,0.238,0.307,0.466,46.7,61.3,11.6,7.3,0.428,21.4,26.3,0.182
38,39,Cal State Northridge,16,2,14,0.125,-20.63,-0.96,0.0,6.0,2,7,0,7,861,1160,73.0,73.2,0.235,0.323,0.403,43.3,54.7,11.8,10.1,0.371,21.1,26.2,0.155
39,40,California,17,12,5,0.706,17.84,11.14,2.0,3.0,10,3,2,2,1190,1076,69.1,99.9,0.268,0.417,0.509,51.4,59.2,11.8,8.1,0.472,17.5,35.0,0.203
40,41,California Baptist,15,13,2,0.867,1.68,-6.78,5.0,1.0,6,0,7,2,1163,1036,78.2,97.6,0.338,0.428,0.512,50.3,65.7,12.7,4.5,0.477,16.5,26.7,0.235
41,42,Campbell,15,8,7,0.533,-6.45,-6.6,1.0,3.0,5,1,1,6,928,784,67.5,91.7,0.239,0.383,0.508,53.8,58.7,9.7,8.7,0.491,22.0,30.8,0.15
42,43,Canisius,16,10,6,0.625,-10.78,-11.05,5.0,2.0,4,2,6,4,1001,989,66.1,93.9,0.256,0.395,0.499,51.4,57.5,9.2,6.4,0.479,19.6,31.9,0.161
43,44,Central Arkansas,17,11,6,0.647,-0.97,-3.44,3.0,1.0,6,0,5,5,1143,1009,69.7,95.2,0.279,0.337,0.51,53.7,39.6,10.6,8.9,0.479,19.2,31.9,0.197
44,45,Central Connecticut State,16,4,12,0.25,-17.66,-5.72,2.0,1.0,4,2,0,10,913,1104,69.5,82.0,0.228,0.274,0.448,43.2,51.0,10.5,4.7,0.41,19.1,25.3,0.173
45,46,Central Florida,15,9,6,0.6,10.25,5.04,0.0,5.0,6,4,0,2,980,884,70.8,92.3,0.333,0.272,0.5,55.6,50.7,9.9,5.8,0.455,22.4,38.7,0.248
46,47,Central Michigan,14,2,12,0.143,-16.24,-2.47,1.0,4.0,1,4,1,8,884,1040,74.7,84.6,0.307,0.308,0.462,52.1,47.4,9.2,10.6,0.427,23.2,36.3,0.205
47,48,Charleston Southern,17,5,12,0.294,-17.26,-5.57,2.0,2.0,4,4,1,8,1020,1194,74.1,81.0,0.235,0.264,0.449,50.6,47.7,9.4,6.0,0.424,23.7,34.7,0.15
48,49,Charlotte,18,12,6,0.667,6.11,1.22,5.0,1.0,7,1,4,3,1187,1099,72.6,89.0,0.364,0.274,0.498,53.1,52.4,12.5,9.0,0.449,21.8,31.7,0.271
49,50,Chattanooga,17,14,3,0.824,4.71,-2.89,2.0,0.0,8,1,4,0,1106,923,65.7,99.0,0.314,0.346,0.56,52.1,42.6,9.4,6.2,0.522,19.9,24.5,0.244
50,51,Chicago State,23,1,22,0.043,-31.44,-1.94,,,1,7,0,11,1327,1908,76.6,74.1,0.279,0.183,0.426,44.9,46.3,8.0,11.0,0.382,23.9,29.1,0.201
51,52,Cincinnati,16,9,7,0.563,8.41,7.41,1.0,4.0,6,2,2,3,1022,1006,70.5,90.5,0.365,0.282,0.459,54.2,42.4,9.0,8.8,0.405,19.1,39.8,0.267
52,53,Clemson,18,8,10,0.444,10.71,8.04,1.0,5.0,7,3,0,5,1326,1278,73.0,100.9,0.288,0.375,0.544,50.9,57.1,10.7,3.7,0.515,19.5,31.5,0.206
53,54,Cleveland State,19,16,3,0.842,9.26,-4.47,7.0,1.0,10,0,4,2,1440,1179,72.6,104.3,0.422,0.249,0.542,52.5,48.5,13.9,7.3,0.503,17.1,33.4,0.294
54,55,Coastal Carolina,19,7,12,0.368,-8.66,-0.05,1.0,5.0,3,4,3,7,1270,1401,75.9,87.5,0.388,0.247,0.467,51.0,44.0,11.8,8.9,0.431,22.5,38.8,0.245
55,56,Colgate,16,11,5,0.688,-6.59,-10.72,4.0,1.0,7,2,4,2,992,855,65.0,94.7,0.266,0.199,0.519,53.5,63.6,9.9,7.0,0.494,20.2,32.8,0.181
56,57,College of Charleston,15,11,4,0.733,-5.12,-9.66,3.0,1.0,7,1,4,3,1140,922,76.6,98.4,0.31,0.33,0.489,50.0,46.8,14.1,4.6,0.449,15.9,35.0,0.223
57,58,Colorado,16,15,1,0.938,28.96,11.33,5.0,0.0,8,0,4,0,1303,1021,73.5,110.7,0.266,0.338,0.569,54.3,66.2,15.6,9.0,0.544,16.7,34.5,0.194
58,59,Colorado State,16,12,4,0.75,9.62,-0.98,3.0,2.0,7,2,4,2,1182,987,70.0,104.8,0.224,0.422,0.568,44.8,57.5,8.1,12.4,0.539,11.9,11.1,0.177
59,60,Columbia,16,12,4,0.75,15.5,2.31,3.0,0.0,10,1,2,1,1237,1026,73.0,105.8,0.253,0.395,0.538,54.4,62.7,11.5,6.4,0.513,18.4,39.8,0.179
60,61,Connecticut,18,15,3,0.833,39.94,18.12,7.0,0.0,7,0,6,2,1514,1066,72.7,115.7,0.265,0.32,0.601,53.6,63.4,14.1,9.1,0.58,16.1,31.7,0.194
61,62,Coppin State,16,5,11,0.313,-10.53,1.14,1.0,0.0,1,5,3,6,857,1019,68.2,78.6,0.296,0.358,0.422,44.2,46.3,10.9,5.7,0.391,19.8,27.4,0.18
62,63,Cornell,15,6,9,0.4,-10.05,0.49,0.0,3.0,2,3,4,6,850,1008,69.5,81.5,0.325,0.208,0.46,48.7,50.3,9.4,3.8,0.416,23.2,32.1,0.23
63,64,Creighton,16,13,3,0.813,23.66,13.03,4.0,2.0,6,2,4,1,1195,1025,69.7,107.3,0.201,0.421,0.545,50.1,64.8,10.1,9.3,0.514,13.6,26.8,0.166
64,65,Dartmouth,15,6,9,0.4,-17.3,-8.07,0.0,3.0,3,6,3,3,758,812,63.3,79.9,0.178,0.318,0.435,50.3,55.7,10.4,8.1,0.413,21.9,31.1,0.118
65,66,Davidson,17,13,4,0.765,12.32,-1.91,3.0,3.0,8,2,5,2,1173,931,66.2,104.3,0.257,0.358,0.539,53.0,48.7,11.5,10.3,0.513,18.1,36.4,0.185
66,67,Dayton,17,8,9,0.471,-6.7,-2.07,2.0,4.0,5,3,1,6,1133,1188,71.8,92.8,0.247,0.252,0.483,56.5,54.2,8.9,6.3,0.451,20.9,40.7,0.178
67,68,Delaware,15,6,9,0.4,-3.89,-3.42,2.0,1.0,2,4,3,2,1041,1048,74.8,92.8,0.29,0.331,0.504,51.9,51.3,9.5,5.4,0.467,20.7,32.9,0.213
68,69,Delaware State,15,5,10,0.333,-26.8,-0.1,2.0,0.0,3,2,3,7,886,1141,72.4,80.3,0.245,0.306,0.446,44.9,48.3,10.4,3.8,0.419,21.6,28.7,0.157
69,70,Denver,17,4,13,0.235,-9.8,-2.8,1.0,3.0,3,6,1,7,1038,1128,67.7,90.1,0.321,0.52,0.489,47.9,57.0,9.0,5.7,0.46,19.1,26.2,0.206
70,71,DePaul,19,10,9,0.526,9.69,1.75,2.0,4.0,8,3,1,4,1432,1281,75.7,99.6,0.214,0.372,0.505,52.0,66.5,15.0,7.3,0.474,16.3,33.3,0.166
71,72,Detroit Mercy,19,11,8,0.579,-9.13,-6.87,4.0,4.0,5,1,5,7,1205,1248,71.5,88.1,0.288,0.275,0.499,53.3,48.7,8.6,6.6,0.465,23.8,33.2,0.205
72,73,Drake,16,12,4,0.75,15.88,3.76,5.0,0.0,7,2,5,2,1311,1117,76.3,105.8,0.313,0.389,0.603,55.6,66.5,11.8,11.7,0.566,22.2,31.6,0.254
73,74,Drexel,15,8,7,0.533,-3.25,-5.32,3.0,1.0,5,3,3,3,870,817,62.4,93.0,0.159,0.245,0.47,51.6,65.4,9.2,7.6,0.444,16.4,33.5,0.123
74,75,Duke,17,12,5,0.706,26.11,13.28,4.0,2.0,9,2,3,3,1219,1001,70.6,100.1,0.241,0.293,0.534,53.2,52.7,14.0,17.4,0.505,20.5,37.9,0.18
75,76,Duquesne,17,9,8,0.529,-2.18,-2.06,4.0,2.0,5,2,4,4,1175,1177,70.9,95.5,0.26,0.428,0.514,48.7,53.8,9.4,11.9,0.493,18.0,26.5,0.168
76,77,East Carolina,16,9,7,0.563,9.16,3.04,2.0,3.0,7,3,2,2,1049,951,74.0,88.6,0.333,0.274,0.465,48.2,53.4,16.9,12.2,0.428,20.3,36.8,0.221
77,78,East Tennessee State,17,13,4,0.765,-3.08,-7.08,2.0,0.0,9,1,3,3,1017,910,64.8,92.4,0.279,0.366,0.485,53.0,44.6,11.3,7.2,0.454,18.3,32.4,0.192
78,79,Eastern Illinois,18,6,12,0.333,-10.64,-5.75,3.0,2.0,3,2,3,8,1151,1239,71.0,89.4,0.231,0.311,0.488,50.5,55.6,9.7,9.6,0.459,21.2,31.1,0.167
79,80,Eastern Kentucky,18,13,5,0.722,-3.66,-4.72,2.0,2.0,7,0,5,4,1307,1109,75.8,95.8,0.3,0.289,0.486,51.7,59.1,12.1,6.2,0.452,16.9,33.5,0.207
80,81,Eastern Michigan,15,5,10,0.333,-16.1,-6.17,2.0,3.0,3,3,2,7,877,991,72.1,80.4,0.267,0.323,0.443,48.2,47.2,12.0,10.5,0.406,22.2,30.3,0.187
81,82,Eastern Washington,17,14,3,0.824,8.92,-5.01,4.0,0.0,5,1,7,2,1229,946,69.6,103.9,0.165,0.357,0.514,52.3,58.4,13.6,6.0,0.491,14.0,32.6,0.126
82,83,Elon,17,5,12,0.294,-14.52,-1.86,1.0,3.0,1,6,4,5,913,1096,70.2,76.5,0.218,0.274,0.424,47.5,53.9,11.6,8.4,0.401,22.2,29.8,0.134
83,84,Evansville,16,2,14,0.125,-21.32,-2.07,0.0,5.0,1,7,1,7,1034,1342,78.4,80.5,0.35,0.32,0.445,46.7,56.1,7.5,5.0,0.393,21.5,28.0,0.251
84,85,Fairfield,15,14,1,0.933,7.74,-7.76,6.0,0.0,7,0,7,1,1133,829,71.4,104.9,0.202,0.452,0.569,53.7,63.2,11.1,7.7,0.55,21.0,35.0,0.148
85,86,Fairleigh Dickinson,17,4,13,0.235,-18.55,-6.3,2.0,2.0,4,4,0,9,914,1062,65.6,82.0,0.217,0.432,0.452,49.9,61.2,10.0,4.0,0.421,22.2,32.7,0.154
86,87,Florida,16,10,6,0.625,17.88,7.01,1.0,3.0,5,2,2,4,1239,1065,75.7,102.3,0.276,0.305,0.52,51.0,42.5,13.2,7.9,0.492,16.5,34.2,0.192
87,88,Florida A&M,14,2,12,0.143,-15.07,1.0,1.0,2.0,2,3,0,9,841,1066,72.6,79.9,0.314,0.291,0.467,44.6,48.1,11.8,6.1,0.427,25.1,30.0,0.218
88,89,Florida Atlantic,16,5,11,0.313,-8.39,-1.32,0.0,5.0,3,5,2,5,953,1041,67.5,87.5,0.346,0.349,0.472,50.7,47.6,8.4,5.0,0.442,21.5,33.7,0.217
89,90,Florida Gulf Coast,18,14,4,0.778,13.12,1.81,4.0,0.0,8,0,4,3,1328,1006,69.0,107.0,0.34,0.512,0.537,54.2,55.3,13.8,6.2,0.508,16.4,35.5,0.232
90,91,Florida International,18,13,5,0.722,-1.68,-7.32,4.0,0.0,9,4,4,1,1287,1108,74.9,95.4,0.331,0.334,0.512,55.0,51.0,12.2,8.8,0.473,21.6,38.3,0.238
91,92,Florida State,19,14,5,0.737,22.35,9.46,5.0,2.0,10,1,3,2,1583,1338,77.5,106.8,0.281,0.332,0.525,49.7,46.6,9.9,9.8,0.487,12.6,30.2,0.216
92,93,Fordham,18,6,12,0.333,-5.71,0.35,1.0,6.0,6,4,0,8,1100,1129,69.7,87.2,0.218,0.295,0.464,50.3,51.2,14.9,9.9,0.44,20.2,32.6,0.143
93,94,Fresno State,18,10,8,0.556,-3.75,-5.93,3.0,2.0,8,3,1,4,1234,1118,69.7,98.3,0.269,0.334,0.505,51.7,47.7,14.0,5.0,0.471,16.9,33.5,0.196
94,95,Furman,18,11,7,0.611,-13.26,-11.46,1.0,1.0,7,1,3,5,1303,1163,73.3,98.7,0.299,0.329,0.509,57.8,56.3,9.0,5.5,0.476,19.9,42.0,0.212
95,96,Gardner-Webb,17,2,15,0.118,-26.13,-2.77,1.0,3.0,1,6,1,9,1016,1413,75.8,78.8,0.226,0.425,0.449,44.2,45.0,5.9,3.5,0.415,23.4,27.5,0.163
96,97,George Mason,16,13,3,0.813,14.45,-1.22,4.0,1.0,7,0,6,3,1236,950,74.3,104.0,0.337,0.347,0.509,54.1,48.5,13.0,6.6,0.471,15.7,37.4,0.238
97,98,George Washington,17,8,9,0.471,-4.43,-4.12,1.0,4.0,6,2,2,4,1008,952,68.1,87.0,0.253,0.391,0.473,53.8,51.4,9.2,6.9,0.443,21.2,33.1,0.172
98,99,Georgetown,17,13,4,0.765,7.92,1.21,3.0,3.0,4,3,9,1,1015,901,64.9,91.4,0.245,0.318,0.476,53.4,57.0,11.7,10.5,0.444,19.4,35.5,0.175
99,100,Georgia,18,10,8,0.556,10.82,8.93,1.0,4.0,6,3,1,4,1188,1154,72.5,90.5,0.291,0.201,0.465,52.2,55.5,11.8,9.0,0.435,18.2,35.1,0.189
100,101,Georgia Southern,18,13,5,0.722,-0.01,-7.51,3.0,3.0,8,2,4,3,1394,1172,82.7,93.7,0.3,0.218,0.467,54.4,48.1,13.8,11.1,0.433,18.4,41.0,0.202
101,102,Georgia State,16,9,7,0.563,-4.05,-3.83,3.0,3.0,6,4,3,3,1163,1087,74.8,96.4,0.317,0.345,0.506,48.4,54.0,13.9,8.6,0.47,17.4,30.9,0.224
102,103,Georgia Tech,18,12,6,0.667,13.91,6.63,3.0,3.0,8,2,3,3,1278,1147,72.6,97.9,0.265,0.298,0.508,52.2,60.5,9.0,4.6,0.482,16.1,30.1,0.18
103,104,Gonzaga,19,17,2,0.895,25.92,10.13,4.0,0.0,8,0,6,1,1534,1234,68.3,116.7,0.252,0.357,0.588,55.2,64.4,10.0,9.9,0.558,16.0,38.3,0.202
104,105,Grambling,15,9,6,0.6,-8.55,-0.8,3.0,1.0,6,1,3,5,1188,1027,82.2,94.1,0.307,0.267,0.48,53.3,51.8,16.2,5.7,0.44,19.4,41.0,0.218
105,106,Grand Canyon,18,15,3,0.833,8.26,-2.62,7.0,0.0,8,2,7,1,1251,992,68.0,101.5,0.265,0.34,0.546,51.9,57.5,14.2,5.8,0.52,19.2,30.5,0.19
106,107,Green Bay,18,15,3,0.833,19.56,1.91,8.0,0.0,8,0,5,2,1358,1019,67.5,111.7,0.261,0.352,0.588,53.2,66.5,11.3,5.2,0.556,14.9,26.8,0.209
107,108,Hampton,13,0,13,0.0,-20.26,-2.72,0.0,3.0,0,3,0,8,654,882,72.6,69.4,0.361,0.224,0.406,45.6,47.1,11.3,8.8,0.361,25.5,27.6,0.23
108,109,Harvard,16,9,7,0.563,8.94,3.94,2.0,1.0,2,2,5,5,1129,1049,70.5,100.1,0.273,0.375,0.526,50.4,57.1,10.7,9.4,0.489,18.1,33.7,0.209
109,110,Hawaii,14,7,7,0.5,2.55,2.55,5.0,1.0,6,3,2,4,772,785,65.7,83.9,0.309,0.447,0.481,47.0,59.4,8.6,10.1,0.436,22.4,24.0,0.231
110,111,High Point,17,8,9,0.471,-12.09,-1.03,3.0,1.0,6,3,2,3,1055,1158,71.4,86.3,0.289,0.41,0.496,43.7,53.2,9.4,8.2,0.461,20.5,19.9,0.205
