,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
0,1,Abilene Christian,15,8,7,0.533,-1.12,-1.54,4.0,2.0,6,3,2,3,1073,999,615,375,907,0.413,110,365,0.301,139,197,0.706,154,503,199,130,64,237,282
1,2,Air Force,19,9,10,0.474,-3.4,3.54,2.0,4.0,7,3,2,5,1178,1281,765,468,1038,0.451,98,287,0.341,247,344,0.718,208,748,218,150,77,370,270
2,3,Akron,15,6,9,0.4,-7.71,-6.91,1.0,4.0,3,2,2,6,964,976,625,368,907,0.406,89,302,0.295,151,249,0.606,189,563,212,132,56,240,263
3,4,Alabama,20,15,5,0.75,21.13,2.53,2.0,3.0,10,3,3,1,1484,1112,800,415,1135,0.366,77,304,0.253,205,292,0.702,251,701,208,144,80,387,372
4,5,Alabama A&M,17,8,9,0.471,-11.09,-8.53,3.0,2.0,5,2,2,6,1045,1056,685,369,914,0.404,72,232,0.31,246,336,0.732,177,590,187,151,58,300,294
5,6,Alabama State,16,1,15,0.063,-31.49,3.39,1.0,4.0,0,4,1,11,761,1319,640,470,1015,0.463,96,277,0.347,281,405,0.694,249,703,280,231,74,238,248
6,7,Albany (NY),17,15,2,0.882,0.82,-12.06,4.0,0.0,8,0,7,2,1155,858,680,318,878,0.362,74,282,0.262,148,203,0.729,159,479,153,119,58,287,287
7,8,Alcorn State,14,3,11,0.214,-19.71,3.21,1.0,2.0,2,1,1,10,680,945,560,300,778,0.386,93,302,0.308,252,366,0.689,178,565,181,150,43,221,216
8,9,American,16,6,10,0.375,-12.47,-8.03,4.0,1.0,3,6,3,4,1003,1074,650,383,921,0.416,99,312,0.317,209,294,0.711,191,600,197,153,47,293,285
9,10,Appalachian State,17,9,8,0.529,-1.93,-3.93,3.0,3.0,6,1,1,7,1217,1183,685,419,1020,0.411,84,276,0.304,261,357,0.731,202,685,193,138,70,325,336
10,11,Arizona,17,10,7,0.588,19.71,10.53,2.0,3.0,6,2,2,3,1243,1087,695,391,958,0.408,97,324,0.299,208,310,0.671,209,606,206,132,45,357,286
11,12,Arizona State,17,8,9,0.471,5.37,9.67,0.0,5.0,5,5,0,3,1085,1158,680,411,989,0.416,105,317,0.331,231,332,0.696,231,686,242,94,60,275,284
