,Rk,School,Conf,AP Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
0,1,South Carolina,SEC,1.0,16,0,90.3,51.4,38.88,10.49,28.46,20.9,49.36,118.92,56.19,62.73
1,2,Texas,Big 12,11.0,17,2,87.0,56.1,30.95,9.25,25.38,14.82,40.2,118.14,65.54,52.6
2,3,Connecticut,Big East,9.0,15,3,84.1,59.2,24.89,18.12,26.07,13.87,39.94,120.56,67.23,53.32
3,4,Iowa,Big Ten,2.0,18,1,90.8,65.5,25.37,12.3,30.98,6.69,37.66,120.75,72.62,48.13
4,5,Stanford,Pac-12,8.0,15,2,81.5,57.9,23.65,13.9,23.14,14.41,37.55,119.43,67.94,51.49
5,6,UCLA,Pac-12,5.0,14,1,84.8,60.1,24.73,12.09,24.54,12.29,36.82,116.97,69.3,47.68
6,7,Utah,Pac-12,20.0,12,5,86.5,57.9,28.59,7.8,22.49,11.05,33.54,116.81,72.23,44.58
7,8,Kansas State,Big 12,7.0,17,1,76.1,51.6,24.5,7.85,12.15,20.2,32.35,106.45,63.43,43.02
8,9,Notre Dame,ACC,19.0,13,3,85.0,60.3,24.75,7.12,21.32,10.55,31.87,106.53,66.83,39.7
9,10,Ohio State,Big Ten,18.0,14,3,81.5,61.9,19.65,12.35,19.18,12.54,31.72,110.67,69.49,41.18
10,11,Louisiana State,SEC,10.0,17,2,91.3,61.1,30.16,0.98,26.56,4.58,31.14,112.49,75.2,37.3
11,12,NC State,ACC,4.0,15,2,78.2,59.6,18.59,12.33,18.32,12.6,30.92,108.94,69.02,39.92
12,13,Baylor,Big 12,12.0,14,2,81.4,57.8,23.69,6.74,18.73,11.7,30.42,108.96,69.37,39.59
13,14,Southern California,Pac-12,6.0,13,1,76.9,57.9,18.93,11.44,16.58,13.79,30.37,109.89,69.05,40.84
14,15,Indiana,Big Ten,16.0,15,2,79.7,60.8,18.88,11.03,16.56,13.36,29.92,111.17,71.06,40.1
15,16,Colorado,Pac-12,3.0,15,1,81.4,63.8,17.63,11.33,19.73,9.23,28.96,112.44,74.22,38.22
16,17,Michigan State,Big Ten,,13,4,88.5,66.6,21.88,6.42,21.95,6.36,28.31,113.96,77.51,36.46
17,18,Duke,ACC,,12,5,71.7,58.9,12.82,13.28,11.07,15.04,26.11,102.8,68.04,34.76
18,19,Louisville,ACC,13.0,16,2,75.6,58.4,17.17,8.92,14.5,11.59,26.09,107.49,72.01,35.48
19,20,West Virginia,Big 12,,15,2,78.4,55.3,23.06,3.0,13.8,12.26,26.06,102.7,70.04,32.67
20,21,Gonzaga,WCC,17.0,17,2,80.7,64.9,15.79,10.13,20.58,5.34,25.92,119.35,83.22,36.13
21,22,Virginia Tech,ACC,14.0,13,4,78.1,59.1,19.06,6.59,14.91,10.74,25.65,111.39,76.18,35.21
22,23,Oregon State,Pac-12,,14,2,76.2,57.3,18.88,6.66,14.47,11.06,25.53,108.05,73.55,34.5
23,24,Washington State,Pac-12,,12,5,74.4,58.5,15.82,9.21,13.18,11.86,25.03,106.46,72.35,34.11
24,25,Penn State,Big Ten,,12,5,87.2,68.5,18.65,6.27,24.78,0.14,24.92,108.42,78.28,30.13
25,26,Maryland,Big Ten,,11,6,80.4,71.7,8.65,15.57,20.1,4.12,24.22,105.92,75.33,30.58
26,27,Creighton,Big East,21.0,13,3,74.7,64.1,10.63,13.03,15.0,8.66,23.66,109.05,77.25,31.8
27,28,Texas A&M,SEC,,14,3,73.8,51.5,22.29,1.3,9.3,14.3,23.6,100.11,68.43,31.68
28,29,Nebraska,Big Ten,,13,5,74.7,60.6,14.11,8.7,14.03,8.79,22.81,107.6,76.45,31.15
29,30,Minnesota,Big Ten,,13,4,76.6,60.5,16.12,6.62,11.02,11.72,22.74,102.8,72.82,29.98
30,31,Florida State,ACC,15.0,14,5,83.3,70.4,12.89,9.46,20.99,1.37,22.35,106.08,77.84,28.24
31,32,Marquette,Big East,22.0,15,3,77.1,59.9,17.17,5.16,13.83,8.5,22.33,106.16,76.71,29.45
32,33,North Carolina,ACC,23.0,13,5,70.8,58.6,12.22,10.1,9.15,13.18,22.32,100.69,71.07,29.62
33,34,Mississippi State,SEC,,15,5,76.3,60.2,16.05,5.66,14.16,7.54,21.71,108.7,80.24,28.46
34,35,Alabama,SEC,,15,5,74.2,55.6,18.6,2.53,9.43,11.7,21.13,102.63,74.03,28.6
35,36,Washington,Pac-12,,11,4,67.1,51.6,15.47,4.88,4.12,16.23,20.35,100.42,72.48,27.95
36,37,Iowa State,Big 12,24.0,12,5,76.0,65.7,10.29,10.02,12.92,7.39,20.31,106.14,79.94,26.2
37,38,TCU,Big 12,,14,4,75.7,57.5,18.17,3.26,9.05,11.21,20.26,103.4,75.65,27.75
38,39,Arizona,Pac-12,,10,7,73.1,63.9,9.18,10.53,11.37,8.34,19.71,100.57,74.64,25.94
39,40,Green Bay,Horizon,,15,3,75.4,56.6,18.83,1.91,8.28,11.28,19.56,107.7,78.95,28.76
40,41,Michigan,Big Ten,,12,6,70.3,58.3,12.0,7.0,7.65,11.35,19.0,101.54,76.53,25.01
41,42,Nevada-Las Vegas,MWC,25.0,15,1,81.8,61.9,19.94,-1.07,15.32,3.56,18.87,107.27,82.01,25.26
42,43,Tennessee,SEC,,11,6,77.5,70.9,6.65,12.16,15.43,3.38,18.81,104.94,81.37,23.57
43,44,Kansas,Big 12,,9,8,69.1,65.2,3.88,14.72,10.24,8.36,18.6,103.76,78.52,25.24
44,45,Oklahoma State,Big 12,,11,6,74.1,64.9,9.18,9.14,11.76,6.57,18.32,103.08,78.74,24.34
45,46,Syracuse,ACC,,15,2,78.8,63.8,15.0,3.31,14.11,4.2,18.31,103.8,80.54,23.27
46,47,Miami (FL),ACC,,12,5,69.7,57.9,11.76,6.45,6.74,11.47,18.21,100.08,75.09,25.0
47,48,Florida,SEC,,10,6,77.4,66.6,10.88,7.01,13.41,4.47,17.88,102.57,78.79,23.78
48,49,California,Pac-12,,12,5,70.0,63.3,6.71,11.14,9.92,7.93,17.84,101.96,77.45,24.51
49,50,Arkansas,SEC,,14,5,72.6,62.8,9.79,7.98,9.89,7.88,17.77,95.81,72.72,23.08
50,51,Illinois,Big Ten,,8,8,74.7,63.0,11.69,5.57,10.22,7.04,17.26,104.55,81.57,22.98
51,52,Oklahoma,Big 12,,10,6,77.3,67.9,9.38,7.84,14.91,2.31,17.22,97.22,76.17,21.06
52,53,Vanderbilt,SEC,,17,2,71.9,58.0,13.89,2.5,8.26,8.13,16.4,98.38,76.72,21.66
53,54,Princeton,Ivy,,13,3,68.3,57.7,10.56,5.67,6.56,9.68,16.23,100.65,78.2,22.45
54,55,Auburn,SEC,,12,6,66.3,55.6,10.67,5.38,2.91,13.13,16.05,90.16,70.02,20.14
55,56,Drake,MVC,,12,4,81.9,69.8,12.13,3.76,16.62,-0.73,15.88,103.8,83.37,20.42
56,57,Texas Tech,Big 12,,14,5,70.2,59.6,10.58,5.26,6.63,9.21,15.83,98.53,77.36,21.16
57,58,Villanova,Big East,,12,5,66.0,57.9,8.12,7.68,6.07,9.73,15.8,100.63,78.86,21.77
58,59,Mississippi,SEC,,12,5,66.4,55.4,11.0,4.79,2.94,12.86,15.79,94.29,72.99,21.3
59,60,Seton Hall,Big East,,11,7,65.3,55.2,10.11,5.58,3.67,12.02,15.69,96.62,74.9,21.73
60,61,Columbia,Ivy,,12,4,77.3,64.1,13.19,2.31,13.23,2.27,15.5,104.18,83.65,20.53
61,62,Missouri,SEC,,11,7,75.1,68.6,6.5,8.98,12.6,2.88,15.48,103.14,83.49,19.65
62,63,Virginia,ACC,,8,9,73.5,68.0,5.47,9.64,12.22,2.89,15.11,97.75,78.26,19.49
63,64,Richmond,A-10,,16,3,74.1,61.3,12.79,2.07,10.35,4.52,14.86,104.44,84.03,20.42
64,65,Belmont,MVC,,12,4,69.5,59.8,9.69,4.98,4.85,9.82,14.67,97.67,77.55,20.12
65,66,George Mason,A-10,,13,3,77.3,59.4,17.88,-1.22,9.93,4.52,14.45,99.27,79.6,19.68
66,67,Middle Tennessee,CUSA,,13,4,70.2,58.3,11.94,2.1,3.37,10.68,14.05,100.66,80.91,19.75
67,68,Georgia Tech,ACC,,12,6,71.0,63.7,7.28,6.63,7.34,6.57,13.91,97.58,79.78,17.8
68,69,Florida Gulf Coast,A-Sun,,14,4,73.8,55.9,17.89,1.81,4.72,8.41,13.12,99.64,80.99,18.65
69,70,Davidson,A-10,,13,4,69.0,54.8,14.24,-1.91,2.75,9.58,12.32,99.77,82.45,17.33
70,71,Purdue,Big Ten,,9,8,68.7,66.8,1.94,10.31,5.81,6.44,12.25,97.06,81.6,15.47
