Seed,School,Conference,Pre_Tourn_Record,Overall_Seed,Berth_type
1,Gonzaga,West Coast,26-3,1,Automatic
2,Duke,ACC,28-6,8,At-Large
3,Texas Tech,Big 12,25-9,12,At-Large
4,Arkansas,SEC,25-8,16,At-Large
5,UConn,Big East,23-9,17,At-Large
6,Alabama,SEC,19-13,21,At-Large
7,Michigan State,Big Ten,22-12,27,At-Large
8,Boise State,Mountain West,27-7,29,Automatic
9,Memphis,American,21-10,36,At-Large
10,Davidson,Atlantic 10,27-6,40,At-Large
11,Rutgers,Big Ten,18-13,44,At-Large
11,Notre Dame,ACC,22-10,47,At-Large
12,New Mexico State,WAC,26-6,50,Automatic
13,Vermont,America East,28-5,53,Automatic
14,Montana State,Big Sky,27-7,58,Automatic
15,Cal State Fullerton,Big West,21-10,62,Automatic
16,Georgia State,Sun Belt,18-10,63,Automatic
1,Baylor,Big 12,26-6,4,At-Large
2,Kentucky,SEC,26-7,6,At-Large
3,Purdue,Big Ten,27-7,11,At-Large
4,UCLA,Pac–12,25-7,13,At-Large
5,Saint Mary's,West Coast,25-7,19,At-Large
6,Texas,Big 12,21-11,23,At-Large
7,Murray State,Ohio Valley,30-2,26,Automatic
8,North Carolina,ACC,24-9,30,At-Large
9,Marquette,Big East,19-12,35,At-Large
10,San Francisco,West Coast,24-9,37,At-Large
11,Virginia Tech,ACC,23-12,46,Automatic
12,Wyoming,Mountain West,25-8,43,At-Large
12,Indiana,Big Ten,20-13,45,At-Large
13,Akron,MAC,24-9,54,Automatic
14,Yale,Ivy,19-11,56,Automatic
15,Saint Peter's,MAAC,19-11,60,Automatic
16,Norfolk State,MEAC,24-6,64,Automatic
1,Arizona,Pac–12,31-3,2,Automatic
2,Villanova,Big East,26-7,7,Automatic
3,Tennessee,SEC,26-7,10,Automatic
4,Illinois,Big Ten,22-9,14,At-Large
5,Houston,American,29-5,18,Automatic
6,Colorado State,Mountain West,25-5,24,At-Large
7,Ohio State,Big Ten,19-11,28,At-Large
8,Seton Hall,Big East,21-10,32,At-Large
9,TCU,Big 12,20-12,34,At-Large
10,Loyola Chicago,Missouri Valley,25-7,39,Automatic
11,Michigan,Big Ten,17-14,42,At-Large
12,UAB,C-USA,27-7,48,Automatic
13,Chattanooga,Southern,27-7,51,Automatic
14,Longwood,Big South,26-6,55,Automatic
15,Delaware,Colonial,22-12,59,Automatic
16,Wright State,Horizon,21-13,65,Automatic
16,Bryant,Northeast,22-9,66,Automatic
1,Kansas,Big 12,28-6,3,Automatic
2,Auburn,SEC,27-5,5,At-Large
3,Wisconsin,Big Ten,24-7,9,At-Large
4,Providence,Big East,25-5,15,At-Large
5,Iowa,Big Ten,26-9,20,Automatic
6,LSU,SEC,22-11,22,At-Large
7,USC,Pac–12,26-7,25,At-Large
8,San Diego State,Mountain West,23-8,31,At-Large
9,Creighton,Big East,22-11,33,At-Large
10,Miami (FL),ACC,23-10,38,At-Large
11,Iowa State,Big 12,20-12,41,At-Large
12,Richmond,Atlantic 10,23-12,49,Automatic
13,South Dakota State,Summit,30-4,52,Automatic
14,Colgate,Patriot,23-11,57,Automatic
15,Jacksonville State,ASUN,21-10,61,Automatic
16,Texas Southern,SWAC,18-12,67,Automatic
16,Texas A&M-Corpus Christi,Southland,23-11,68,Automatic
