Seed,School,Conference,Pre_Tourn_Record,Berth_type
1,South Carolina,SEC,32-0,Automatic
2,Maryland,Big Ten,25-6,At-Large
3,Notre Dame,ACC,25-5,At-Large
4,UCLA,Pac-12,25-9,At-Large
5,Oklahoma,Big 12,25-6,At-Large
6,Creighton,Big East,22-8,At-Large
7,Arizona,Pac-12,21-9,At-Large
8,South Florida,American,26-6,At-Large
9,Marquette,Big East,21-10,At-Large
10,West Virginia,Big 12,19-11,At-Large
11,Illinois,Big Ten,22-9,At-Large
11,Mississippi State,SEC,20-10,At-Large
12,Portland,WCC,23-8,Automatic
13,Sacramento State,Big Sky,25-7,Automatic
14,Southern Utah,WAC,23-9,Automatic
15,Holy Cross,Patriot,23-8,Automatic
16,Norfolk State,MEAC,26-6,Automatic
1,Virginia Tech,ACC,27-4,Automatic
2,UConn,Big East,29-5,Automatic
3,Ohio State,Big Ten,25-7,At-Large
4,Tennessee,SEC,23-11,At-Large
5,Iowa State,Big 12,22-9,Automatic
6,North Carolina,ACC,21-11,At-Large
7,Baylor,Big 12,19-12,At-Large
8,USC,Pac-12,21-10,At-Large
9,South Dakota State,Summit,28-5,Automatic
10,Alabama,SEC,20-10,At-Large
11,Purdue,Big Ten,19-11,At-Large
11,St. John's,Big East,22-9,At-Large
12,Toledo,MAC,28-4,Automatic
13,Saint Louis,Atlantic 10,17-17,Automatic
14,James Madison,Sun Belt,26-7,Automatic
15,Vermont,America East,25-6,Automatic
16,Chattanooga,Southern,20-12,Automatic
1,Indiana,Big Ten,27-4,At-Large
2,Utah,Pac-12,25-4,At-Large
3,LSU,SEC,28-2,At-Large
4,Villanova,Big East,28-6,At-Large
5,Washington State,Pac-12,23-10,Automatic
6,Michigan,Big Ten,22-10,At-Large
7,NC State,ACC,20-11,At-Large
8,Oklahoma State,Big 12,21-11,At-Large
9,Miami (FL),ACC,19-12,At-Large
10,Princeton,Ivy League,23-5,Automatic
11,UNLV,Mountain West,31-2,Automatic
12,Florida Gulf Coast,ASUN,32-3,Automatic
13,Cleveland State,Horizon,30-4,Automatic
14,Hawaiʻi,Big West,18-14,Automatic
15,Gardner-Webb,Big South,29-4,Automatic
16,Tennessee Tech,Ohio Valley,22-9,Automatic
16,Monmouth,Colonial,18-15,Automatic
1,Stanford,Pac-12,28-6,At-Large
2,Iowa,Big Ten,26-6,Automatic
3,Duke,ACC,25-6,At-Large
4,Texas,Big 12,25-9,At-Large
5,Louisville,ACC,23-11,At-Large
6,Colorado,Pac-12,23-8,At-Large
7,Florida State,ACC,23-9,At-Large
8,Ole Miss,SEC,23-8,At-Large
9,Gonzaga,WCC,28-4,At-Large
10,Georgia,SEC,21-11,At-Large
11,Middle Tennessee,C-USA,28-4,Automatic
12,Drake,Missouri Valley,22-9,Automatic
13,East Carolina,American,23-9,Automatic
14,Iona,MAAC,26-6,Automatic
15,Southeastern Louisiana,Southland,21-9,Automatic
16,Southern,SWAC,18-14,Automatic
16,Sacred Heart,Northeast,18-13,Automatic
